cp,name,2018,2015,diferencia
22001,Abiego,237,253,-6
22002,Abizanda,151,142,6
22003,Adahuesca,172,173,0
22004,Agüero,130,145,-10
22907,Aínsa-Sobrarbe,2151,2220,-3
22006,Aisa,321,358,-10
22007,Albalate de Cinca,1102,1151,-4
22008,Albalatillo,181,205,-11
22009,Albelda,721,750,-3
22011,Albero Alto,105,124,-15
22012,Albero Bajo,141,138,2
22013,Alberuela de Tubo,309,314,-1
22014,Alcalá de Gurrea,246,273,-9
22015,Alcalá del Obispo,325,342,-4
22016,Alcampell,652,697,-6
22017,Alcolea de Cinca,1160,1125,3
22018,Alcubierre,363,399,-9
22019,Alerre,201,209,-3
22020,Alfántega,127,128,0
22021,Almudévar,2394,2501,-4
22022,Almunia de San Juan,654,679,-3
22023,Almuniente,471,522,-9
22024,Alquézar,296,297,0
22025,Altorricón,1409,1469,-4
22027,Angüés,367,391,-6
22028,Ansó,431,426,1
22029,Antillón,149,159,-6
22032,Aragüés del Puerto,116,119,-2
22035,Arén,318,328,-3
22036,Argavieso,96,105,-8
22037,Arguis,129,126,2
22039,Ayerbe,1041,1116,-6
22040,Azanuy-Alins,176,173,1
22041,Azara,174,189,-7
22042,Azlor,153,141,8
22043,Baélls,104,106,-1
22044,Bailo,279,288,-3
22045,Baldellou,77,102,-24
22046,Ballobar,823,838,-1
22047,Banastás,292,305,-4
22048,Barbastro,16944,17020,0
22049,Barbués,77,87,-11
22050,Barbuñales,95,99,-4
22051,Bárcabo,105,117,-10
22052,Belver de Cinca,1292,1312,-1
22053,Benabarre,1107,1127,-1
22054,Benasque,2157,2090,3
22246,Beranuy,78,92,-15
22055,Berbegal,345,378,-8
22057,Bielsa,476,488,-2
22058,Bierge,231,244,-5
22059,Biescas,1479,1487,0
22060,Binaced,1555,1507,3
22061,Binéfar,9435,9439,0
22062,Bisaurri,181,176,2
22063,Biscarrués,189,202,-6
22064,Blecua y Torres,183,200,-8
22066,Boltaña,986,981,0
22067,Bonansa,86,81,6
22068,Borau,80,95,-15
22069,Broto,531,532,0
22072,Caldearenas,218,210,3
22074,Campo,323,437,-26
22075,Camporrélls,137,138,0
22076,Canal de Berdún,321,367,-12
22077,Candasnos,317,330,-3
22078,Canfranc,532,560,-5
22079,Capdesaso,174,172,1
22080,Capella,354,361,-1
22081,Casbas de Huesca,269,291,-7
22083,Castejón de Monegros,531,568,-6
22084,Castejón de Sos,753,740,1
22082,Castejón del Puente,315,340,-7
22085,Castelflorite,108,120,-10
22086,Castiello de Jaca,267,251,6
22087,Castigaleu,86,94,-8
22088,Castillazuelo,169,181,-6
22089,Castillonroy,312,343,-9
22094,Chalamera,108,111,-2
22095,Chía,86,90,-4
22096,Chimillas,391,358,9
22090,Colungo,114,126,-9
22099,Esplús,541,619,-12
22102,Estada,204,210,-2
22103,Estadilla,794,819,-3
22105,Estopiñán del Castillo,126,147,-14
22106,Fago,23,25,-8
22107,Fanlo,97,112,-13
22109,Fiscal,327,361,-9
22110,Fonz,870,944,-7
22111,Foradada del Toscar,173,187,-7
22112,Fraga,14979,14921,0
22113,Fueva La,597,622,-4
22114,Gistaín,149,138,7
22115,Grado El,426,433,-1
22116,Grañén,1753,1859,-5
22117,Graus,3305,3371,-1
22119,Gurrea de Gállego,1476,1545,-4
22122,Hoz de Jaca,76,68,11
22908,Hoz y Costean,226,230,-1
22124,Huerto,218,238,-8
22125,Huesca,52463,52239,0
22126,Ibieca,97,110,-11
22127,Igriés,705,692,1
22128,Ilche,212,208,1
22129,Isábena,238,276,-13
22130,Jaca,12813,13088,-2
22131,Jasa,92,104,-11
22133,Labuerda,162,167,-2
22135,Laluenga,194,213,-8
22136,Lalueza,913,997,-8
22137,Lanaja,1202,1268,-5
22139,Laperdiguera,91,96,-5
22141,Lascellas-Ponzano,126,138,-8
22142,Lascuarre,136,137,0
22143,Laspaúles,230,281,-18
22144,Laspuña,291,290,0
22149,Loarre,331,335,-1
22150,Loporzano,522,532,-1
22151,Loscorrales,106,106,0
22905,Lupiñén-Ortilla,341,364,-6
22155,Monesma y Cajigar,73,87,-16
22156,Monflorite-Lascasas,403,313,28
22157,Montanuy,215,221,-2
22158,Monzón,17061,17260,-1
22160,Naval,269,259,3
22162,Novales,155,183,-15
22163,Nueno,532,552,-3
22164,Olvena,50,45,11
22165,Ontiñena,533,569,-6
22167,Osso de Cinca,687,746,-7
22168,Palo,27,24,12
22170,Panticosa,786,762,3
22172,Peñalba,622,695,-10
22173,Peñas de Riglos Las,251,264,-4
22174,Peralta de Alcofea,562,602,-6
22175,Peralta de Calasanz,219,233,-6
22176,Peraltilla,199,201,0
22177,Perarrúa,109,111,-1
22178,Pertusa,110,124,-11
22181,Piracés,98,107,-8
22182,Plan,287,303,-5
22184,Poleñino,200,217,-7
22186,Pozán de Vero,218,221,-1
22187,Puebla de Castro La,372,383,-2
22188,Puente de Montañana,93,107,-13
22902,Puente la Reina de Jaca,260,261,0
22189,Puértolas,215,207,3
22190,Pueyo de Araguás El,154,149,3
22193,Pueyo de Santa Cruz,314,328,-4
22195,Quicena,283,286,-1
22197,Robres,541,586,-7
22199,Sabiñánigo,9245,9598,-3
22200,Sahún,294,308,-4
22201,Salas Altas,308,313,-1
22202,Salas Bajas,167,168,0
22203,Salillas,96,101,-4
22204,Sallent de Gállego,1463,1441,1
22205,San Esteban de Litera,506,498,1
22207,San Juan de Plan,152,148,2
22903,San Miguel del Cinca,813,857,-5
22206,Sangarrén,219,235,-6
22208,Santa Cilia,231,207,11
22209,Santa Cruz de la Serós,180,186,-3
22906,Santa María de Dulcis,208,221,-5
22212,Santaliestra y San Quílez,81,104,-22
22213,Sariñena,4168,4223,-1
22214,Secastilla,146,144,1
22215,Seira,150,147,2
22217,Sena,489,515,-5
22218,Senés de Alcubierre,41,49,-16
22220,Sesa,167,190,-12
22221,Sesué,127,119,6
22222,Siétamo,664,672,-1
22223,Sopeira,94,99,-5
22904,Sotonera La,894,990,-9
22225,Tamarite de Litera,3528,3538,0
22226,Tardienta,952,985,-3
22227,Tella-Sin,226,249,-9
22228,Tierz,758,742,2
22229,Tolva,123,137,-10
22230,Torla-Ordesa,298,306,-2
22232,Torralba de Aragón,103,114,-9
22233,Torre la Ribera,102,104,-1
22234,Torrente de Cinca,1148,1187,-3
22235,Torres de Alcanadre,92,107,-14
22236,Torres de Barbués,266,283,-6
22239,Tramaced,99,110,-10
22242,Valfarta,69,72,-4
22243,Valle de Bardají,34,37,-8
22901,Valle de Hecho,839,880,-4
22244,Valle de Lierp,46,54,-14
22245,Velilla de Cinca,463,442,4
22909,Vencillón,399,411,-2
22247,Viacamp y Litera,36,42,-14
22248,Vicién,116,126,-7
22249,Villanova,159,157,1
22250,Villanúa,447,435,2
22251,Villanueva de Sigena,394,442,-10
22252,Yebra de Basa,147,142,3
22253,Yésero,60,58,3
22254,Zaidín,1774,1852,-4
