cp,name,2018,2015,diferencia
44001, Ababuj,76,73,4
44002, Abejuela,49,54,-9
44003, Aguatón,18,19,-5
44004, Aguaviva,522,586,-10
44005, Aguilar del Alfambra,63,66,-4
44006, Alacón,264,293,-9
44007, Alba,178,210,-15
44008, Albalate del Arzobispo,2004,2001,0
44009, Albarracín,1016,1049,-3
44010, Albentosa,257,270,-4
44011, Alcaine,63,74,-14
44012, Alcalá de la Selva,347,399,-13
44013, Alcañiz,15939,16230,-1
44014, Alcorisa,3276,3374,-2
44016, Alfambra,531,571,-7
44017, Aliaga,358,365,-1
44021, Allepuz,126,118,6
44022, Alloza,582,604,-3
44023, Allueva,29,27,7
44018, Almohaja,16,20,-20
44019, Alobras,62,70,-11
44020, Alpeñés,22,21,4
44024, Anadón,27,25,8
44025, Andorra,7633,8065,-5
44026, Arcos de las Salinas,105,105,0
44027, Arens de Lledó,206,206,0
44028, Argente,198,214,-7
44029, Ariño,708,763,-7
44031, Azaila,94,116,-18
44032, Bádenas,20,19,5
44033, Báguena,311,327,-4
44034, Bañón,153,150,2
44035, Barrachina,118,133,-11
44036, Bea,31,26,19
44037, Beceite,541,566,-4
44039, Bello,225,238,-5
44038, Belmonte de San José,113,117,-3
44040, Berge,244,246,0
44041, Bezas,70,67,4
44042, Blancas,125,149,-16
44043, Blesa,95,109,-12
44044, Bordón,106,117,-9
44045, Bronchales,443,423,4
44046, Bueña,63,55,14
44047, Burbáguena,243,254,-4
44048, Cabra de Mora,55,73,-24
44049, Calaceite,1011,1052,-3
44050, Calamocha,4319,4417,-2
44051, Calanda,3708,3893,-4
44052, Calomarde,74,87,-14
44053, Camañas,124,125,0
44054, Camarena de la Sierra,113,123,-8
44055, Camarillas,86,99,-13
44056, Caminreal,619,659,-6
44059, Cantavieja,714,741,-3
44060, Cañada de Benatanduz,39,41,-4
44061, Cañada de Verich La,94,112,-14
44062, Cañada Vellida,35,36,-2
44063, Cañizar del Olivar,98,103,-4
44064, Cascante del Río,71,80,-11
44065, Castejón de Tornos,62,60,3
44066, Castel de Cabra,104,122,-14
44070, Castellar El,52,58,-10
44071, Castellote,676,728,-7
