year,teruel,huesca,zaragoza,aragon,teruelP,huescaP,zaragozaP
1900,251994,255100,421023,928117,27.15,27.48,45.36
1910,265908,264984,449501,980393,27.12,27.02,45.84
1920,264062,265603,498590,1028255,25.68,25.83,48.48
1930,263700,257777,530127,1051604,25.07,24.51,50.41
1940,245960,247135,574566,1067661,23.03,23.14,53.81
1950,243269,237681,609393,1090343,22.31,21.79,55.89
1960,223758,234014,641115,1098887,20.36,21.29,58.34
1970,173861,221761,757433,1153055,15.07,19.23,65.68
1981,153457,214907,828588,1196952,12.82,17.95,69.22
1991,143680,207810,837327,1188817,12.08,17.48,70.43
2001,135858,206502,861855,1204215,11.28,17.14,71.56
2011,143178,225971,975395,1344544,10.64,16.80,72.54
2018,134572,219345,954811,1308728,10.28,16.76,72.95
