year,cp,name,population
1900,22004,Agüero,1182
1910,22004,Agüero,1253
1920,22004,Agüero,1177
1930,22004,Agüero,1084
1940,22004,Agüero,1007
1950,22004,Agüero,785
1960,22004,Agüero,504
1970,22004,Agüero,303
1981,22004,Agüero,238
1991,22004,Agüero,168
2001,22004,Agüero,171
2011,22004,Agüero,156
2018,22004,Agüero,130
2019,22004,Agüero,129
1900,22011,Albero Alto,360
1910,22011,Albero Alto,383
1920,22011,Albero Alto,321
1930,22011,Albero Alto,298
1940,22011,Albero Alto,271
1950,22011,Albero Alto,244
1960,22011,Albero Alto,185
1970,22011,Albero Alto,170
1981,22011,Albero Alto,131
1991,22011,Albero Alto,109
2001,22011,Albero Alto,108
2011,22011,Albero Alto,128
2018,22011,Albero Alto,105
2019,22011,Albero Alto,117
1900,22014,Alcalá de Gurrea,638
1910,22014,Alcalá de Gurrea,679
1920,22014,Alcalá de Gurrea,883
1930,22014,Alcalá de Gurrea,1733
1940,22014,Alcalá de Gurrea,1522
1950,22014,Alcalá de Gurrea,1342
1960,22014,Alcalá de Gurrea,1125
1970,22014,Alcalá de Gurrea,764
1981,22014,Alcalá de Gurrea,523
1991,22014,Alcalá de Gurrea,404
2001,22014,Alcalá de Gurrea,315
2011,22014,Alcalá de Gurrea,288
2018,22014,Alcalá de Gurrea,246
2019,22014,Alcalá de Gurrea,248
1900,22015,Alcalá del Obispo,1328
1910,22015,Alcalá del Obispo,1428
1920,22015,Alcalá del Obispo,1332
1930,22015,Alcalá del Obispo,1290
1940,22015,Alcalá del Obispo,1179
1950,22015,Alcalá del Obispo,1176
1960,22015,Alcalá del Obispo,914
1970,22015,Alcalá del Obispo,577
1981,22015,Alcalá del Obispo,446
1991,22015,Alcalá del Obispo,344
2001,22015,Alcalá del Obispo,369
2011,22015,Alcalá del Obispo,370
2018,22015,Alcalá del Obispo,325
2019,22015,Alcalá del Obispo,318
1900,22019,Alerre,227
1910,22019,Alerre,225
1920,22019,Alerre,222
1930,22019,Alerre,208
1940,22019,Alerre,180
1950,22019,Alerre,144
1960,22019,Alerre,144
1970,22019,Alerre,115
1981,22019,Alerre,128
1991,22019,Alerre,155
2001,22019,Alerre,205
2011,22019,Alerre,214
2018,22019,Alerre,201
2019,22019,Alerre,199
1900,22021,Almudévar,2983
1910,22021,Almudévar,3163
1920,22021,Almudévar,3215
1930,22021,Almudévar,3700
1940,22021,Almudévar,3205
1950,22021,Almudévar,3265
1960,22021,Almudévar,3373
1970,22021,Almudévar,3049
1981,22021,Almudévar,2683
1991,22021,Almudévar,2435
2001,22021,Almudévar,2280
2011,22021,Almudévar,2538
2018,22021,Almudévar,2394
2019,22021,Almudévar,2379
1900,22027,Angüés,1912
1910,22027,Angüés,1983
1920,22027,Angüés,1826
1930,22027,Angüés,1649
1940,22027,Angüés,1445
1950,22027,Angüés,1320
1960,22027,Angüés,1068
1970,22027,Angüés,825
1981,22027,Angüés,678
1991,22027,Angüés,521
2001,22027,Angüés,430
2011,22027,Angüés,415
2018,22027,Angüés,367
2019,22027,Angüés,354
1900,22029,Antillón,393
1910,22029,Antillón,408
1920,22029,Antillón,422
1930,22029,Antillón,418
1940,22029,Antillón,400
1950,22029,Antillón,359
1960,22029,Antillón,298
1970,22029,Antillón,224
1981,22029,Antillón,191
1991,22029,Antillón,175
2001,22029,Antillón,160
2011,22029,Antillón,147
2018,22029,Antillón,149
2019,22029,Antillón,140
1900,22036,Argavieso,322
1910,22036,Argavieso,324
1920,22036,Argavieso,331
1930,22036,Argavieso,309
1940,22036,Argavieso,306
1950,22036,Argavieso,304
1960,22036,Argavieso,237
1970,22036,Argavieso,174
1981,22036,Argavieso,134
1991,22036,Argavieso,117
2001,22036,Argavieso,123
2011,22036,Argavieso,117
2018,22036,Argavieso,96
2019,22036,Argavieso,95
1900,22037,Arguis,570
1910,22037,Arguis,580
1920,22037,Arguis,548
1930,22037,Arguis,518
1940,22037,Arguis,415
1950,22037,Arguis,362
1960,22037,Arguis,245
1970,22037,Arguis,89
1981,22037,Arguis,52
1991,22037,Arguis,58
2001,22037,Arguis,67
2011,22037,Arguis,127
2018,22037,Arguis,129
2019,22037,Arguis,127
1900,22039,Ayerbe,2609
1910,22039,Ayerbe,2727
1920,22039,Ayerbe,2716
1930,22039,Ayerbe,2625
1940,22039,Ayerbe,2615
1950,22039,Ayerbe,2506
1960,22039,Ayerbe,2256
1970,22039,Ayerbe,1893
1981,22039,Ayerbe,1484
1991,22039,Ayerbe,1209
2001,22039,Ayerbe,1110
2011,22039,Ayerbe,1114
2018,22039,Ayerbe,1041
2019,22039,Ayerbe,1009
1900,22047,Banastás,113
1910,22047,Banastás,116
1920,22047,Banastás,141
1930,22047,Banastás,126
1940,22047,Banastás,100
1950,22047,Banastás,70
1960,22047,Banastás,152
1970,22047,Banastás,120
1981,22047,Banastás,84
1991,22047,Banastás,110
2001,22047,Banastás,188
2011,22047,Banastás,284
2018,22047,Banastás,292
2019,22047,Banastás,295
1900,22063,Biscarrués,810
1910,22063,Biscarrués,822
1920,22063,Biscarrués,886
1930,22063,Biscarrués,911
1940,22063,Biscarrués,826
1950,22063,Biscarrués,727
1960,22063,Biscarrués,581
1970,22063,Biscarrués,376
1981,22063,Biscarrués,290
1991,22063,Biscarrués,267
2001,22063,Biscarrués,228
2011,22063,Biscarrués,223
2018,22063,Biscarrués,189
2019,22063,Biscarrués,182
1900,22064,Blecua y Torres,769
1910,22064,Blecua y Torres,784
1920,22064,Blecua y Torres,714
1930,22064,Blecua y Torres,700
1940,22064,Blecua y Torres,700
1950,22064,Blecua y Torres,646
1960,22064,Blecua y Torres,539
1970,22064,Blecua y Torres,391
1981,22064,Blecua y Torres,240
1991,22064,Blecua y Torres,202
2001,22064,Blecua y Torres,195
2011,22064,Blecua y Torres,217
2018,22064,Blecua y Torres,183
2019,22064,Blecua y Torres,182
1900,22081,Casbas de Huesca,2195
1910,22081,Casbas de Huesca,2155
1920,22081,Casbas de Huesca,2054
1930,22081,Casbas de Huesca,1909
1940,22081,Casbas de Huesca,1698
1950,22081,Casbas de Huesca,1379
1960,22081,Casbas de Huesca,1124
1970,22081,Casbas de Huesca,674
1981,22081,Casbas de Huesca,406
1991,22081,Casbas de Huesca,366
2001,22081,Casbas de Huesca,302
2011,22081,Casbas de Huesca,302
2018,22081,Casbas de Huesca,269
2019,22081,Casbas de Huesca,270
1900,22096,Chimillas,189
1910,22096,Chimillas,218
1920,22096,Chimillas,237
1930,22096,Chimillas,239
1940,22096,Chimillas,231
1950,22096,Chimillas,234
1960,22096,Chimillas,229
1970,22096,Chimillas,178
1981,22096,Chimillas,166
1991,22096,Chimillas,148
2001,22096,Chimillas,227
2011,22096,Chimillas,377
2018,22096,Chimillas,391
2019,22096,Chimillas,393
1900,22119,Gurrea de Gállego,1401
1910,22119,Gurrea de Gállego,1642
1920,22119,Gurrea de Gállego,1866
1930,22119,Gurrea de Gállego,1813
1940,22119,Gurrea de Gállego,1790
1950,22119,Gurrea de Gállego,2266
1960,22119,Gurrea de Gállego,2579
1970,22119,Gurrea de Gállego,2292
1981,22119,Gurrea de Gállego,2181
1991,22119,Gurrea de Gállego,1998
2001,22119,Gurrea de Gállego,1772
2011,22119,Gurrea de Gállego,1651
2018,22119,Gurrea de Gállego,1476
2019,22119,Gurrea de Gállego,1467
1900,22125,Huesca,13683
1910,22125,Huesca,13964
1920,22125,Huesca,16026
1930,22125,Huesca,17383
1940,22125,Huesca,17500
1950,22125,Huesca,21066
1960,22125,Huesca,23601
1970,22125,Huesca,32119
1981,22125,Huesca,41455
1991,22125,Huesca,44165
2001,22125,Huesca,46243
2011,22125,Huesca,52030
2018,22125,Huesca,52463
2019,22125,Huesca,53132
1900,22126,Ibieca,417
1910,22126,Ibieca,402
1920,22126,Ibieca,373
1930,22126,Ibieca,323
1940,22126,Ibieca,325
1950,22126,Ibieca,300
1960,22126,Ibieca,260
1970,22126,Ibieca,168
1981,22126,Ibieca,136
1991,22126,Ibieca,114
2001,22126,Ibieca,111
2011,22126,Ibieca,114
2018,22126,Ibieca,97
2019,22126,Ibieca,96
1900,22127,Igriés,446
1910,22127,Igriés,458
1920,22127,Igriés,411
1930,22127,Igriés,419
1940,22127,Igriés,375
1950,22127,Igriés,336
1960,22127,Igriés,274
1970,22127,Igriés,190
1981,22127,Igriés,159
1991,22127,Igriés,150
2001,22127,Igriés,308
2011,22127,Igriés,654
2018,22127,Igriés,705
2019,22127,Igriés,723
1900,22149,Loarre,1771
1910,22149,Loarre,1788
1920,22149,Loarre,1613
