year,cp,name,population
1900,44002,Abejuela,698
1910,44002,Abejuela,711
1920,44002,Abejuela,696
1930,44002,Abejuela,597
1940,44002,Abejuela,561
1950,44002,Abejuela,503
1960,44002,Abejuela,372
1970,44002,Abejuela,178
1981,44002,Abejuela,63
1991,44002,Abejuela,65
2001,44002,Abejuela,56
2011,44002,Abejuela,58
2018,44002,Abejuela,49
2019,44002,Abejuela,48
1900,44010,Albentosa,1003
1910,44010,Albentosa,1038
1920,44010,Albentosa,1168
1930,44010,Albentosa,1195
1940,44010,Albentosa,1057
1950,44010,Albentosa,1075
1960,44010,Albentosa,803
1970,44010,Albentosa,523
1981,44010,Albentosa,350
1991,44010,Albentosa,288
2001,44010,Albentosa,252
2011,44010,Albentosa,291
2018,44010,Albentosa,257
2019,44010,Albentosa,276
1900,44012,Alcalá de la Selva,1648
1910,44012,Alcalá de la Selva,1647
1920,44012,Alcalá de la Selva,1667
1930,44012,Alcalá de la Selva,1648
1940,44012,Alcalá de la Selva,1528
1950,44012,Alcalá de la Selva,1333
1960,44012,Alcalá de la Selva,1043
1970,44012,Alcalá de la Selva,774
1981,44012,Alcalá de la Selva,579
1991,44012,Alcalá de la Selva,462
2001,44012,Alcalá de la Selva,510
2011,44012,Alcalá de la Selva,498
2018,44012,Alcalá de la Selva,347
2019,44012,Alcalá de la Selva,343
1900,44026,Arcos de las Salinas,1353
1910,44026,Arcos de las Salinas,1280
1920,44026,Arcos de las Salinas,1160
1930,44026,Arcos de las Salinas,971
1940,44026,Arcos de las Salinas,860
1950,44026,Arcos de las Salinas,814
1960,44026,Arcos de las Salinas,625
1970,44026,Arcos de las Salinas,252
1981,44026,Arcos de las Salinas,169
1991,44026,Arcos de las Salinas,186
2001,44026,Arcos de las Salinas,139
2011,44026,Arcos de las Salinas,105
2018,44026,Arcos de las Salinas,105
2019,44026,Arcos de las Salinas,119
1900,44048,Cabra de Mora,563
1910,44048,Cabra de Mora,538
1920,44048,Cabra de Mora,463
1930,44048,Cabra de Mora,418
1940,44048,Cabra de Mora,367
1950,44048,Cabra de Mora,330
1960,44048,Cabra de Mora,306
1970,44048,Cabra de Mora,166
1981,44048,Cabra de Mora,133
1991,44048,Cabra de Mora,102
2001,44048,Cabra de Mora,108
2011,44048,Cabra de Mora,82
2018,44048,Cabra de Mora,55
2019,44048,Cabra de Mora,54
1900,44054,Camarena de la Sierra,882
1910,44054,Camarena de la Sierra,881
1920,44054,Camarena de la Sierra,900
1930,44054,Camarena de la Sierra,787
1940,44054,Camarena de la Sierra,584
1950,44054,Camarena de la Sierra,572
1960,44054,Camarena de la Sierra,423
1970,44054,Camarena de la Sierra,252
1981,44054,Camarena de la Sierra,175
1991,44054,Camarena de la Sierra,149
2001,44054,Camarena de la Sierra,165
2011,44054,Camarena de la Sierra,145
2018,44054,Camarena de la Sierra,113
2019,44054,Camarena de la Sierra,105
2018,44070,El Castellar,52
2019,44070,El Castellar,141
1900,44103,Formiche Alto,1029
1910,44103,Formiche Alto,942
1920,44103,Formiche Alto,962
1930,44103,Formiche Alto,853
1940,44103,Formiche Alto,769
1950,44103,Formiche Alto,711
1960,44103,Formiche Alto,581
1970,44103,Formiche Alto,352
1981,44103,Formiche Alto,240
1991,44103,Formiche Alto,217
2001,44103,Formiche Alto,204
2011,44103,Formiche Alto,173
2018,44103,Formiche Alto,151
2019,44103,Formiche Alto,141
1900,44113,Fuentes de Rubielos,895
1910,44113,Fuentes de Rubielos,882
1920,44113,Fuentes de Rubielos,871
1930,44113,Fuentes de Rubielos,772
1940,44113,Fuentes de Rubielos,677
1950,44113,Fuentes de Rubielos,560
1960,44113,Fuentes de Rubielos,409
1970,44113,Fuentes de Rubielos,183
1981,44113,Fuentes de Rubielos,96
1991,44113,Fuentes de Rubielos,82
2001,44113,Fuentes de Rubielos,98
2011,44113,Fuentes de Rubielos,128
2018,44113,Fuentes de Rubielos,114
2019,44113,Fuentes de Rubielos,118
1900,44121,Gúdar,730
1910,44121,Gúdar,689
1920,44121,Gúdar,657
1930,44121,Gúdar,508
1940,44121,Gúdar,437
1950,44121,Gúdar,308
1960,44121,Gúdar,286
1970,44121,Gúdar,151
1981,44121,Gúdar,98
1991,44121,Gúdar,89
2001,44121,Gúdar,75
2011,44121,Gúdar,79
2018,44121,Gúdar,72
2019,44121,Gúdar,76
1900,44137,Linares de Mora,1592
1910,44137,Linares de Mora,1679
1920,44137,Linares de Mora,1515
1930,44137,Linares de Mora,1359
1940,44137,Linares de Mora,1222
1950,44137,Linares de Mora,1079
1960,44137,Linares de Mora,834
1970,44137,Linares de Mora,582
1981,44137,Linares de Mora,416
1991,44137,Linares de Mora,351
2001,44137,Linares de Mora,303
2011,44137,Linares de Mora,285
2018,44137,Linares de Mora,249
2019,44137,Linares de Mora,234
1900,44143,Manzanera,2750
1910,44143,Manzanera,2985
1920,44143,Manzanera,2368
1930,44143,Manzanera,2387
1940,44143,Manzanera,2083
1950,44143,Manzanera,1722
1960,44143,Manzanera,1485
1970,44143,Manzanera,1050
1981,44143,Manzanera,575
1991,44143,Manzanera,490
2001,44143,Manzanera,464
2011,44143,Manzanera,563
2018,44143,Manzanera,519
2019,44143,Manzanera,531
1900,44158,Mora de Rubielos,3213
1910,44158,Mora de Rubielos,3101
1920,44158,Mora de Rubielos,2898
1930,44158,Mora de Rubielos,2790
1940,44158,Mora de Rubielos,2454
1950,44158,Mora de Rubielos,2276
1960,44158,Mora de Rubielos,2147
1970,44158,Mora de Rubielos,1680
1981,44158,Mora de Rubielos,1414
1991,44158,Mora de Rubielos,1333
2001,44158,Mora de Rubielos,1359
