year,cp,name,population
1900,50017,Alfajarín,910
1910,50017,Alfajarín,1180
1920,50017,Alfajarín,1358
1930,50017,Alfajarín,1335
1940,50017,Alfajarín,1268
1950,50017,Alfajarín,1230
1960,50017,Alfajarín,1188
1970,50017,Alfajarín,1238
1981,50017,Alfajarín,1283
1991,50017,Alfajarín,1458
2001,50017,Alfajarín,1548
2011,50017,Alfajarín,2257
2018,50017,Alfajarín,2312
2019,50017,Alfajarín,2315
1900,50056,Botorrita,351
1910,50056,Botorrita,386
1920,50056,Botorrita,408
1930,50056,Botorrita,487
1940,50056,Botorrita,534
1950,50056,Botorrita,477
1960,50056,Botorrita,479
1970,50056,Botorrita,404
1981,50056,Botorrita,385
1991,50056,Botorrita,465
2001,50056,Botorrita,482
2011,50056,Botorrita,524
2018,50056,Botorrita,498
2019,50056,Botorrita,488
1900,50062,El Burgo de Ebro,903
1910,50062,El Burgo de Ebro,1060
1920,50062,El Burgo de Ebro,1070
1930,50062,El Burgo de Ebro,1096
1940,50062,El Burgo de Ebro,1059
1950,50062,El Burgo de Ebro,1143
1960,50062,El Burgo de Ebro,1186
1970,50062,El Burgo de Ebro,1380
1981,50062,El Burgo de Ebro,1171
1991,50062,El Burgo de Ebro,1223
2001,50062,El Burgo de Ebro,1628
2011,50062,El Burgo de Ebro,2356
2018,50062,El Burgo de Ebro,2432
2019,50062,El Burgo de Ebro,2436
1900,50066,Cadrete,647
1910,50066,Cadrete,655
1920,50066,Cadrete,674
1930,50066,Cadrete,691
1940,50066,Cadrete,767
1950,50066,Cadrete,742
1960,50066,Cadrete,665
1970,50066,Cadrete,692
1981,50066,Cadrete,680
1991,50066,Cadrete,917
2001,50066,Cadrete,1784
2011,50066,Cadrete,3294
2018,50066,Cadrete,3891
2019,50066,Cadrete,4032
1900,50089,Cuarte de Huerva,275
1910,50089,Cuarte de Huerva,298
1920,50089,Cuarte de Huerva,295
1930,50089,Cuarte de Huerva,271
1940,50089,Cuarte de Huerva,322
1950,50089,Cuarte de Huerva,386
1960,50089,Cuarte de Huerva,491
1970,50089,Cuarte de Huerva,744
1981,50089,Cuarte de Huerva,1148
1991,50089,Cuarte de Huerva,1353
2001,50089,Cuarte de Huerva,1922
2011,50089,Cuarte de Huerva,10209
2018,50089,Cuarte de Huerva,13055
2019,50089,Cuarte de Huerva,13303
1900,50115,Fuentes de Ebro,2498
1910,50115,Fuentes de Ebro,2774
1920,50115,Fuentes de Ebro,2974
1930,50115,Fuentes de Ebro,2941
1940,50115,Fuentes de Ebro,2517
1950,50115,Fuentes de Ebro,3082
1960,50115,Fuentes de Ebro,3436
1970,50115,Fuentes de Ebro,3671
1981,50115,Fuentes de Ebro,3670
1991,50115,Fuentes de Ebro,3801
2001,50115,Fuentes de Ebro,3887
2011,50115,Fuentes de Ebro,4597
2018,50115,Fuentes de Ebro,4543
2019,50115,Fuentes de Ebro,4504
1900,50131,Jaulín,361
1910,50131,Jaulín,418
1920,50131,Jaulín,483
1930,50131,Jaulín,554
1940,50131,Jaulín,550
1950,50131,Jaulín,526
1960,50131,Jaulín,505
1970,50131,Jaulín,392
1981,50131,Jaulín,338
1991,50131,Jaulín,303
2001,50131,Jaulín,292
2011,50131,Jaulín,282
2018,50131,Jaulín,237
2019,50131,Jaulín,235
1900,50163,María de Huerva,581
1910,50163,María de Huerva,622
1920,50163,María de Huerva,659
1930,50163,María de Huerva,761
1940,50163,María de Huerva,826
1950,50163,María de Huerva,707
1960,50163,María de Huerva,698
1970,50163,María de Huerva,723
1981,50163,María de Huerva,734
1991,50163,María de Huerva,810
2001,50163,María de Huerva,1531
2011,50163,María de Huerva,5208
2018,50163,María de Huerva,5663
2019,50163,María de Huerva,5812
1900,50164,Mediana de Aragón,1416
1910,50164,Mediana de Aragón,1431
1920,50164,Mediana de Aragón,1390
1930,50164,Mediana de Aragón,1232
1940,50164,Mediana de Aragón,702
1950,50164,Mediana de Aragón,855
1960,50164,Mediana de Aragón,828
1970,50164,Mediana de Aragón,669
1981,50164,Mediana de Aragón,581
1991,50164,Mediana de Aragón,549
2001,50164,Mediana de Aragón,485
2011,50164,Mediana de Aragón,480
2018,50164,Mediana de Aragón,465
2019,50164,Mediana de Aragón,461
1900,50180,Mozota,378
1910,50180,Mozota,482
1920,50180,Mozota,463
1930,50180,Mozota,426
1940,50180,Mozota,423
1950,50180,Mozota,283
1960,50180,Mozota,223
1970,50180,Mozota,181
1981,50180,Mozota,163
1991,50180,Mozota,124
2001,50180,Mozota,114
2011,50180,Mozota,110
2018,50180,Mozota,130
2019,50180,Mozota,122
1900,50193,Nuez de Ebro,455
1910,50193,Nuez de Ebro,505
1920,50193,Nuez de Ebro,550
1930,50193,Nuez de Ebro,546
1940,50193,Nuez de Ebro,585
1950,50193,Nuez de Ebro,607
1960,50193,Nuez de Ebro,538
1970,50193,Nuez de Ebro,522
1981,50193,Nuez de Ebro,481
1991,50193,Nuez de Ebro,526
2001,50193,Nuez de Ebro,581
2011,50193,Nuez de Ebro,846
2018,50193,Nuez de Ebro,827
2019,50193,Nuez de Ebro,837
1900,50199,Osera de Ebro,497
1910,50199,Osera de Ebro,529
1920,50199,Osera de Ebro,546
1930,50199,Osera de Ebro,537
1940,50199,Osera de Ebro,539
1950,50199,Osera de Ebro,404
1960,50199,Osera de Ebro,407
1970,50199,Osera de Ebro,348
1981,50199,Osera de Ebro,320
1991,50199,Osera de Ebro,346
2001,50199,Osera de Ebro,357
2011,50199,Osera de Ebro,449
2018,50199,Osera de Ebro,395
2019,50199,Osera de Ebro,386
1900,50203,Pastriz,707
1910,50203,Pastriz,796
1920,50203,Pastriz,820
1930,50203,Pastriz,857
1940,50203,Pastriz,784
1950,50203,Pastriz,821
1960,50203,Pastriz,929
1970,50203,Pastriz,837
1981,50203,Pastriz,775
1991,50203,Pastriz,752
2001,50203,Pastriz,1083
2011,50203,Pastriz,1382
2018,50203,Pastriz,1293
2019,50203,Pastriz,1297
2018,50219,La Puebla de Alfindén,6173
2019,50219,La Puebla de Alfindén,6303
1900,50235,San Mateo de Gállego,960
1910,50235,San Mateo de Gállego,1165
1920,50235,San Mateo de Gállego,1361
1930,50235,San Mateo de Gállego,1516
1940,50235,San Mateo de Gállego,1598
1950,50235,San Mateo de Gállego,1814
1960,50235,San Mateo de Gállego,1793
1970,50235,San Mateo de Gállego,1759
1981,50235,San Mateo de Gállego,1847
1991,50235,San Mateo de Gállego,1845
2001,50235,San Mateo de Gállego,2212
2011,50235,San Mateo de Gállego,3150
2018,50235,San Mateo de Gállego,3134
2019,50235,San Mateo de Gállego,3234
1900,50272,Utebo,1382
1910,50272,Utebo,1792
1920,50272,Utebo,2207
1930,50272,Utebo,2286
1940,50272,Utebo,2423
1950,50272,Utebo,2652
1960,50272,Utebo,3289
1970,50272,Utebo,4121
1981,50272,Utebo,5673
1991,50272,Utebo,7671
2001,50272,Utebo,11896
2011,50272,Utebo,18179
2018,50272,Utebo,18602
