year,cp,name,population
1900,50021,Almochuel,99
1910,50021,Almochuel,133
1920,50021,Almochuel,158
1930,50021,Almochuel,130
1940,50021,Almochuel,135
1950,50021,Almochuel,142
1960,50021,Almochuel,127
1970,50021,Almochuel,86
1981,50021,Almochuel,69
1991,50021,Almochuel,53
2001,50021,Almochuel,50
2011,50021,Almochuel,42
2018,50021,Almochuel,29
2019,50021,Almochuel,259
1900,50023,Almonacid de la Cuba,667
1910,50023,Almonacid de la Cuba,739
1920,50023,Almonacid de la Cuba,775
1930,50023,Almonacid de la Cuba,670
1940,50023,Almonacid de la Cuba,688
1950,50023,Almonacid de la Cuba,677
1960,50023,Almonacid de la Cuba,607
1970,50023,Almonacid de la Cuba,509
1981,50023,Almonacid de la Cuba,427
1991,50023,Almonacid de la Cuba,381
2001,50023,Almonacid de la Cuba,325
2011,50023,Almonacid de la Cuba,268
2018,50023,Almonacid de la Cuba,252
2019,50023,Almonacid de la Cuba,243
1900,50039,Azuara,2388
1910,50039,Azuara,2756
1920,50039,Azuara,2872
1930,50039,Azuara,2955
1940,50039,Azuara,2872
1950,50039,Azuara,2593
1960,50039,Azuara,2062
1970,50039,Azuara,1400
1981,50039,Azuara,976
1991,50039,Azuara,830
2001,50039,Azuara,667
2011,50039,Azuara,683
2018,50039,Azuara,543
2019,50039,Azuara,540
1900,50045,Belchite,3333
1910,50045,Belchite,3522
1920,50045,Belchite,3469
1930,50045,Belchite,3604
1940,50045,Belchite,2936
1950,50045,Belchite,3589
1960,50045,Belchite,2816
1970,50045,Belchite,2191
1981,50045,Belchite,1728
1991,50045,Belchite,1680
2001,50045,Belchite,1612
2011,50045,Belchite,1637
2018,50045,Belchite,1528
2019,50045,Belchite,1505
1900,50085,Codo,1026
1900,50086,Codos,1122
1910,50085,Codo,1193
1910,50086,Codos,919
1920,50085,Codo,1163
1920,50086,Codos,982
1930,50085,Codo,1114
1930,50086,Codos,995
1940,50085,Codo,945
1940,50086,Codos,969
1950,50085,Codo,947
1950,50086,Codos,976
1960,50085,Codo,719
1960,50086,Codos,852
1970,50085,Codo,519
1970,50086,Codos,645
1981,50085,Codo,420
1981,50086,Codos,386
1991,50085,Codo,325
1991,50086,Codos,329
2001,50085,Codo,259
2001,50086,Codos,279
2011,50085,Codo,204
2011,50086,Codos,247
2018,50085,Codo,198
2018,50086,Codos,183
2019,50085,Codo,201
2019,50086,Codos,234
1900,50114,Fuendetodos,540
1910,50114,Fuendetodos,591
1920,50114,Fuendetodos,623
1930,50114,Fuendetodos,663
1940,50114,Fuendetodos,498
1950,50114,Fuendetodos,455
1960,50114,Fuendetodos,401
1970,50114,Fuendetodos,259
1981,50114,Fuendetodos,183
1991,50114,Fuendetodos,166
2001,50114,Fuendetodos,176
2011,50114,Fuendetodos,179
2018,50114,Fuendetodos,121
2019,50114,Fuendetodos,145
1900,50133,Lagata,503
1910,50133,Lagata,593
1920,50133,Lagata,599
1930,50133,Lagata,623
1940,50133,Lagata,571
1950,50133,Lagata,524
1960,50133,Lagata,374
1970,50133,Lagata,255
1981,50133,Lagata,180
1991,50133,Lagata,159
2001,50133,Lagata,157
2011,50133,Lagata,133
2018,50133,Lagata,111
2019,50133,Lagata,111
1900,50136,Lécera,1997
1910,50136,Lécera,2236
1920,50136,Lécera,2475
1930,50136,Lécera,2290
1940,50136,Lécera,2378
1950,50136,Lécera,2395
1960,50136,Lécera,1906
1970,50136,Lécera,1490
1981,50136,Lécera,1185
1991,50136,Lécera,1009
2001,50136,Lécera,817
2011,50136,Lécera,749
2018,50136,Lécera,661
2019,50136,Lécera,633
1900,50139,Letux,1074
1910,50139,Letux,1132
1920,50139,Letux,1159
1930,50139,Letux,1221
1940,50139,Letux,1265
1950,50139,Letux,1049
1960,50139,Letux,876
1970,50139,Letux,701
1981,50139,Letux,587
1991,50139,Letux,486
2001,50139,Letux,463
2011,50139,Letux,396
2018,50139,Letux,342
2019,50139,Letux,364
1900,50171,Moneva,636
1910,50171,Moneva,735
1920,50171,Moneva,779
1930,50171,Moneva,865
1940,50171,Moneva,814
1950,50171,Moneva,735
1960,50171,Moneva,539
1970,50171,Moneva,249
1981,50171,Moneva,72
1991,50171,Moneva,110
2001,50171,Moneva,160
2011,50171,Moneva,115
2018,50171,Moneva,94
2019,50171,Moneva,97
1900,50179,Moyuela,952
1910,50179,Moyuela,1138
1920,50179,Moyuela,1217
1930,50179,Moyuela,1370
1940,50179,Moyuela,1223
1950,50179,Moyuela,1246
1960,50179,Moyuela,1030
1970,50179,Moyuela,752
1981,50179,Moyuela,551
1991,50179,Moyuela,424
2001,50179,Moyuela,326
2011,50179,Moyuela,288
2018,50179,Moyuela,245
2019,50179,Moyuela,280
1900,50213,Plenas,681
1910,50213,Plenas,735
1920,50213,Plenas,740
1930,50213,Plenas,768
1940,50213,Plenas,737
1950,50213,Plenas,647
1960,50213,Plenas,469
1970,50213,Plenas,353
1981,50213,Plenas,222
1991,50213,Plenas,185
2001,50213,Plenas,159
2011,50213,Plenas,130
2018,50213,Plenas,101
2019,50213,Plenas,106
1900,50218,Puebla de Albortón,631
1910,50218,Puebla de Albortón,659
1920,50218,Puebla de Albortón,687
1930,50218,Puebla de Albortón,633
1940,50218,Puebla de Albortón,475
1950,50218,Puebla de Albortón,521
1960,50218,Puebla de Albortón,382
1970,50218,Puebla de Albortón,242
1981,50218,Puebla de Albortón,201
1991,50218,Puebla de Albortón,155
2001,50218,Puebla de Albortón,138
2011,50218,Puebla de Albortón,131
2018,50218,Puebla de Albortón,120
2019,50218,Puebla de Albortón,118
1900,50233,Samper del Salz,404
1910,50233,Samper del Salz,439
1920,50233,Samper del Salz,408
1930,50233,Samper del Salz,419
1940,50233,Samper del Salz,347
1950,50233,Samper del Salz,329
1960,50233,Samper del Salz,239
1970,50233,Samper del Salz,121
1981,50233,Samper del Salz,92
1991,50233,Samper del Salz,107
2001,50233,Samper del Salz,147
2011,50233,Samper del Salz,125
2018,50233,Samper del Salz,112
2019,50233,Samper del Salz,110
1900,50275,Valmadrid,202
1910,50275,Valmadrid,245
1920,50275,Valmadrid,237
1930,50275,Valmadrid,232
1940,50275,Valmadrid,219
1950,50275,Valmadrid,348
1960,50275,Valmadrid,280
1970,50275,Valmadrid,127
1981,50275,Valmadrid,89
1991,50275,Valmadrid,77
2001,50275,Valmadrid,74
2011,50275,Valmadrid,118
2018,50275,Valmadrid,112
2019,50275,Valmadrid,117
