Sexo,Municipios,Edad (año a año),Periodo,Total
Total,44001 Ababuj,19 años,2017,1
Total,44001 Ababuj,20 años,2017,0
Total,44001 Ababuj,21 años,2017,1
Total,44001 Ababuj,22 años,2017,1
Total,44001 Ababuj,23 años,2017,0
Total,44001 Ababuj,24 años,2017,0
Total,44001 Ababuj,25 años,2017,0
Total,44001 Ababuj,26 años,2017,0
Total,44001 Ababuj,27 años,2017,1
Total,44001 Ababuj,28 años,2017,0
Total,44001 Ababuj,29 años,2017,0
Total,44001 Ababuj,30 años,2017,0
Total,44001 Ababuj,31 años,2017,2
Total,44001 Ababuj,32 años,2017,0
Total,44001 Ababuj,33 años,2017,1
Total,44001 Ababuj,34 años,2017,0
Total,44001 Ababuj,35 años,2017,1
Total,44001 Ababuj,36 años,2017,0
Total,44001 Ababuj,37 años,2017,2
Total,44001 Ababuj,38 años,2017,1
Total,44001 Ababuj,39 años,2017,3
Total,44001 Ababuj,40 años,2017,1
Total,44002 Abejuela,19 años,2017,0
Total,44002 Abejuela,20 años,2017,0
Total,44002 Abejuela,21 años,2017,0
Total,44002 Abejuela,22 años,2017,0
Total,44002 Abejuela,23 años,2017,0
Total,44002 Abejuela,24 años,2017,0
Total,44002 Abejuela,25 años,2017,0
Total,44002 Abejuela,26 años,2017,0
Total,44002 Abejuela,27 años,2017,0
Total,44002 Abejuela,28 años,2017,0
Total,44002 Abejuela,29 años,2017,0
Total,44002 Abejuela,30 años,2017,2
Total,44002 Abejuela,31 años,2017,0
Total,44002 Abejuela,32 años,2017,0
Total,44002 Abejuela,33 años,2017,0
Total,44002 Abejuela,34 años,2017,0
Total,44002 Abejuela,35 años,2017,0
Total,44002 Abejuela,36 años,2017,0
Total,44002 Abejuela,37 años,2017,1
Total,44002 Abejuela,38 años,2017,1
Total,44002 Abejuela,39 años,2017,0
Total,44002 Abejuela,40 años,2017,2
Total,44003 Aguatón,19 años,2017,0
Total,44003 Aguatón,20 años,2017,0
Total,44003 Aguatón,21 años,2017,0
Total,44003 Aguatón,22 años,2017,0
Total,44003 Aguatón,23 años,2017,0
Total,44003 Aguatón,24 años,2017,0
Total,44003 Aguatón,25 años,2017,0
Total,44003 Aguatón,26 años,2017,0
Total,44003 Aguatón,27 años,2017,0
Total,44003 Aguatón,28 años,2017,0
Total,44003 Aguatón,29 años,2017,0
Total,44003 Aguatón,30 años,2017,0
Total,44003 Aguatón,31 años,2017,0
Total,44003 Aguatón,32 años,2017,0
Total,44003 Aguatón,33 años,2017,1
Total,44003 Aguatón,34 años,2017,0
Total,44003 Aguatón,35 años,2017,0
Total,44003 Aguatón,36 años,2017,0
Total,44003 Aguatón,37 años,2017,1
Total,44003 Aguatón,38 años,2017,1
Total,44003 Aguatón,39 años,2017,1
Total,44003 Aguatón,40 años,2017,0
Total,44004 Aguaviva,19 años,2017,8
Total,44004 Aguaviva,20 años,2017,6
Total,44004 Aguaviva,21 años,2017,4
Total,44004 Aguaviva,22 años,2017,2
Total,44004 Aguaviva,23 años,2017,4
Total,44004 Aguaviva,24 años,2017,7
Total,44004 Aguaviva,25 años,2017,3
Total,44004 Aguaviva,26 años,2017,6
Total,44004 Aguaviva,27 años,2017,7
Total,44004 Aguaviva,28 años,2017,6
Total,44004 Aguaviva,29 años,2017,10
Total,44004 Aguaviva,30 años,2017,5
Total,44004 Aguaviva,31 años,2017,8
Total,44004 Aguaviva,32 años,2017,1
Total,44004 Aguaviva,33 años,2017,10
Total,44004 Aguaviva,34 años,2017,6
Total,44004 Aguaviva,35 años,2017,8
Total,44004 Aguaviva,36 años,2017,12
Total,44004 Aguaviva,37 años,2017,3
Total,44004 Aguaviva,38 años,2017,7
Total,44004 Aguaviva,39 años,2017,4
Total,44004 Aguaviva,40 años,2017,3
Total,44005 Aguilar del Alfambra,19 años,2017,0
Total,44005 Aguilar del Alfambra,20 años,2017,2
Total,44005 Aguilar del Alfambra,21 años,2017,1
Total,44005 Aguilar del Alfambra,22 años,2017,1
Total,44005 Aguilar del Alfambra,23 años,2017,2
Total,44005 Aguilar del Alfambra,24 años,2017,0
Total,44005 Aguilar del Alfambra,25 años,2017,3
Total,44005 Aguilar del Alfambra,26 años,2017,0
Total,44005 Aguilar del Alfambra,27 años,2017,0
Total,44005 Aguilar del Alfambra,28 años,2017,0
Total,44005 Aguilar del Alfambra,29 años,2017,0
Total,44005 Aguilar del Alfambra,30 años,2017,1
Total,44005 Aguilar del Alfambra,31 años,2017,0
Total,44005 Aguilar del Alfambra,32 años,2017,0
Total,44005 Aguilar del Alfambra,33 años,2017,0
Total,44005 Aguilar del Alfambra,34 años,2017,0
Total,44005 Aguilar del Alfambra,35 años,2017,1
Total,44005 Aguilar del Alfambra,36 años,2017,0
Total,44005 Aguilar del Alfambra,37 años,2017,1
Total,44005 Aguilar del Alfambra,38 años,2017,2
Total,44005 Aguilar del Alfambra,39 años,2017,2
Total,44005 Aguilar del Alfambra,40 años,2017,0
Total,44006 Alacón,19 años,2017,2
Total,44006 Alacón,20 años,2017,2
Total,44006 Alacón,21 años,2017,4
Total,44006 Alacón,22 años,2017,1
Total,44006 Alacón,23 años,2017,2
Total,44006 Alacón,24 años,2017,1
Total,44006 Alacón,25 años,2017,2
Total,44006 Alacón,26 años,2017,5
Total,44006 Alacón,27 años,2017,1
Total,44006 Alacón,28 años,2017,4
Total,44006 Alacón,29 años,2017,2
Total,44006 Alacón,30 años,2017,4
Total,44006 Alacón,31 años,2017,1
Total,44006 Alacón,32 años,2017,1
Total,44006 Alacón,33 años,2017,3
Total,44006 Alacón,34 años,2017,0
Total,44006 Alacón,35 años,2017,4
Total,44006 Alacón,36 años,2017,1
Total,44006 Alacón,37 años,2017,3
Total,44006 Alacón,38 años,2017,4
Total,44006 Alacón,39 años,2017,2
Total,44006 Alacón,40 años,2017,0
Total,44007 Alba,19 años,2017,0
Total,44007 Alba,20 años,2017,1
Total,44007 Alba,21 años,2017,1
Total,44007 Alba,22 años,2017,0
Total,44007 Alba,23 años,2017,1
Total,44007 Alba,24 años,2017,1
Total,44007 Alba,25 años,2017,0
Total,44007 Alba,26 años,2017,2
Total,44007 Alba,27 años,2017,0
Total,44007 Alba,28 años,2017,3
Total,44007 Alba,29 años,2017,2
Total,44007 Alba,30 años,2017,1
Total,44007 Alba,31 años,2017,1
Total,44007 Alba,32 años,2017,1
Total,44007 Alba,33 años,2017,3
Total,44007 Alba,34 años,2017,5
Total,44007 Alba,35 años,2017,1
Total,44007 Alba,36 años,2017,6
Total,44007 Alba,37 años,2017,2
Total,44007 Alba,38 años,2017,0
Total,44007 Alba,39 años,2017,1
Total,44007 Alba,40 años,2017,0
Total,44008 Albalate del Arzobispo,19 años,2017,21
Total,44008 Albalate del Arzobispo,20 años,2017,20
Total,44008 Albalate del Arzobispo,21 años,2017,18
Total,44008 Albalate del Arzobispo,22 años,2017,16
Total,44008 Albalate del Arzobispo,23 años,2017,20
Total,44008 Albalate del Arzobispo,24 años,2017,35
Total,44008 Albalate del Arzobispo,25 años,2017,19
Total,44008 Albalate del Arzobispo,26 años,2017,17
Total,44008 Albalate del Arzobispo,27 años,2017,24
Total,44008 Albalate del Arzobispo,28 años,2017,24
Total,44008 Albalate del Arzobispo,29 años,2017,23
Total,44008 Albalate del Arzobispo,30 años,2017,17
Total,44008 Albalate del Arzobispo,31 años,2017,20
Total,44008 Albalate del Arzobispo,32 años,2017,23
Total,44008 Albalate del Arzobispo,33 años,2017,22
Total,44008 Albalate del Arzobispo,34 años,2017,18
Total,44008 Albalate del Arzobispo,35 años,2017,21
Total,44008 Albalate del Arzobispo,36 años,2017,23
Total,44008 Albalate del Arzobispo,37 años,2017,21
Total,44008 Albalate del Arzobispo,38 años,2017,25
Total,44008 Albalate del Arzobispo,39 años,2017,17
Total,44008 Albalate del Arzobispo,40 años,2017,25
Total,44009 Albarracín,19 años,2017,6
Total,44009 Albarracín,20 años,2017,10
Total,44009 Albarracín,21 años,2017,11
Total,44009 Albarracín,22 años,2017,16
Total,44009 Albarracín,23 años,2017,9
Total,44009 Albarracín,24 años,2017,4
Total,44009 Albarracín,25 años,2017,14
Total,44009 Albarracín,26 años,2017,10
Total,44009 Albarracín,27 años,2017,17
Total,44009 Albarracín,28 años,2017,15
Total,44009 Albarracín,29 años,2017,8
Total,44009 Albarracín,30 años,2017,13
Total,44009 Albarracín,31 años,2017,13
Total,44009 Albarracín,32 años,2017,12
Total,44009 Albarracín,33 años,2017,14
Total,44009 Albarracín,34 años,2017,9
Total,44009 Albarracín,35 años,2017,23
Total,44009 Albarracín,36 años,2017,16
Total,44009 Albarracín,37 años,2017,14
Total,44009 Albarracín,38 años,2017,17
Total,44009 Albarracín,39 años,2017,9
Total,44009 Albarracín,40 años,2017,6
Total,44010 Albentosa,19 años,2017,1
Total,44010 Albentosa,20 años,2017,6
Total,44010 Albentosa,21 años,2017,0
Total,44010 Albentosa,22 años,2017,2
Total,44010 Albentosa,23 años,2017,2
Total,44010 Albentosa,24 años,2017,3
Total,44010 Albentosa,25 años,2017,3
Total,44010 Albentosa,26 años,2017,2
Total,44010 Albentosa,27 años,2017,1
Total,44010 Albentosa,28 años,2017,2
Total,44010 Albentosa,29 años,2017,1
Total,44010 Albentosa,30 años,2017,3
Total,44010 Albentosa,31 años,2017,2
Total,44010 Albentosa,32 años,2017,2
Total,44010 Albentosa,33 años,2017,1
Total,44010 Albentosa,34 años,2017,1
Total,44010 Albentosa,35 años,2017,3
Total,44010 Albentosa,36 años,2017,4
Total,44010 Albentosa,37 años,2017,3
Total,44010 Albentosa,38 años,2017,5
Total,44010 Albentosa,39 años,2017,5
Total,44010 Albentosa,40 años,2017,6
Total,44011 Alcaine,19 años,2017,0
Total,44011 Alcaine,20 años,2017,0
Total,44011 Alcaine,21 años,2017,1
Total,44011 Alcaine,22 años,2017,0
Total,44011 Alcaine,23 años,2017,0
Total,44011 Alcaine,24 años,2017,0
Total,44011 Alcaine,25 años,2017,0
Total,44011 Alcaine,26 años,2017,0
Total,44011 Alcaine,27 años,2017,0
Total,44011 Alcaine,28 años,2017,0
Total,44011 Alcaine,29 años,2017,1
Total,44011 Alcaine,30 años,2017,1
Total,44011 Alcaine,31 años,2017,1
Total,44011 Alcaine,32 años,2017,0
Total,44011 Alcaine,33 años,2017,2
Total,44011 Alcaine,34 años,2017,0
Total,44011 Alcaine,35 años,2017,2
Total,44011 Alcaine,36 años,2017,1
Total,44011 Alcaine,37 años,2017,2
Total,44011 Alcaine,38 años,2017,1
Total,44011 Alcaine,39 años,2017,0
Total,44011 Alcaine,40 años,2017,1
Total,44012 Alcalá de la Selva,19 años,2017,2
Total,44012 Alcalá de la Selva,20 años,2017,4
Total,44012 Alcalá de la Selva,21 años,2017,4
Total,44012 Alcalá de la Selva,22 años,2017,5
Total,44012 Alcalá de la Selva,23 años,2017,1
Total,44012 Alcalá de la Selva,24 años,2017,1
Total,44012 Alcalá de la Selva,25 años,2017,3
Total,44012 Alcalá de la Selva,26 años,2017,9
Total,44012 Alcalá de la Selva,27 años,2017,7
Total,44012 Alcalá de la Selva,28 años,2017,4
Total,44012 Alcalá de la Selva,29 años,2017,0
Total,44012 Alcalá de la Selva,30 años,2017,5
Total,44012 Alcalá de la Selva,31 años,2017,1
Total,44012 Alcalá de la Selva,32 años,2017,2
Total,44012 Alcalá de la Selva,33 años,2017,6
Total,44012 Alcalá de la Selva,34 años,2017,4
Total,44012 Alcalá de la Selva,35 años,2017,4
Total,44012 Alcalá de la Selva,36 años,2017,3
Total,44012 Alcalá de la Selva,37 años,2017,6
Total,44012 Alcalá de la Selva,38 años,2017,1
Total,44012 Alcalá de la Selva,39 años,2017,1
Total,44012 Alcalá de la Selva,40 años,2017,4
Total,44013 Alcañiz,19 años,2017,161
Total,44013 Alcañiz,20 años,2017,152
Total,44013 Alcañiz,21 años,2017,122
Total,44013 Alcañiz,22 años,2017,149
Total,44013 Alcañiz,23 años,2017,164
Total,44013 Alcañiz,24 años,2017,151
Total,44013 Alcañiz,25 años,2017,148
Total,44013 Alcañiz,26 años,2017,152
Total,44013 Alcañiz,27 años,2017,154
Total,44013 Alcañiz,28 años,2017,184
Total,44013 Alcañiz,29 años,2017,183
Total,44013 Alcañiz,30 años,2017,207
Total,44013 Alcañiz,31 años,2017,188
Total,44013 Alcañiz,32 años,2017,187
Total,44013 Alcañiz,33 años,2017,170
Total,44013 Alcañiz,34 años,2017,198
Total,44013 Alcañiz,35 años,2017,240
Total,44013 Alcañiz,36 años,2017,255
Total,44013 Alcañiz,37 años,2017,277
Total,44013 Alcañiz,38 años,2017,254
Total,44013 Alcañiz,39 años,2017,266
Total,44013 Alcañiz,40 años,2017,282
Total,44014 Alcorisa,19 años,2017,36
Total,44014 Alcorisa,20 años,2017,38
Total,44014 Alcorisa,21 años,2017,28
Total,44014 Alcorisa,22 años,2017,39
Total,44014 Alcorisa,23 años,2017,41
Total,44014 Alcorisa,24 años,2017,33
Total,44014 Alcorisa,25 años,2017,32
Total,44014 Alcorisa,26 años,2017,32
Total,44014 Alcorisa,27 años,2017,45
Total,44014 Alcorisa,28 años,2017,48
Total,44014 Alcorisa,29 años,2017,33
Total,44014 Alcorisa,30 años,2017,39
Total,44014 Alcorisa,31 años,2017,47
Total,44014 Alcorisa,32 años,2017,34
Total,44014 Alcorisa,33 años,2017,42
Total,44014 Alcorisa,34 años,2017,36
Total,44014 Alcorisa,35 años,2017,45
Total,44014 Alcorisa,36 años,2017,42
Total,44014 Alcorisa,37 años,2017,37
Total,44014 Alcorisa,38 años,2017,43
Total,44014 Alcorisa,39 años,2017,46
Total,44014 Alcorisa,40 años,2017,49
Total,44016 Alfambra,19 años,2017,5
Total,44016 Alfambra,20 años,2017,4
Total,44016 Alfambra,21 años,2017,3
Total,44016 Alfambra,22 años,2017,7
Total,44016 Alfambra,23 años,2017,6
Total,44016 Alfambra,24 años,2017,3
Total,44016 Alfambra,25 años,2017,9
Total,44016 Alfambra,26 años,2017,6
Total,44016 Alfambra,27 años,2017,4
Total,44016 Alfambra,28 años,2017,2
Total,44016 Alfambra,29 años,2017,3
Total,44016 Alfambra,30 años,2017,4
Total,44016 Alfambra,31 años,2017,5
