cp,city,age,year,total
44001,Ababuj,0 años,2020,0.0
44001,Ababuj,1 año,2020,0.0
44001,Ababuj,2 años,2020,0.0
44001,Ababuj,3 años,2020,0.0
44001,Ababuj,4 años,2020,0.0
44001,Ababuj,5 años,2020,1
44001,Ababuj,6 años,2020,1
44001,Ababuj,7 años,2020,2
44001,Ababuj,8 años,2020,0.0
44001,Ababuj,9 años,2020,1
44001,Ababuj,10 años,2020,0.0
44001,Ababuj,11 años,2020,0.0
44001,Ababuj,12 años,2020,0.0
44001,Ababuj,13 años,2020,0.0
44001,Ababuj,14 años,2020,1
44001,Ababuj,15 años,2020,0.0
44001,Ababuj,16 años,2020,1
44001,Ababuj,17 años,2020,1
44001,Ababuj,18 años,2020,1
44002,Abejuela,0 años,2020,0.0
44002,Abejuela,1 año,2020,0.0
44002,Abejuela,2 años,2020,0.0
44002,Abejuela,3 años,2020,0.0
44002,Abejuela,4 años,2020,0.0
44002,Abejuela,5 años,2020,0.0
44002,Abejuela,6 años,2020,0.0
44002,Abejuela,7 años,2020,0.0
44002,Abejuela,8 años,2020,0.0
44002,Abejuela,9 años,2020,0.0
44002,Abejuela,10 años,2020,0.0
44002,Abejuela,11 años,2020,1
44002,Abejuela,12 años,2020,0.0
44002,Abejuela,13 años,2020,0.0
44002,Abejuela,14 años,2020,0.0
44002,Abejuela,15 años,2020,0.0
44002,Abejuela,16 años,2020,1
44002,Abejuela,17 años,2020,0.0
44002,Abejuela,18 años,2020,0.0
44003,Aguatón,0 años,2020,0.0
44003,Aguatón,1 año,2020,1
44003,Aguatón,2 años,2020,0.0
44003,Aguatón,3 años,2020,0.0
44003,Aguatón,4 años,2020,0.0
44003,Aguatón,5 años,2020,0.0
44003,Aguatón,6 años,2020,0.0
44003,Aguatón,7 años,2020,0.0
44003,Aguatón,8 años,2020,0.0
44003,Aguatón,9 años,2020,0.0
44003,Aguatón,10 años,2020,0.0
44003,Aguatón,11 años,2020,0.0
44003,Aguatón,12 años,2020,0.0
44003,Aguatón,13 años,2020,0.0
44003,Aguatón,14 años,2020,0.0
44003,Aguatón,15 años,2020,0.0
44003,Aguatón,16 años,2020,0.0
44003,Aguatón,17 años,2020,0.0
44003,Aguatón,18 años,2020,0.0
44004,Aguaviva,0 años,2020,6
44004,Aguaviva,1 año,2020,5
44004,Aguaviva,2 años,2020,3
44004,Aguaviva,3 años,2020,3
44004,Aguaviva,4 años,2020,4
44004,Aguaviva,5 años,2020,5
44004,Aguaviva,6 años,2020,2
44004,Aguaviva,7 años,2020,5
44004,Aguaviva,8 años,2020,7
44004,Aguaviva,9 años,2020,2
44004,Aguaviva,10 años,2020,3
44004,Aguaviva,11 años,2020,7
44004,Aguaviva,12 años,2020,8
44004,Aguaviva,13 años,2020,4
44004,Aguaviva,14 años,2020,7
44004,Aguaviva,15 años,2020,0.0
44004,Aguaviva,16 años,2020,7
44004,Aguaviva,17 años,2020,7
44004,Aguaviva,18 años,2020,2
44005,Aguilar del Alfambra,0 años,2020,0.0
44005,Aguilar del Alfambra,1 año,2020,1
44005,Aguilar del Alfambra,2 años,2020,1
44005,Aguilar del Alfambra,3 años,2020,0.0
44005,Aguilar del Alfambra,4 años,2020,2
44005,Aguilar del Alfambra,5 años,2020,0.0
44005,Aguilar del Alfambra,6 años,2020,0.0
44005,Aguilar del Alfambra,7 años,2020,0.0
44005,Aguilar del Alfambra,8 años,2020,1
44005,Aguilar del Alfambra,9 años,2020,0.0
44005,Aguilar del Alfambra,10 años,2020,0.0
44005,Aguilar del Alfambra,11 años,2020,0.0
44005,Aguilar del Alfambra,12 años,2020,1
44005,Aguilar del Alfambra,13 años,2020,0.0
44005,Aguilar del Alfambra,14 años,2020,0.0
44005,Aguilar del Alfambra,15 años,2020,1
44005,Aguilar del Alfambra,16 años,2020,1
44005,Aguilar del Alfambra,17 años,2020,0.0
44005,Aguilar del Alfambra,18 años,2020,0.0
44006,Alacón,0 años,2020,1
