cp,city,age,year,total
50001,Abanto,0 años,2016,0.0
50001,Abanto,1 año,2016,0.0
50001,Abanto,2 años,2016,0.0
50001,Abanto,3 años,2016,0.0
50001,Abanto,4 años,2016,0.0
50001,Abanto,5 años,2016,0.0
50001,Abanto,6 años,2016,1
50001,Abanto,7 años,2016,1
50001,Abanto,8 años,2016,0.0
50001,Abanto,9 años,2016,0.0
50001,Abanto,10 años,2016,0.0
50001,Abanto,11 años,2016,0.0
50001,Abanto,12 años,2016,0.0
50001,Abanto,13 años,2016,0.0
50001,Abanto,14 años,2016,0.0
50001,Abanto,15 años,2016,0.0
50001,Abanto,16 años,2016,0.0
50001,Abanto,17 años,2016,0.0
50001,Abanto,18 años,2016,0.0
50002,Acered,0 años,2016,0.0
50002,Acered,1 año,2016,1
50002,Acered,2 años,2016,1
50002,Acered,3 años,2016,0.0
50002,Acered,4 años,2016,0.0
50002,Acered,5 años,2016,0.0
50002,Acered,6 años,2016,0.0
50002,Acered,7 años,2016,1
50002,Acered,8 años,2016,0.0
50002,Acered,9 años,2016,1
50002,Acered,10 años,2016,0.0
50002,Acered,11 años,2016,1
50002,Acered,12 años,2016,0.0
50002,Acered,13 años,2016,0.0
50002,Acered,14 años,2016,2
50002,Acered,15 años,2016,2
50002,Acered,16 años,2016,0.0
50002,Acered,17 años,2016,0.0
50002,Acered,18 años,2016,2
50003,Agón,0 años,2016,3
50003,Agón,1 año,2016,0.0
50003,Agón,2 años,2016,1
50003,Agón,3 años,2016,0.0
50003,Agón,4 años,2016,1
50003,Agón,5 años,2016,0.0
50003,Agón,6 años,2016,1
50003,Agón,7 años,2016,2
50003,Agón,8 años,2016,0.0
50003,Agón,9 años,2016,2
50003,Agón,10 años,2016,0.0
50003,Agón,11 años,2016,2
50003,Agón,12 años,2016,0.0
50003,Agón,13 años,2016,1
50003,Agón,14 años,2016,1
50003,Agón,15 años,2016,3
50003,Agón,16 años,2016,3
50003,Agón,17 años,2016,1
50003,Agón,18 años,2016,0.0
50004,Aguarón,0 años,2016,5
50004,Aguarón,1 año,2016,3
50004,Aguarón,2 años,2016,3
50004,Aguarón,3 años,2016,0.0
50004,Aguarón,4 años,2016,1
50004,Aguarón,5 años,2016,3
50004,Aguarón,6 años,2016,3
50004,Aguarón,7 años,2016,5
50004,Aguarón,8 años,2016,3
50004,Aguarón,9 años,2016,6
50004,Aguarón,10 años,2016,9
50004,Aguarón,11 años,2016,2
50004,Aguarón,12 años,2016,7
50004,Aguarón,13 años,2016,5
50004,Aguarón,14 años,2016,5
50004,Aguarón,15 años,2016,3
50004,Aguarón,16 años,2016,1
50004,Aguarón,17 años,2016,3
50004,Aguarón,18 años,2016,5
50005,Aguilón,0 años,2016,0.0
50005,Aguilón,1 año,2016,0.0
50005,Aguilón,2 años,2016,2
50005,Aguilón,3 años,2016,0.0
50005,Aguilón,4 años,2016,0.0
50005,Aguilón,5 años,2016,1
50005,Aguilón,6 años,2016,0.0
50005,Aguilón,7 años,2016,0.0
50005,Aguilón,8 años,2016,0.0
50005,Aguilón,9 años,2016,1
50005,Aguilón,10 años,2016,0.0
50005,Aguilón,11 años,2016,0.0
50005,Aguilón,12 años,2016,0.0
50005,Aguilón,13 años,2016,2
50005,Aguilón,14 años,2016,0.0
50005,Aguilón,15 años,2016,0.0
50005,Aguilón,16 años,2016,0.0
50005,Aguilón,17 años,2016,0.0
50005,Aguilón,18 años,2016,2
50006,Ainzón,0 años,2016,5
50006,Ainzón,1 año,2016,10
50006,Ainzón,2 años,2016,1
50006,Ainzón,3 años,2016,6
50006,Ainzón,4 años,2016,6
50006,Ainzón,5 años,2016,7
50006,Ainzón,6 años,2016,13
50006,Ainzón,7 años,2016,8
50006,Ainzón,8 años,2016,10
50006,Ainzón,9 años,2016,7
50006,Ainzón,10 años,2016,5
50006,Ainzón,11 años,2016,10
50006,Ainzón,12 años,2016,11
50006,Ainzón,13 años,2016,6
50006,Ainzón,14 años,2016,9
50006,Ainzón,15 años,2016,20
50006,Ainzón,16 años,2016,15
50006,Ainzón,17 años,2016,14
50006,Ainzón,18 años,2016,18
50007,Aladrén,0 años,2016,0.0
50007,Aladrén,1 año,2016,0.0
50007,Aladrén,2 años,2016,0.0
50007,Aladrén,3 años,2016,0.0
50007,Aladrén,4 años,2016,0.0
50007,Aladrén,5 años,2016,0.0
50007,Aladrén,6 años,2016,0.0
50007,Aladrén,7 años,2016,0.0
50007,Aladrén,8 años,2016,0.0
50007,Aladrén,9 años,2016,1
50007,Aladrén,10 años,2016,0.0
50007,Aladrén,11 años,2016,1
50007,Aladrén,12 años,2016,0.0
50007,Aladrén,13 años,2016,0.0
50007,Aladrén,14 años,2016,1
50007,Aladrén,15 años,2016,0.0
50007,Aladrén,16 años,2016,0.0
50007,Aladrén,17 años,2016,0.0
50007,Aladrén,18 años,2016,0.0
50008,Alagón,0 años,2016,59
50008,Alagón,1 año,2016,60
50008,Alagón,2 años,2016,61
50008,Alagón,3 años,2016,68
50008,Alagón,4 años,2016,61
50008,Alagón,5 años,2016,83
50008,Alagón,6 años,2016,86
50008,Alagón,7 años,2016,74
50008,Alagón,8 años,2016,94
50008,Alagón,9 años,2016,89
50008,Alagón,10 años,2016,69
50008,Alagón,11 años,2016,82
