name,age,year,total
Abanto,0-18,2015,1
Abanto,18-40,2015,19
Abanto,40-65,2015,34
Abanto,65-100,2015,59
Abanto,0-18,2016,2
Abanto,18-40,2016,15
Abanto,40-65,2016,32
Abanto,65-100,2016,57
Abanto,0-18,2017,4
Abanto,18-40,2017,16
Abanto,40-65,2017,31
Abanto,65-100,2017,47
Abanto,0-18,2018,7
Abanto,18-40,2018,14
Abanto,40-65,2018,30
Abanto,65-100,2018,46
Abanto,0-18,2019,8
Abanto,18-40,2019,15
Abanto,40-65,2019,38
Abanto,65-100,2019,39
Abanto,0-18,2020,3
Abanto,18-40,2020,13
Abanto,40-65,2020,36
Abanto,65-100,2020,40
Acered,0-18,2015,11
Acered,18-40,2015,59
Acered,40-65,2015,72
Acered,65-100,2015,75
Acered,0-18,2016,11
Acered,18-40,2016,69
Acered,40-65,2016,66
Acered,65-100,2016,77
Acered,0-18,2017,9
Acered,18-40,2017,33
Acered,40-65,2017,56
Acered,65-100,2017,73
Acered,0-18,2018,11
Acered,18-40,2018,26
Acered,40-65,2018,59
Acered,65-100,2018,69
Acered,0-18,2019,10
Acered,18-40,2019,29
Acered,40-65,2019,59
Acered,65-100,2019,68
Acered,0-18,2020,7
Acered,18-40,2020,28
Acered,40-65,2020,57
Acered,65-100,2020,66
Agón,0-18,2015,18
Agón,18-40,2015,28
Agón,40-65,2015,53
Agón,65-100,2015,56
Agón,0-18,2016,21
Agón,18-40,2016,25
Agón,40-65,2016,54
Agón,65-100,2016,55
Agón,0-18,2017,16
Agón,18-40,2017,19
Agón,40-65,2017,58
Agón,65-100,2017,53
Agón,0-18,2018,16
Agón,18-40,2018,23
Agón,40-65,2018,59
Agón,65-100,2018,48
Agón,0-18,2019,15
Agón,18-40,2019,22
Agón,40-65,2019,56
Agón,65-100,2019,44
Agón,0-18,2020,12
Agón,18-40,2020,24
Agón,40-65,2020,58
Agón,65-100,2020,44
Aguarón,0-18,2015,73
Aguarón,18-40,2015,179
Aguarón,40-65,2015,252
Aguarón,65-100,2015,220
Aguarón,0-18,2016,72
Aguarón,18-40,2016,164
Aguarón,40-65,2016,250
Aguarón,65-100,2016,200
Aguarón,0-18,2017,71
Aguarón,18-40,2017,166
Aguarón,40-65,2017,257
Aguarón,65-100,2017,190
Aguarón,0-18,2018,60
Aguarón,18-40,2018,145
Aguarón,40-65,2018,244
Aguarón,65-100,2018,182
Aguarón,0-18,2019,71
Aguarón,18-40,2019,133
Aguarón,40-65,2019,255
Aguarón,65-100,2019,177
Aguarón,0-18,2020,68
Aguarón,18-40,2020,121
Aguarón,40-65,2020,259
Aguarón,65-100,2020,176
Aguilón,0-18,2015,9
Aguilón,18-40,2015,49
Aguilón,40-65,2015,101
Aguilón,65-100,2015,95
Aguilón,0-18,2016,8
Aguilón,18-40,2016,43
Aguilón,40-65,2016,97
Aguilón,65-100,2016,99
Aguilón,0-18,2017,8
Aguilón,18-40,2017,42
Aguilón,40-65,2017,89
Aguilón,65-100,2017,99
Aguilón,0-18,2018,8
Aguilón,18-40,2018,39
Aguilón,40-65,2018,87
Aguilón,65-100,2018,101
Aguilón,0-18,2019,13
Aguilón,18-40,2019,41
Aguilón,40-65,2019,101
Aguilón,65-100,2019,96
Aguilón,0-18,2020,11
Aguilón,18-40,2020,35
Aguilón,40-65,2020,97
Aguilón,65-100,2020,90
Ainzón,0-18,2015,186
Ainzón,18-40,2015,270
Ainzón,40-65,2015,398
Ainzón,65-100,2015,289
Ainzón,0-18,2016,181
Ainzón,18-40,2016,270
Ainzón,40-65,2016,402
Ainzón,65-100,2016,283
Ainzón,0-18,2017,163
Ainzón,18-40,2017,261
Ainzón,40-65,2017,395
Ainzón,65-100,2017,276
Ainzón,0-18,2018,157
Ainzón,18-40,2018,258
Ainzón,40-65,2018,411
Ainzón,65-100,2018,259
Ainzón,0-18,2019,151
Ainzón,18-40,2019,252
Ainzón,40-65,2019,419
Ainzón,65-100,2019,255
Ainzón,0-18,2020,142
Ainzón,18-40,2020,258
Ainzón,40-65,2020,414
Ainzón,65-100,2020,250
Aladrén,0-18,2015,5
Aladrén,18-40,2015,5
Aladrén,40-65,2015,21
Aladrén,65-100,2015,21
Aladrén,0-18,2016,3
Aladrén,18-40,2016,5
Aladrén,40-65,2016,23
Aladrén,65-100,2016,17
Aladrén,0-18,2017,3
Aladrén,18-40,2017,6
Aladrén,40-65,2017,22
Aladrén,65-100,2017,16
Aladrén,0-18,2018,3
Aladrén,18-40,2018,6
Aladrén,40-65,2018,23
Aladrén,65-100,2018,20
Aladrén,0-18,2019,3
Aladrén,18-40,2019,7
Aladrén,40-65,2019,21
Aladrén,65-100,2019,21
Aladrén,0-18,2020,3
Aladrén,18-40,2020,9
Aladrén,40-65,2020,20
Aladrén,65-100,2020,20
Alagón,0-18,2015,1339
Alagón,18-40,2015,2056
Alagón,40-65,2015,2484
Alagón,65-100,2015,1135
Alagón,0-18,2016,1343
Alagón,18-40,2016,2025
Alagón,40-65,2016,2532
Alagón,65-100,2016,1145
Alagón,0-18,2017,1334
Alagón,18-40,2017,1948
Alagón,40-65,2017,2573
Alagón,65-100,2017,1170
Alagón,0-18,2018,1340
Alagón,18-40,2018,1915
Alagón,40-65,2018,2646
Alagón,65-100,2018,1193
Alagón,0-18,2019,1386
Alagón,18-40,2019,1868
Alagón,40-65,2019,2698
Alagón,65-100,2019,1211
Alagón,0-18,2020,1344
Alagón,18-40,2020,1813
Alagón,40-65,2020,2753
Alagón,65-100,2020,1244
Alarba,0-18,2015,16
Alarba,18-40,2015,57
Alarba,40-65,2015,80
Alarba,65-100,2015,94
Alarba,0-18,2016,16
Alarba,18-40,2016,42
Alarba,40-65,2016,73
Alarba,65-100,2016,91
Alarba,0-18,2017,19
Alarba,18-40,2017,53
Alarba,40-65,2017,75
Alarba,65-100,2017,88
Alarba,0-18,2018,14
Alarba,18-40,2018,52
Alarba,40-65,2018,74
Alarba,65-100,2018,85
Alarba,0-18,2019,14
Alarba,18-40,2019,47
Alarba,40-65,2019,71
Alarba,65-100,2019,83
Alarba,0-18,2020,8
Alarba,18-40,2020,39
Alarba,40-65,2020,74
Alarba,65-100,2020,83
Alberite de San Juan,0-18,2015,9
Alberite de San Juan,18-40,2015,13
Alberite de San Juan,40-65,2015,35
Alberite de San Juan,65-100,2015,27
Alberite de San Juan,0-18,2016,8
Alberite de San Juan,18-40,2016,11
Alberite de San Juan,40-65,2016,35
Alberite de San Juan,65-100,2016,26
Alberite de San Juan,0-18,2017,7
Alberite de San Juan,18-40,2017,10
Alberite de San Juan,40-65,2017,33
Alberite de San Juan,65-100,2017,27
Alberite de San Juan,0-18,2018,3
Alberite de San Juan,18-40,2018,10
Alberite de San Juan,40-65,2018,31
Alberite de San Juan,65-100,2018,28
Alberite de San Juan,0-18,2019,3
Alberite de San Juan,18-40,2019,9
Alberite de San Juan,40-65,2019,31
Alberite de San Juan,65-100,2019,26
Alberite de San Juan,0-18,2020,8
Alberite de San Juan,18-40,2020,11
Alberite de San Juan,40-65,2020,31
Alberite de San Juan,65-100,2020,24
Albeta,0-18,2015,17
Albeta,18-40,2015,40
Albeta,40-65,2015,57
Albeta,65-100,2015,31
Albeta,0-18,2016,16
Albeta,18-40,2016,37
Albeta,40-65,2016,53
Albeta,65-100,2016,33
Albeta,0-18,2017,18
Albeta,18-40,2017,34
Albeta,40-65,2017,51
Albeta,65-100,2017,31
Albeta,0-18,2018,17
Albeta,18-40,2018,35
Albeta,40-65,2018,49
Albeta,65-100,2018,31
Albeta,0-18,2019,18
Albeta,18-40,2019,33
Albeta,40-65,2019,50
Albeta,65-100,2019,32
Albeta,0-18,2020,16
Albeta,18-40,2020,35
Albeta,40-65,2020,47
