year,cp,name,population
2011,22001,Abiego,280
2011,22002,Abizanda,139
2011,22003,Adahuesca,176
2011,22004,Agüero,160
2011,22907,Aínsa-Sobrarbe,2232
2011,22006,Aisa,379
2011,22007,Albalate de Cinca,1259
2011,22008,Albalatillo,237
2011,22009,Albelda,839
2011,22011,Albero Alto,134
2011,22012,Albero Bajo,109
2011,22013,Alberuela de Tubo,355
2011,22014,Alcalá de Gurrea,275
2011,22015,Alcalá del Obispo,411
2011,22016,Alcampell,762
2011,22017,Alcolea de Cinca,1137
2011,22018,Alcubierre,439
2011,22019,Alerre,222
2011,22020,Alfántega,130
2011,22021,Almudévar,2560
2011,22022,Almunia de San Juan,661
2011,22023,Almuniente,550
2011,22024,Alquézar,302
2011,22025,Altorricón,1492
2011,22027,Angüés,439
2011,22028,Ansó,475
2011,22029,Antillón,146
2011,22032,Aragüés del Puerto,133
2011,22035,Arén,359
2011,22036,Argavieso,118
2011,22037,Arguis,117
2011,22039,Ayerbe,1125
2011,22040,Azanuy-Alins,181
2011,22041,Azara,200
2011,22042,Azlor,133
2011,22043,Baélls,114
2011,22044,Bailo,300
2011,22045,Baldellou,119
2011,22046,Ballobar,974
2011,22047,Banastás,283
2011,22048,Barbastro,17085
2011,22049,Barbués,96
2011,22050,Barbuñales,101
2011,22051,Bárcabo,126
2011,22052,Belver de Cinca,1374
2011,22053,Benabarre,1180
2011,22054,Benasque,2236
2011,22246,Beranuy,104
2011,22055,Berbegal,417
2011,22057,Bielsa,495
2011,22058,Bierge,254
2011,22059,Biescas,1597
2011,22060,Binaced,1485
2011,22061,Binéfar,9482
2011,22062,Bisaurri,206
2011,22063,Biscarrués,223
2011,22064,Blecua y Torres,215
2011,22066,Boltaña,1055
2011,22067,Bonansa,102
2011,22068,Borau,85
2011,22069,Broto,543
2011,22072,Caldearenas,231
2011,22074,Campo,350
2011,22075,Camporrélls,182
2011,22076,Canal de Berdún,382
2011,22077,Candasnos,395
2011,22078,Canfranc,620
2011,22079,Capdesaso,176
2011,22080,Capella,372
2011,22081,Casbas de Huesca,303
2011,22083,Castejón de Monegros,649
2011,22084,Castejón de Sos,776
2011,22082,Castejón del Puente,372
2011,22085,Castelflorite,128
2011,22086,Castiello de Jaca,257
2011,22087,Castigaleu,115
2011,22088,Castillazuelo,197
2011,22089,Castillonroy,380
2011,22094,Chalamera,122
2011,22095,Chía,102
2011,22096,Chimillas,358
2011,22090,Colungo,142
2011,22099,Esplús,654
2011,22102,Estada,234
2011,22103,Estadilla,853
2011,22105,Estopiñán del Castillo,174
2011,22106,Fago,30
2011,22107,Fanlo,132
2011,22109,Fiscal,318
2011,22110,Fonz,1021
2011,22111,Foradada del Toscar,211
2011,22112,Fraga,14426
2011,22113,Fueva La,634
2011,22114,Gistaín,150
2011,22115,Grado El,484
2011,22116,Grañén,1988
2011,22117,Graus,3697
2011,22119,Gurrea de Gállego,1651
2011,22122,Hoz de Jaca,70
2011,22908,Hoz y Costean,208
