year,cp,name,population,mayor,menor
2018,22001,Abiego,237,31.22,8.43
2018,22002,Abizanda,151,27.15,9.27
2018,22003,Adahuesca,172,27.90,16.27
2018,22004,Agüero,130,40.00,3.84
2018,22006,Aisa,321,24.61,11.21
2018,22007,Albalate de Cinca,1102,23.95,14.33
2018,22008,Albalatillo,181,44.19,8.83
2018,22009,Albelda,721,36.19,13.17
2018,22011,Albero Alto,105,23.80,17.14
2018,22012,Albero Bajo,141,21.27,18.43
2018,22013,Alberuela de Tubo,309,33.33,7.76
2018,22014,Alcalá de Gurrea,246,40.65,4.87
2018,22015,Alcalá del Obispo,325,36.00,5.23
2018,22016,Alcampell,652,44.01,8.89
2018,22017,Alcolea de Cinca,1160,24.31,14.05
2018,22018,Alcubierre,363,36.63,8.81
2018,22019,Alerre,201,31.34,11.44
2018,22020,Alfántega,127,35.43,8.66
2018,22021,Almudévar,2394,26.85,17.75
2018,22022,Almunia de San Juan,654,27.06,14.98
2018,22023,Almuniente,471,30.99,13.16
2018,22024,Alquézar,296,29.05,8.10
2018,22025,Altorricón,1409,26.33,16.74
2018,22027,Angüés,367,35.96,9.26
2018,22028,Ansó,431,37.35,10.67
2018,22029,Antillón,149,34.89,13.42
2018,22032,Aragüés del Puerto,116,30.17,9.48
2018,22035,Arén,318,27.67,7.54
2018,22036,Argavieso,96,46.87,9.37
2018,22037,Arguis,129,19.37,10.07
2018,22039,Ayerbe,1041,30.64,17.19
2018,22040,Azanuy-Alins,176,35.22,14.20
2018,22041,Azara,174,32.75,11.49
2018,22042,Azlor,153,32.02,15.68
2018,22043,Baélls,104,39.42,8.65
2018,22044,Bailo,279,30.82,7.88
2018,22045,Baldellou,77,46.75,2.59
2018,22046,Ballobar,823,31.59,13.73
2018,22047,Banastás,292,17.12,18.49
2018,22048,Barbastro,16944,20.28,19.22
2018,22049,Barbués,77,32.46,3.89
2018,22050,Barbuñales,95,42.10,2.10
2018,22051,Bárcabo,105,36.19,2.85
2018,22052,Belver de Cinca,1292,25.77,15.71
2018,22053,Benabarre,1107,29.26,16.07
2018,22054,Benasque,2157,10.61,17.70
2018,22055,Berbegal,345,28.69,7.82
2018,22057,Bielsa,476,24.57,14.28
2018,22058,Bierge,231,29.87,9.95
2018,22059,Biescas,1479,21.29,15.41
2018,22060,Binaced,1555,23.66,16.01
2018,22061,Binéfar,9435,20.28,19.89
2018,22062,Bisaurri,181,30.93,9.39
2018,22063,Biscarrués,189,32.80,7.93
2018,22064,Blecua y Torres,183,31.14,11.47
2018,22066,Boltaña,986,17.54,17.03
2018,22067,Bonansa,86,26.74,15.11
2018,22068,Borau,80,23.75,6.25
2018,22069,Broto,531,20.15,15.44
2018,22072,Caldearenas,218,29.81,10.55
2018,22074,Campo,323,31.57,10.21
2018,22075,Camporrélls,137,42.33,7.29
2018,22076,Canal de Berdún,321,37.07,8.41
2018,22077,Candasnos,317,48.89,0
2018,22078,Canfranc,532,16.91,15.60
2018,22079,Capdesaso,174,25.28,6.32
2018,22080,Capella,354,30.79,13.27
2018,22081,Casbas de Huesca,269,34.57,6.69
2018,22082,Castejón del Puente,315,32.38,9.52
2018,22083,Castejón de Monegros,531,37.66,9.22
2018,22084,Castejón de Sos,753,16.60,19.65
2018,22085,Castelflorite,108,41.66,6.48
2018,22086,Castiello de Jaca,267,16.10,14.60
2018,22087,Castigaleu,86,24.41,17.44
2018,22088,Castillazuelo,169,42.60,11.83
2018,22089,Castillonroy,312,31.08,10.57
2018,22090,Colungo,114,42.98,5.26
2018,22094,Chalamera,108,34.25,12.96
2018,22095,Chía,86,32.55,17.44
2018,22096,Chimillas,391,17.64,19.18
2018,22099,Esplús,541,34.38,10.72
2018,22102,Estada,204,28.43,8.33
2018,22103,Estadilla,794,31.23,12.46
2018,22105,Estopiñán del Castillo,126,34.12,14.28
2018,22106,Fago,23,30.43,13.04
2018,22107,Fanlo,97,30.92,2.06
2018,22109,Fiscal,327,21.40,14.06
2018,22110,Fonz,870,33.56,13.21
2018,22111,Foradada del Toscar,173,36.41,7.51
2018,22112,Fraga,14979,16.83,20.33
2018,22113,Fueva La,597,26.63,16.24
2018,22114,Gistaín,149,40.93,13.42
2018,22115,Grado El,426,32.62,10.32
2018,22116,Grañén,1753,27.43,12.60
2018,22117,Graus,3305,24.11,16.27
2018,22119,Gurrea de Gállego,1476,32.52,10.50
2018,22122,Hoz de Jaca,76,28.94,14.47
2018,22124,Huerto,218,32.56,11.46
2018,22125,Huesca,52463,19.91,19.50
2018,22126,Ibieca,97,39.17,7.21
2018,22127,Igriés,705,11.34,25.81
2018,22128,Ilche,212,36.32,6.13
2018,22129,Isábena,238,26.89,7.98
2018,22130,Jaca,12813,19.05,18.00
2018,22131,Jasa,92,27.17,9.78
2018,22133,Labuerda,162,17.90,13.58
2018,22135,Laluenga,194,38.65,7.73
2018,22136,Lalueza,913,32.20,10.40
2018,22137,Lanaja,1202,32.86,8.98
2018,22139,Laperdiguera,91,32.96,7.69
2018,22141,Lascellas-Ponzano,126,27.77,13.49
2018,22142,Lascuarre,136,29.41,16.91
2018,22143,Laspaúles,230,34.34,8.26
2018,22144,Laspuña,291,31.61,10.99
2018,22149,Loarre,331,37.16,6.04
2018,22150,Loporzano,522,30.45,9.96
2018,22151,Loscorrales,106,28.30,13.20
2018,22155,Monesma y Cajigar,73,35.61,2.73
2018,22156,Monflorite-Lascasas,403,11.91,20.09
2018,22157,Montanuy,215,23.25,9.76
2018,22158,Monzón,17061,18.98,20.20
2018,22160,Naval,269,27.13,13.75
2018,22162,Novales,155,27.09,11.61
2018,22163,Nueno,532,23.68,18.79
2018,22164,Olvena,50,46.00,20.00
2018,22165,Ontiñena,533,31.89,9.94
2018,22167,Osso de Cinca,687,25.47,11.06
2018,22168,Palo,27,44.44,7.40
2018,22170,Panticosa,786,15.77,14.63
2018,22172,Peñalba,622,30.06,11.73
2018,22173,Peñas de Riglos Las,251,29.08,9.16
2018,22174,Peralta de Alcofea,562,36.47,8.71
2018,22175,Peralta de Calasanz,219,39.26,8.21
2018,22176,Peraltilla,199,23.61,11.55
2018,22177,Perarrúa,109,33.02,11.00
2018,22178,Pertusa,110,32.72,9.09
2018,22181,Piracés,98,36.73,10.20
2018,22182,Plan,287,28.91,15.33
2018,22184,Poleñino,200,28.00,10.00
2018,22186,Pozán de Vero,218,30.73,13.76
2018,22187,Puebla de Castro La,372,23.38,17.20
2018,22188,Puente de Montañana,93,41.93,6.45
2018,22189,Puértolas,215,27.90,12.55
2018,22190,Pueyo de Araguás El,154,23.37,20.77
2018,22193,Pueyo de Santa Cruz,314,28.98,13.05
2018,22195,Quicena,283,17.31,16.60
2018,22197,Robres,541,31.05,11.27
2018,22199,Sabiñánigo,9245,21.70,16.97
2018,22200,Sahún,294,23.80,16.32
2018,22201,Salas Altas,308,33.44,12.33
2018,22202,Salas Bajas,167,26.94,13.77
2018,22203,Salillas,96,40.62,7.29
2018,22204,Sallent de Gállego,1463,15.72,17.49
