year,cp,name,population
1920,22001,Abiego,1401
1920,22002,Abizanda,446
1920,22003,Adahuesca,647
1920,22004,Agüero,1177
1920,22006,Aísa,814
1920,22007,Albalate de Cinca,1590
1920,22008,Albalatillo,549
1920,22009,Albelda,1481
1920,22011,Albero Alto,321
1920,22012,Albero Bajo,208
1920,22013,Alberuela de Tubo,244
1920,22014,Alcalá de Gurrea,883
1920,22015,Alcalá del Obispo,1332
1920,22016,Alcampell,2467
1920,22017,Alcolea de Cinca,2647
1920,22018,Alcubierre,1422
1920,22019,Alerre,222
1920,22020,Alfántega,279
1920,22021,Almudévar,3215
1920,22022,Almunia de San Juan,1213
1920,22023,Almuniente,626
1920,22024,Alquézar,1171
1920,22025,Altorricón,856
1920,22027,Angüés,1826
1920,22028,Ansó,1226
1920,22029,Antillón,422
1920,22032,Aragüés del Puerto,519
1920,22035,Arén,1933
1920,22036,Argavieso,331
1920,22037,Arguis,548
1920,22039,Ayerbe,2716
1920,22040,Azanuy-Alins,1203
1920,22041,Azara,458
1920,22042,Azlor,552
1920,22043,Baells,780
1920,22044,Bailo,1427
1920,22045,Baldellou,644
1920,22046,Ballobar,2292
1920,22047,Banastás,141
1920,22048,Barbastro,8309
1920,22049,Barbués,253
1920,22050,Barbuñales,440
1920,22051,Bárcabo,803
1920,22052,Belver de Cinca,2056
1920,22053,Benabarre,2818
1920,22054,Benasque,1328
1920,22055,Berbegal,1079
1920,22057,Bielsa,1330
1920,22058,Bierge,1598
1920,22059,Biescas,3661
1920,22060,Binaced,2222
1920,22061,Binéfar,2755
1920,22062,Bisaurri,969
1920,22063,Biscarrués,886
1920,22064,Blecua y Torres,714
1920,22066,Boltaña,1871
1920,22067,Bonansa,398
1920,22068,Borau,371
1920,22069,Broto,1750
1920,22072,Caldearenas,1436
1920,22074,Campo,898
1920,22075,Camporrells,875
1920,22076,Canal de Berdún,1932
1920,22077,Candasnos,1063
1920,22078,Canfranc,1090
1920,22079,Capdesaso,425
1920,22080,Capella,1013
1920,22081,Casbas de Huesca,2054
1920,22082,Castejón del Puente,551
1920,22083,Castejón de Monegros,1502
1920,22084,Castejón de Sos,966
1920,22085,Castelflorite,266
1920,22086,Castiello de Jaca,506
1920,22087,Castigaleu,293
1920,22088,Castillazuelo,705
1920,22089,Castillonroy,907
1920,22090,Colungo,685
1920,22094,Chalamera,493
1920,22095,Chía,308
1920,22096,Chimillas,237
1920,22099,Esplús,1114
1920,22102,Estada,492
1920,22103,Estadilla,1548
1920,22105,Estopiñán del Castillo,1390
1920,22106,Fago,364
1920,22107,Fanlo,1033
1920,22109,Fiscal,2502
1920,22110,Fonz,2123
1920,22111,Foradada del Toscar,713
1920,22112,Fraga,7827
1920,22113,Fueva (La),2576
1920,22114,Gistaín,592
1920,22115,Grado (El),1616
1920,22116,Grañén,1460
1920,22117,Graus,6217
1920,22119,Gurrea de Gállego,1866
1920,22122,Hoz de Jaca,142
1920,22124,Huerto,1082
1920,22125,Huesca,16026
1920,22126,Ibieca,373
1920,22127,Igriés,411
1920,22128,Ilche,779
1920,22129,Isábena,1226
1920,22130,Jaca,9209
1920,22131,Jasa,525
1920,22133,Labuerda,505
1920,22135,Laluenga,863
1920,22136,Lalueza,1020
1920,22137,Lanaja,2088
1920,22139,Laperdiguera,363
1920,22141,Lascellas-Ponzano,871
1920,22142,Lascuarre,553
1920,22143,Laspaúles,1132
1920,22144,Laspuña,566
1920,22149,Loarre,1613
1920,22150,Loporzano,2833
1920,22151,Loscorrales,440
1920,22155,Monesma y Cajigar,590
1920,22156,Monflorite-Lascasas,428
1920,22157,Montanuy,1381
1920,22158,Monzón,5136
1920,22160,Naval,1132
1920,22162,Novales,460
1920,22163,Nueno,1132
1920,22164,Olvena,331
1920,22165,Ontiñena,1927
1920,22167,Osso de Cinca,885
1920,22168,Palo,270
1920,22170,Panticosa,931
1920,22172,Peñalba,1307
1920,22173,Peñas de Riglos (Las),2429
1920,22174,Peralta de Alcofea,2038
1920,22175,Peralta de Calasanz,2361
1920,22176,Peraltilla,498
1920,22177,Perarrúa,661
1920,22178,Pertusa,616
1920,22181,Piracés,279
1920,22182,Plan,1113
1920,22184,Poleñino,523
1920,22186,Pozán de Vero,791
1920,22187,Puebla de Castro (La),735
1920,22188,Puente de Montañana,801
1920,22189,Puértolas,1074
1920,22190,Pueyo de Araguás (El),503
1920,22193,Pueyo de Santa Cruz,466
1920,22195,Quicena,302
1920,22197,Robres,1129
1920,22199,Sabiñánigo,4828
1920,22200,Sahún,686
1920,22201,Salas Altas,1004
1920,22202,Salas Bajas,587
1920,22203,Salillas,374
1920,22204,Sallent de Gállego,1387
1920,22205,San Esteban de Litera,1836
1920,22206,Sangarrén,614
1920,22207,San Juan de Plan,383
1920,22208,Santa Cilia,600
1920,22209,Santa Cruz de la Serós,332
1920,22212,Santaliestra y San Quílez,422
1920,22213,Sariñena,4490
1920,22214,Secastilla,845
1920,22215,Seira,494
1920,22217,Sena,1249
1920,22218,Senés de Alcubierre,188
1920,22220,Sesa,838
1920,22221,Sesué,301
1920,22222,Siétamo,1551
1920,22223,Sopeira,724
1920,22225,Tamarite de Litera,4488
1920,22226,Tardienta,1925
1920,22227,Tella-Sin,843
1920,22228,Tierz,307
1920,22229,Tolva,898
1920,22230,Torla-Ordesa,886
1920,22232,Torralba de Aragón,477
1920,22233,Torre la Ribera,438
1920,22234,Torrente de Cinca,1438
1920,22235,Torres de Alcanadre,493
1920,22236,Torres de Barbués,250
1920,22239,Tramaced,119
1920,22242,Valfarta,368
1920,22243,Valle de Bardají,202
1920,22244,Valle de Lierp,263
1920,22245,Velilla de Cinca,1183
1920,22246,Beranuy,659
1920,22247,Viacamp y Litera,808
1920,22248,Vicién,296
1920,22249,Villanova,352
1920,22250,Villanúa,847
1920,22251,Villanueva de Sigena,972
1920,22252,Yebra de Basa,926
1920,22253,Yésero,293
1920,22254,Zaidín,2100
1920,22901,Valle de Hecho,2504
1920,22902,Puente la Reina de Jaca,817
1920,22903,San Miguel del Cinca,1902
1920,22904,Sotonera (La),3667
1920,22905,Lupiñén-Ortilla,1211
1920,22906,Santa María de Dulcis,583
1920,22907,Aínsa-Sobrarbe,3715
1920,22908,Hoz y Costeán,1313
