year,cp,name,population
1991,22001,Abiego,320
1991,22002,Abizanda,129
1991,22003,Adahuesca,174
1991,22004,Agüero,168
1991,22006,Aísa,321
1991,22007,Albalate de Cinca,1149
1991,22008,Albalatillo,279
1991,22009,Albelda,1023
1991,22011,Albero Alto,109
1991,22012,Albero Bajo,123
1991,22013,Alberuela de Tubo,439
1991,22014,Alcalá de Gurrea,404
1991,22015,Alcalá del Obispo,344
1991,22016,Alcampell,1075
1991,22017,Alcolea de Cinca,1240
1991,22018,Alcubierre,514
1991,22019,Alerre,155
1991,22020,Alfántega,138
1991,22021,Almudévar,2435
1991,22022,Almunia de San Juan,778
1991,22023,Almuniente,674
1991,22024,Alquézar,263
1991,22025,Altorricón,1529
1991,22027,Angüés,521
1991,22028,Ansó,479
1991,22029,Antillón,175
1991,22032,Aragüés del Puerto,123
1991,22035,Arén,439
1991,22036,Argavieso,117
1991,22037,Arguis,58
1991,22039,Ayerbe,1209
1991,22040,Azanuy-Alins,239
1991,22041,Azara,228
1991,22042,Azlor,189
1991,22043,Baells,171
1991,22044,Bailo,336
1991,22045,Baldellou,170
1991,22046,Ballobar,1148
1991,22047,Banastás,110
1991,22048,Barbastro,14778
1991,22049,Barbués,130
1991,22050,Barbuñales,123
1991,22051,Bárcabo,120
1991,22052,Belver de Cinca,1527
1991,22053,Benabarre,1233
1991,22054,Benasque,1081
1991,22055,Berbegal,520
1991,22057,Bielsa,439
1991,22058,Bierge,198
1991,22059,Biescas,1171
1991,22060,Binaced,1639
1991,22061,Binéfar,8001
1991,22062,Bisaurri,229
1991,22063,Biscarrués,267
1991,22064,Blecua y Torres,202
1991,22066,Boltaña,851
1991,22067,Bonansa,70
1991,22068,Borau,73
1991,22069,Broto,468
1991,22072,Caldearenas,283
1991,22074,Campo,375
1991,22075,Camporrells,269
1991,22076,Canal de Berdún,459
1991,22077,Candasnos,634
1991,22078,Canfranc,486
1991,22079,Capdesaso,198
1991,22080,Capella,456
1991,22081,Casbas de Huesca,366
1991,22082,Castejón del Puente,416
1991,22083,Castejón de Monegros,785
1991,22084,Castejón de Sos,449
1991,22085,Castelflorite,170
