name,1900,2018
Ababuj,459,76
Abejuela,698,49
Aguatón,181,18
Aguaviva,1781,522
Aguilar del Alfambra,524,63
Alacón,931,264
Alba,634,178
Albalate del Arzobispo,4291,2004
Albarracín,1932,1016
Albentosa,1003,257
Alcaine,1103,63
Alcalá de la Selva,1648,347
Alcañiz,7699,15939
Alcorisa,3119,3276
Alfambra,1355,531
Aliaga,1754,358
Almohaja,243,16
Alobras,546,62
Alpeñés,224,22
Allepuz,1040,126
Alloza,1773,582
Allueva,216,29
Anadón,355,27
Andorra,2704,7633
Arcos de las Salinas,1353,105
Arens de Lledó,759,206
Argente,716,198
Ariño,1366,708
Azaila,742,94
Bádenas,454,20
Báguena,1420,311
Bañón,693,153
Barrachina,697,118
Bea,170,31
Beceite,2252,541
Belmonte de San José,817,113
Bello,989,225
Berge,816,244
Bezas,357,70
Blancas,859,125
Blesa,1325,95
Bordón,586,106
Bronchales,950,443
Bueña,352,63
Burbáguena,1350,243
Cabra de Mora,563,55
Calaceite,2579,1011
Calamocha,6017,4319
Calanda,3924,3708
Calomarde,422,74
Camañas,450,124
Camarena de la Sierra,882,113
Camarillas,816,86
Caminreal,1349,619
Cantavieja,1962,714
Cañada de Benatanduz,642,39
Cañada de Verich (La),287,87
Cañada Vellida,201,35
Cañizar del Olivar,507,98
Cascante del Río,574,71
Castejón de Tornos,475,62
Castel de Cabra,623,104
Castelnou,680,160
Castelserás,2177,831
Castellar (El),489,52
Castellote,5122,676
Cedrillas,957,630
Celadas,876,396
Cella,2567,2606
Cerollera (La),450,100
Codoñera (La),1342,344
Corbalán,484,109
Cortes de Aragón,492,61
Cosa,385,52
Cretas,1562,571
Crivillén,937,68
Cuba (La),357,41
Cubla,363,54
Cucalón,525,80
Cuervo (El),576,86
Cuevas de Almudén,243,122
Cuevas Labradas,401,131
Ejulve,1291,180
Escorihuela,493,139
Escucha,707,885
Estercuel,964,210
Ferreruela de Huerva,262,63
Fonfría,205,28
Formiche Alto,1029,151
Fórnoles,742,75
Fortanete,1570,205
Foz-Calanda,786,238
Fresneda (La),1799,443
Frías de Albarracín,665,116
Fuenferrada,402,42
Fuentes Calientes,243,101
Fuentes Claras,1123,461
Fuentes de Rubielos,895,114
Fuentespalda,927,286
Galve,468,161
Gargallo,644,89
Gea de Albarracín,1168,376
Ginebrosa (La),1116,200
Griegos,415,143
Guadalaviar,492,242
Gúdar,730,72
Híjar,3330,1709
Hinojosa de Jarque,546,119
Hoz de la Vieja (La),924,85
Huesa del Común,1284,67
Iglesuela del Cid (La),1485,414
Jabaloyas,934,65
Jarque de la Val,277,70
Jatiel,255,40
Jorcas,462,34
Josa,615,34
Lagueruela,252,78
Lanzuela,243,24
Libros,607,101
Lidón,308,55
Linares de Mora,1592,249
Loscos,1507,129
Lledó,580,172
Maicas,391,27
Manzanera,2750,519
Martín del Río,729,417
Mas de las Matas,1981,1272
Mata de los Olmos (La),458,265
Mazaleón,1403,539
Mezquita de Jarque,327,98
Mirambel,835,116
Miravete de la Sierra,486,35
Molinos,1405,243
Monforte de Moyuela,694,65
Monreal del Campo,2330,2433
Monroyo,1284,340
Montalbán,2020,1243
Monteagudo del Castillo,489,50
Monterde de Albarracín,488,63
Mora de Rubielos,3213,1541
Moscardón,494,55
Mosqueruela,3103,551
Muniesa,1860,599
Noguera de Albarracín,489,133
Nogueras,359,25
Nogueruelas,1156,217
Obón,1257,45
Odón,974,205
Ojos Negros,1436,377
Olba,1802,226
Oliete,2146,364
Olmos (Los),600,122
Orihuela del Tremedal,945,487
Orrios,430,126
Palomar de Arroyos,612,169
Pancrudo,1000,110
Parras de Castellote (Las),1107,53
Peñarroya de Tastavins,1702,439
Peracense,385,76
Peralejos,286,88
Perales del Alfambra,817,221
Pitarque,938,79
Plou,529,43
Pobo (El),497,114
Portellada (La),860,243
Pozondón,539,48
Pozuel del Campo,598,68
Puebla de Híjar (La),1921,908
Puebla de Valverde (La),1982,453
Puertomingalvo,1271,112
Ráfales,859,143
Rillo,502,93
Riodeva,716,144
Ródenas,415,61
Royuela,459,206
Rubiales,290,50
Rubielos de la Cérida,501,38
Rubielos de Mora,2284,627
Salcedillo,155,17
Saldón,435,26
Samper de Calanda,2647,783
San Agustín,1204,125
San Martín del Río,1330,148
Santa Cruz de Nogueras,346,37
Santa Eulalia,1164,1037
