cp,nombre,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
44001,Ababuj,1,2,0,1,1,3,2,0,0,1,0,2,2,0,1,0,2,2,0,2,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
44002,Abejuela,2,1,1,0,3,1,0,0,2,0,0,1,0,0,1,1,0,0,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
44003,Aguatón,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44004,Aguaviva,4,4,3,4,6,1,1,3,2,3,2,5,8,6,3,4,5,7,2,5,6,4,6,6,8,0,2,4,4,1,0,0,0,2,0,0
44005,Aguilar del Alfambra,0,0,1,1,0,1,1,3,2,1,0,0,0,0,0,2,0,2,2,2,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0
44006,Alacón,5,3,3,6,5,1,3,3,1,2,10,3,6,3,3,4,7,3,5,6,7,9,4,7,2,5,2,1,0,0,0,0,0,0,0,1
44007,Alba,3,5,0,3,0,2,1,2,2,0,4,1,3,2,2,2,4,3,8,5,3,4,1,2,1,1,2,0,1,0,1,0,0,0,0,1
44008,Albalate del Arzobispo,25,14,23,29,20,25,25,26,23,18,17,20,26,11,19,21,17,19,16,31,14,20,14,13,13,7,9,2,7,3,1,1,3,0,0,2
44009,Albarracín,4,9,8,8,8,10,8,9,12,7,8,6,16,7,9,14,13,11,9,17,9,7,7,2,5,5,8,2,3,2,2,1,0,0,1,0
44010,Albentosa,0,2,1,1,1,1,2,3,4,1,0,2,2,3,3,2,4,3,2,3,2,2,0,1,0,1,1,1,1,1,0,1,0,0,0,0
44011,Alcaine,1,0,6,2,1,0,0,0,0,2,1,0,0,0,3,1,1,2,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1
44012,Alcalá de la Selva,4,9,6,2,1,6,3,5,2,3,2,5,6,2,2,6,4,4,3,3,2,5,5,2,1,2,2,0,1,2,1,0,0,0,0,0
