year,cp,name,population
1920,44001,Ababuj,409
1920,44002,Abejuela,696
1920,44003,Aguatón,179
1920,44004,Aguaviva,1761
1920,44005,Aguilar del Alfambra,536
1920,44006,Alacón,1070
1920,44007,Alba,732
1920,44008,Albalate del Arzobispo,4726
1920,44009,Albarracín,1780
1920,44010,Albentosa,1168
1920,44011,Alcaine,1108
1920,44012,Alcalá de la Selva,1667
1920,44013,Alcañiz,8596
1920,44014,Alcorisa,3654
1920,44016,Alfambra,1399
1920,44017,Aliaga,1638
1920,44018,Almohaja,258
1920,44019,Alobras,533
1920,44020,Alpeñés,248
1920,44021,Allepuz,941
1920,44022,Alloza,1882
1920,44023,Allueva,220
1920,44024,Anadón,349
1920,44025,Andorra,3084
1920,44026,Arcos de las Salinas,1160
1920,44027,Arens de Lledó,725
1920,44028,Argente,699
1920,44029,Ariño,1555
1920,44031,Azaila,777
1920,44032,Bádenas,368
1920,44033,Báguena,1430
1920,44034,Bañón,676
1920,44035,Barrachina,658
1920,44036,Bea,186
1920,44037,Beceite,1965
1920,44038,Belmonte de San José,745
1920,44039,Bello,1275
1920,44040,Berge,743
1920,44041,Bezas,368
1920,44042,Blancas,965
1920,44043,Blesa,1392
1920,44044,Bordón,567
1920,44045,Bronchales,1110
1920,44046,Bueña,419
1920,44047,Burbáguena,1227
1920,44048,Cabra de Mora,463
1920,44049,Calaceite,2899
1920,44050,Calamocha,7099
1920,44051,Calanda,4251
1920,44052,Calomarde,382
1920,44053,Camañas,445
1920,44054,Camarena de la Sierra,900
1920,44055,Camarillas,717
1920,44056,Caminreal,1649
1920,44059,Cantavieja,2005
1920,44060,Cañada de Benatanduz,522
1920,44061,Cañada de Verich (La),274
1920,44062,Cañada Vellida,211
1920,44063,Cañizar del Olivar,503
1920,44064,Cascante del Río,576
1920,44065,Castejón de Tornos,518
1920,44066,Castel de Cabra,530
1920,44067,Castelnou,505
1920,44068,Castelserás,2186
1920,44070,Castellar (El),489
1920,44071,Castellote,4890
1920,44074,Cedrillas,1029
1920,44075,Celadas,907
1920,44076,Cella,3197
1920,44077,Cerollera (La),415
1920,44080,Codoñera (La),1223
1920,44082,Corbalán,469
1920,44084,Cortes de Aragón,519
1920,44085,Cosa,419
1920,44086,Cretas,1801
1920,44087,Crivillén,845
1920,44088,Cuba (La),376
1920,44089,Cubla,327
1920,44090,Cucalón,515
1920,44092,Cuervo (El),567
1920,44093,Cuevas de Almudén,252
1920,44094,Cuevas Labradas,393
1920,44096,Ejulve,1352
1920,44097,Escorihuela,537
1920,44099,Escucha,806
1920,44100,Estercuel,1152
1920,44101,Ferreruela de Huerva,297
1920,44102,Fonfría,207
1920,44103,Formiche Alto,962
1920,44105,Fórnoles,792
1920,44106,Fortanete,1355
1920,44107,Foz-Calanda,710
1920,44108,Fresneda (La),2008
1920,44109,Frías de Albarracín,672
1920,44110,Fuenferrada,339
1920,44111,Fuentes Calientes,268
1920,44112,Fuentes Claras,1178
1920,44113,Fuentes de Rubielos,871
1920,44114,Fuentespalda,821
1920,44115,Galve,407
1920,44116,Gargallo,614
1920,44117,Gea de Albarracín,1076
1920,44118,Ginebrosa (La),991
1920,44119,Griegos,481
1920,44120,Guadalaviar,631
1920,44121,Gúdar,657
1920,44122,Híjar,3850
1920,44123,Hinojosa de Jarque,510
1920,44124,Hoz de la Vieja (La),977
1920,44125,Huesa del Común,1223
1920,44126,Iglesuela del Cid (La),1430
1920,44127,Jabaloyas,708
1920,44128,Jarque de la Val,338
1920,44129,Jatiel,257
1920,44130,Jorcas,384
1920,44131,Josa,526
1920,44132,Lagueruela,283
1920,44133,Lanzuela,238
1920,44135,Libros,794
1920,44136,Lidón,345
1920,44137,Linares de Mora,1515
1920,44138,Loscos,1461
1920,44141,Lledó,543
1920,44142,Maicas,390
1920,44143,Manzanera,2368
1920,44144,Martín del Río,882
1920,44145,Mas de las Matas,2142
1920,44146,Mata de los Olmos (La),445
1920,44147,Mazaleón,1627
1920,44148,Mezquita de Jarque,326
1920,44149,Mirambel,791
1920,44150,Miravete de la Sierra,399
1920,44151,Molinos,1150
1920,44152,Monforte de Moyuela,740
1920,44153,Monreal del Campo,2737
1920,44154,Monroyo,1184
1920,44155,Montalbán,2339
1920,44156,Monteagudo del Castillo,531
1920,44157,Monterde de Albarracín,531
1920,44158,Mora de Rubielos,2898
1920,44159,Moscardón,503
1920,44160,Mosqueruela,3010
1920,44161,Muniesa,2112
1920,44163,Noguera de Albarracín,583
1920,44164,Nogueras,333
1920,44165,Nogueruelas,1006
1920,44167,Obón,1130
1920,44168,Odón,958
1920,44169,Ojos Negros,2114
1920,44171,Olba,1793
1920,44172,Oliete,2327
1920,44173,Olmos (Los),518
1920,44174,Orihuela del Tremedal,1052
1920,44175,Orrios,409
1920,44176,Palomar de Arroyos,612
1920,44177,Pancrudo,1097
1920,44178,Parras de Castellote (Las),985
1920,44179,Peñarroya de Tastavins,1600
1920,44180,Peracense,431
1920,44181,Peralejos,279
1920,44182,Perales del Alfambra,848
1920,44183,Pitarque,889
1920,44184,Plou,493
1920,44185,Pobo (El),553
1920,44187,Portellada (La),823
1920,44189,Pozondón,595
1920,44190,Pozuel del Campo,602
1920,44191,Puebla de Híjar (La),2724
1920,44192,Puebla de Valverde (La),2242
1920,44193,Puertomingalvo,1421
1920,44194,Ráfales,907
1920,44195,Rillo,527
1920,44196,Riodeva,765
1920,44197,Ródenas,503
1920,44198,Royuela,482
1920,44199,Rubiales,254
1920,44200,Rubielos de la Cérida,474
1920,44201,Rubielos de Mora,2129
1920,44203,Salcedillo,134
1920,44204,Saldón,470
1920,44205,Samper de Calanda,2626
1920,44206,San Agustín,1477
1920,44207,San Martín del Río,919
1920,44208,Santa Cruz de Nogueras,345
1920,44209,Santa Eulalia,2140
1920,44210,Sarrión,2396
1920,44211,Segura de los Baños,754
1920,44212,Seno,389
1920,44213,Singra,455
1920,44215,Terriente,1135
1920,44216,Teruel,15145
1920,44217,Toril y Masegoso,344
1920,44218,Tormón,310
1920,44219,Tornos,740
1920,44220,Torralba de los Sisones,609
1920,44221,Torrecilla de Alcañiz,1087
1920,44222,Torrecilla del Rebollar,918
1920,44223,Torre de Arcas,524
1920,44224,Torre de las Arcas,521
1920,44225,Torre del Compte,848
1920,44226,Torrelacárcel,705
1920,44227,Torre los Negros,496
1920,44228,Torremocha de Jiloca,512
1920,44229,Torres de Albarracín,540
1920,44230,Torrevelilla,798
1920,44231,Torrijas,571
1920,44232,Torrijo del Campo,1443
1920,44234,Tramacastiel,600
