year,cp,name,population,select,mayor,menor
1900,44001,Ababuj,459,Ababuj,36.84,9.21
1900,44002,Abejuela,698,Abejuela,38.77,4.08
1900,44003,Aguatón,181,Aguatón,44.44,0
1900,44004,Aguaviva,1781,Aguaviva,23.18,15.51
1900,44005,Aguilar del Alfambra,524,Aguilar del Alfambra,34.92,12.69
1900,44006,Alacón,931,Alacón,45.45,6.43
1900,44007,Alba,634,Alba,38.76,7.86
1900,44008,Albalate del Arzobispo,4291,Albalate del Arzobispo,26.64,14.62
1900,44009,Albarracín,1932,Albarracín,24.31,15.45
1900,44010,Albentosa,1003,Albentosa,19.84,21.01
1900,44011,Alcaine,1103,Alcaine,42.85,7.93
1900,44012,Alcalá de la Selva,1648,Alcalá de la Selva,29.10,8.93
1900,44013,Alcañiz,7699,Alcañiz,18.75,20.99
1900,44014,Alcorisa,3119,Alcorisa,20.60,18.86
1900,44016,Alfambra,1355,Alfambra,41.05,9.22
1900,44017,Aliaga,1754,Aliaga,26.81,15.64
1900,44018,Almohaja,243,Almohaja,62.50,0
1900,44019,Alobras,546,Alobras,40.32,0
1900,44020,Alpeñés,224,Alpeñés,36.36,0
1900,44021,Allepuz,1040,Allepuz,37.30,14.28
1900,44022,Alloza,1773,Alloza,33.84,12.02
1900,44023,Allueva,216,Allueva,34.48,13.79
1900,44024,Anadón,355,Anadón,22.22,0
1900,44025,Andorra,2704,Andorra,18.94,17.12
1900,44026,Arcos de las Salinas,1353,Arcos de las Salinas,28.57,13.33
1900,44027,Arens de Lledó,759,Arens de Lledó,37.37,9.22
1900,44028,Argente,716,Argente,40.90,11.11
1900,44029,Ariño,1366,Ariño,23.87,14.26
1900,44031,Azaila,742,Azaila,43.61,5.31
1900,44032,Bádenas,454,Bádenas,30.00,10.00
1900,44033,Báguena,1420,Báguena,42.44,8.36
1900,44034,Bañón,693,Bañón,40.52,9.80
1900,44035,Barrachina,697,Barrachina,34.74,6.77
1900,44036,Bea,170,Bea,22.58,12.90
1900,44037,Beceite,2252,Beceite,29.57,13.30
1900,44038,Belmonte de San José,817,Belmonte de San José,45.13,9.73
1900,44039,Bello,989,Bello,48.00,7.11
1900,44040,Berge,816,Berge,25.40,17.21
1900,44041,Bezas,357,Bezas,20.00,10.00
1900,44042,Blancas,859,Blancas,40.80,8.80
1900,44043,Blesa,1325,Blesa,40.00,3.15
1900,44044,Bordón,586,Bordón,33.01,17.92
1900,44045,Bronchales,950,Bronchales,21.67,10.38
1900,44046,Bueña,352,Bueña,44.44,12.69
1900,44047,Burbáguena,1350,Burbáguena,55.96,5.76
1900,44048,Cabra de Mora,563,Cabra de Mora,29.09,1.81
1900,44049,Calaceite,2579,Calaceite,33.72,12.85
1900,44050,Calamocha,6017,Calamocha,20.90,19.00
1900,44051,Calanda,3924,Calanda,21.57,15.61
1900,44052,Calomarde,422,Calomarde,43.24,0
1900,44053,Camañas,450,Camañas,30.64,16.12
1900,44054,Camarena de la Sierra,882,Camarena de la Sierra,25.66,8.84
1900,44055,Camarillas,816,Camarillas,32.55,11.62
1900,44056,Caminreal,1349,Caminreal,31.82,12.27
1900,44059,Cantavieja,1962,Cantavieja,23.80,17.64
1900,44060,Cañada de Benatanduz,642,Cañada de Benatanduz,41.02,0
1900,44061,Cañada de Verich La,287,Cañada de Verich La,32.18,16.09
1900,44062,Cañada Vellida,201,Cañada Vellida,51.42,0
1900,44063,Cañizar del Olivar,507,Cañizar del Olivar,22.44,18.36
1900,44064,Cascante del Río,574,Cascante del Río,47.88,4.22
1900,44065,Castejón de Tornos,475,Castejón de Tornos,58.06,1.61
1900,44066,Castel de Cabra,623,Castel de Cabra,36.53,10.57
1900,44067,Castelnou,680,Castelnou,21.87,19.37
1900,44068,Castelserás,2177,Castelserás,28.27,18.53
1900,44070,Castellar El,489,Castellar El,44.23,1.92
1900,44071,Castellote,5122,Castellote,32.39,8.87
1900,44074,Cedrillas,957,Cedrillas,23.01,18.25
1900,44075,Celadas,876,Celadas,29.29,13.38
1900,44076,Cella,2567,Cella,28.31,14.27
1900,44077,Cerollera La,450,Cerollera La,23.00,14.00
1900,44080,Codoñera La,1342,Codoñera La,32.26,11.62
1900,44082,Corbalán,484,Corbalán,20.18,16.51
1900,44084,Cortes de Aragón,492,Cortes de Aragón,29.50,6.55
1900,44085,Cosa,385,Cosa,46.15,1.92
1900,44086,Cretas,1562,Cretas,31.69,14.18
1900,44087,Crivillén,937,Crivillén,64.70,0
1900,44088,Cuba La,357,Cuba La,26.82,9.75
1900,44089,Cubla,363,Cubla,20.37,9.25
1900,44090,Cucalón,525,Cucalón,40.00,8.75
1900,44092,Cuervo El,576,Cuervo El,48.83,9.30
1900,44093,Cuevas de Almudén,243,Cuevas de Almudén,22.13,17.21
1900,44094,Cuevas Labradas,401,Cuevas Labradas,41.22,7.63
1900,44096,Ejulve,1291,Ejulve,36.11,6.11
1900,44097,Escorihuela,493,Escorihuela,49.64,1.43
1900,44099,Escucha,707,Escucha,17.51,17.17
1900,44100,Estercuel,964,Estercuel,25.23,8.57
1900,44101,Ferreruela de Huerva,262,Ferreruela de Huerva,44.44,3.17
1900,44102,Fonfría,205,Fonfría,57.14,0
1900,44103,Formiche Alto,1029,Formiche Alto,34.43,12.58
1900,44105,Fórnoles,742,Fórnoles,42.66,4.00
1900,44106,Fortanete,1570,Fortanete,24.87,17.56
1900,44107,Foz-Calanda,786,Foz-Calanda,27.73,13.86
1900,44108,Fresneda La,1799,Fresneda La,27.99,13.54
1900,44109,Frías de Albarracín,665,Frías de Albarracín,31.89,6.89
1900,44110,Fuenferrada,402,Fuenferrada,64.28,0
1900,44111,Fuentes Calientes,243,Fuentes Calientes,33.66,5.94
1900,44112,Fuentes Claras,1123,Fuentes Claras,41.21,9.76
1900,44113,Fuentes de Rubielos,895,Fuentes de Rubielos,10.52,22.80
1900,44114,Fuentespalda,927,Fuentespalda,35.66,9.79
1900,44115,Galve,468,Galve,21.11,21.11
1900,44116,Gargallo,644,Gargallo,30.33,14.60
1900,44117,Gea de Albarracín,1168,Gea de Albarracín,34.30,9.84
1900,44118,Ginebrosa La,1116,Ginebrosa La,32.50,15.00
1900,44119,Griegos,415,Griegos,30.06,8.39
1900,44120,Guadalaviar,492,Guadalaviar,22.31,9.50
1900,44121,Gúdar,730,Gúdar,25.00,18.05
1900,44122,Híjar,3330,Híjar,27.20,16.32
1900,44123,Hinojosa de Jarque,546,Hinojosa de Jarque,42.85,5.04
1900,44124,Hoz de la Vieja La,924,Hoz de la Vieja La,36.47,11.76
1900,44125,Huesa del Común,1284,Huesa del Común,47.76,2.98
1900,44126,Iglesuela del Cid La,1485,Iglesuela del Cid La,23.91,13.76
1900,44127,Jabaloyas,934,Jabaloyas,32.30,1.53
1900,44128,Jarque de la Val,277,Jarque de la Val,42.85,8.57
1900,44129,Jatiel,255,Jatiel,30.00,2.50
1900,44130,Jorcas,462,Jorcas,47.05,11.76
1900,44131,Josa,615,Josa,41.17,2.94
1900,44132,Lagueruela,252,Lagueruela,46.15,12.82
1900,44133,Lanzuela,243,Lanzuela,20.83,12.50
1900,44135,Libros,607,Libros,50.49,0
1900,44136,Lidón,308,Lidón,50.90,7.27
1900,44137,Linares de Mora,1592,Linares de Mora,26.90,10.84
1900,44138,Loscos,1507,Loscos,43.41,4.65
1900,44141,Lledó,580,Lledó,30.23,13.37
1900,44142,Maicas,391,Maicas,48.14,0
1900,44143,Manzanera,2750,Manzanera,22.35,15.79
1900,44144,Martín del Río,729,Martín del Río,30.21,15.82
1900,44145,Mas de las Matas,1981,Mas de las Matas,30.26,14.07
1900,44146,Mata de los Olmos La,458,Mata de los Olmos La,23.39,18.86
1900,44147,Mazaleón,1403,Mazaleón,27.27,15.02
