year,name,cp,nacidos,defunciones,saldo
2017,Zaragoza,Abanto (50001),0,3,-3
2017,Zaragoza,Acered (50002),0,4,-4
2017,Zaragoza,Aguarón (50004),4,15,-11
2017,Zaragoza,Aguilón (50005),1,2,-1
2017,Zaragoza,Agón (50003),1,7,-6
2017,Zaragoza,Ainzón (50006),6,26,-20
2017,Zaragoza,Alagón (50008),53,60,-7
2017,Zaragoza,Alarba (50009),0,4,-4
2017,Zaragoza,Albeta (50011),1,2,-1
2017,Zaragoza,Alcalá de Ebro (50013),0,4,-4
2017,Zaragoza,Alcalá de Moncayo (50014),0,4,-4
2017,Zaragoza,Alconchel de Ariza (50015),1,,1
2017,Zaragoza,Alfajarín (50017),22,26,-4
2017,Zaragoza,Alfamén (50018),11,13,-2
2017,Zaragoza,Alforque (50019),0,1,-1
2017,Zaragoza,Alhama de Aragón (50020),7,11,-4
2017,Zaragoza,Almolda (La) (50022),3,9,-6
2017,Zaragoza,Almonacid de la Cuba (50023),1,10,-9
2017,Zaragoza,Almonacid de la Sierra (50024),7,20,-13
2017,Zaragoza,Almunia de Doña Godina (La) (50025),81,94,-13
2017,Zaragoza,Alpartir (50026),2,5,-3
2017,Zaragoza,Ambel (50027),1,3,-2
2017,Zaragoza,Aniñón (50029),1,13,-12
2017,Zaragoza,Aranda de Moncayo (50031),0,3,-3
2017,Zaragoza,Ariza (50034),10,19,-9
2017,Zaragoza,Artieda (50035),0,1,-1
2017,Zaragoza,Arándiga (50032),1,6,-5
2017,Zaragoza,Asín (50036),0,2,-2
2017,Zaragoza,Atea (50037),2,4,-2
2017,Zaragoza,Ateca (50038),8,23,-15
2017,Zaragoza,Azuara (50039),3,6,-3
2017,Zaragoza,Añón de Moncayo (50030),1,4,-3
2017,Zaragoza,Bardallur (50044),2,7,-5
2017,Zaragoza,Belchite (50045),9,27,-18
2017,Zaragoza,Belmonte de Gracián (50046),1,8,-7
2017,Zaragoza,Biel (50901),0,5,-5
2017,Zaragoza,Bijuesca (50050),0,3,-3
2017,Zaragoza,Biota (50051),0,24,-24
2017,Zaragoza,Bisimbre (50052),0,2,-2
2017,Zaragoza,Boquiñeni (50053),4,16,-12
2017,Zaragoza,Bordalba (50054),0,1,-1
2017,Zaragoza,Borja (50055),37,66,-29
2017,Zaragoza,Botorrita (50056),4,5,-1
2017,Zaragoza,Brea de Aragón (50057),8,13,-5
2017,Zaragoza,Bubierca (50058),0,1,-1
2017,Zaragoza,Bujaraloz (50059),13,15,-2
2017,Zaragoza,Bulbuente (50060),1,4,-3
2017,Zaragoza,Bureta (50061),1,3,-2
2017,Zaragoza,Burgo de Ebro (El) (50062),16,21,-5
2017,Zaragoza,Bárboles (50043),0,2,-2
2017,Zaragoza,Cabañas de Ebro (50064),1,8,-7
2017,Zaragoza,Cadrete (50066),47,14,33
2017,Zaragoza,Calatayud (50067),126,227,-101
2017,Zaragoza,Calatorao (50068),24,39,-15
2017,Zaragoza,Calmarza (50070),0,1,-1
2017,Zaragoza,Campillo de Aragón (50071),0,3,-3
2017,Zaragoza,Carenas (50072),0,5,-5
2017,Zaragoza,Cariñena (50073),26,40,-14
2017,Zaragoza,Caspe (50074),114,102,12
2017,Zaragoza,Castejón de Alarba (50075),0,2,-2
2017,Zaragoza,Castejón de las Armas (50076),0,2,-2
2017,Zaragoza,Castejón de Valdejasa (50077),2,2,0
2017,Zaragoza,Castiliscar (50078),0,2,-2
2017,Zaragoza,Cervera de la Cañada (50079),0,5,-5
2017,Zaragoza,Cerveruela (50080),0,1,-1
2017,Zaragoza,Cetina (50081),1,8,-7
2017,Zaragoza,Chiprana (50092),3,4,-1
2017,Zaragoza,Chodes (50093),0,4,-4
2017,Zaragoza,Cimballa (50082),0,2,-2
2017,Zaragoza,Cinco Olivas (50083),0,2,-2
2017,Zaragoza,Clarés de Ribota (50084),0,2,-2
2017,Zaragoza,Codo (50085),0,3,-3
2017,Zaragoza,Codos (50086),0,2,-2
2017,Zaragoza,Contamina (50087),0,1,-1
2017,Zaragoza,Cosuenda (50088),1,5,-4
2017,Zaragoza,Cuarte de Huerva (50089),204,31,173
2017,Zaragoza,Cubel (50090),0,6,-6
2017,Zaragoza,Cuerlas (Las) (50091),0,2,-2
2017,Zaragoza,Daroca (50094),12,39,-27
2017,Zaragoza,Ejea de los Caballeros (50095),135,187,-52
2017,Zaragoza,Encinacorba (50098),1,4,-3
2017,Zaragoza,Erla (50100),0,3,-3
2017,Zaragoza,Escatrón (50101),4,18,-14
2017,Zaragoza,Fabara (50102),3,19,-16
2017,Zaragoza,Farlete (50104),1,3,-2
2017,Zaragoza,Fayos (Los) (50106),0,3,-3
2017,Zaragoza,Fayón (50105),6,9,-3
2017,Zaragoza,Figueruelas (50107),9,12,-3
2017,Zaragoza,Fombuena (50108),0,1,-1
2017,Zaragoza,Frago (El) (50109),0,2,-2
2017,Zaragoza,Frasno (El) (50110),1,5,-4
2017,Zaragoza,Fréscano (50111),2,4,-2
2017,Zaragoza,Fuendejalón (50113),7,7,0
2017,Zaragoza,Fuendetodos (50114),1,3,-2
2017,Zaragoza,Fuentes de Ebro (50115),41,45,-4
2017,Zaragoza,Fuentes de Jiloca (50116),1,6,-5
2017,Zaragoza,Gallocanta (50117),1,,1
2017,Zaragoza,Gallur (50118),23,36,-13
2017,Zaragoza,Gelsa (50119),8,26,-18
2017,Zaragoza,Gotor (50121),0,6,-6
2017,Zaragoza,Grisén (50123),5,10,-5
2017,Zaragoza,Herrera de los Navarros (50124),4,7,-3
2017,Zaragoza,Ibdes (50125),1,5,-4
2017,Zaragoza,Illueca (50126),8,34,-26
2017,Zaragoza,Isuerre (50128),0,1,-1
2017,Zaragoza,Jaraba (50129),0,9,-9
2017,Zaragoza,Jarque de Moncayo (50130),4,8,-4
2017,Zaragoza,Jaulín (50131),1,5,-4
2017,Zaragoza,Joyosa (La) (50132),12,8,4
2017,Zaragoza,Lagata (50133),0,2,-2
2017,Zaragoza,Langa del Castillo (50134),1,2,-1
2017,Zaragoza,Layana (50135),1,4,-3
2017,Zaragoza,Leciñena (50137),3,28,-25
2017,Zaragoza,Letux (50139),1,10,-9
2017,Zaragoza,Lituénigo (50141),2,2,0
2017,Zaragoza,Lobera de Onsella (50142),1,1,0
2017,Zaragoza,Longares (50143),2,16,-14
2017,Zaragoza,Lucena de Jalón (50146),1,3,-2
2017,Zaragoza,Luceni (50147),10,12,-2
2017,Zaragoza,Luesia (50148),0,6,-6
2017,Zaragoza,Lumpiaque (50150),11,12,-1
2017,Zaragoza,Luna (50151),3,19,-16
2017,Zaragoza,Lécera (50136),2,15,-13
2017,Zaragoza,Maella (50152),18,31,-13
2017,Zaragoza,Magallón (50153),6,20,-14
2017,Zaragoza,Mainar (50154),0,3,-3
2017,Zaragoza,Malanquilla (50155),0,1,-1
2017,Zaragoza,Maleján (50156),0,2,-2
2017,Zaragoza,Mallén (50160),22,38,-16
2017,Zaragoza,Maluenda (50159),1,13,-12
2017,Zaragoza,Malón (50157),3,10,-7
2017,Zaragoza,Manchones (50161),3,4,-1
2017,Zaragoza,Mara (50162),1,4,-3
2017,Zaragoza,María de Huerva (50163),73,27,46
2017,Zaragoza,Mediana de Aragón (50164),0,3,-3
2017,Zaragoza,Mequinenza (50165),7,31,-24
2017,Zaragoza,Mesones de Isuela (50166),1,1,0
2017,Zaragoza,Mezalocha (50167),0,5,-5
2017,Zaragoza,Miedes de Aragón (50169),3,5,-2
2017,Zaragoza,Monegrillo (50170),1,4,-3
2017,Zaragoza,Moneva (50171),0,1,-1
2017,Zaragoza,Monreal de Ariza (50172),1,2,-1
2017,Zaragoza,Monterde (50173),0,2,-2
2017,Zaragoza,Montón (50174),0,1,-1
2017,Zaragoza,Morata de Jalón (50175),3,25,-22
2017,Zaragoza,Morata de Jiloca (50176),2,3,-1
2017,Zaragoza,Moros (50178),0,9,-9
2017,Zaragoza,Morés (50177),0,7,-7
2017,Zaragoza,Moyuela (50179),0,9,-9
2017,Zaragoza,Mozota (50180),0,3,-3
2017,Zaragoza,Muel (50181),2,11,-9
2017,Zaragoza,Muela (La) (50182),60,25,35
2017,Zaragoza,Munébrega (50183),0,2,-2
2017,Zaragoza,Murero (50184),0,1,-1
2017,Zaragoza,Murillo de Gállego (50185),0,,0
2017,Zaragoza,Nigüella (50187),0,2,-2
2017,Zaragoza,Nonaspe (50189),7,18,-11
2017,Zaragoza,Novallas (50190),7,18,-11
2017,Zaragoza,Novillas (50191),5,10,-5
2017,Zaragoza,Nuez de Ebro (50193),8,8,0
2017,Zaragoza,Nuévalos (50192),4,6,-2
2017,Zaragoza,Olvés (50194),0,4,-4
2017,Zaragoza,Orcajo (50195),0,1,-1
2017,Zaragoza,Orera (50196),0,4,-4
2017,Zaragoza,Orés (50197),0,2,-2
2017,Zaragoza,Osera de Ebro (50199),4,12,-8
2017,Zaragoza,Paniza (50200),2,9,-7
2017,Zaragoza,Paracuellos de Jiloca (50201),5,7,-2
2017,Zaragoza,Paracuellos de la Ribera (50202),0,2,-2
2017,Zaragoza,Pastriz (50203),9,13,-4
2017,Zaragoza,Pedrola (50204),32,25,7
2017,Zaragoza,Pedrosas (Las) (50205),0,3,-3
2017,Zaragoza,Perdiguera (50206),0,6,-6
2017,Zaragoza,Piedratajada (50207),0,3,-3
2017,Zaragoza,Pina de Ebro (50208),13,35,-22
2017,Zaragoza,Pinseque (50209),50,54,-4
2017,Zaragoza,Pintanos (Los) (50210),0,1,-1
2017,Zaragoza,Plasencia de Jalón (50211),3,9,-6
2017,Zaragoza,Pleitas (50212),0,,0
2017,Zaragoza,Plenas (50213),0,2,-2
2017,Zaragoza,Pozuel de Ariza (50215),0,1,-1
2017,Zaragoza,Pozuelo de Aragón (50216),2,,2
2017,Zaragoza,Pradilla de Ebro (50217),3,5,-2
2017,Zaragoza,Puebla de Albortón (50218),1,2,-1
2017,Zaragoza,Puebla de Alfindén (La) (50219),57,23,34
2017,Zaragoza,Puendeluna (50220),0,1,-1
2017,Zaragoza,Quinto (50222),15,23,-8
2017,Zaragoza,Remolinos (50223),5,17,-12
2017,Zaragoza,Retascón (50224),1,1,0
2017,Zaragoza,Ricla (50225),23,35,-12
2017,Zaragoza,Romanos (50227),1,6,-5
2017,Zaragoza,Rueda de Jalón (50228),5,3,2
2017,Zaragoza,Ruesca (50229),0,2,-2
2017,Zaragoza,Salillas de Jalón (50231),3,6,-3
2017,Zaragoza,Salvatierra de Esca (50232),1,3,-2
2017,Zaragoza,Samper del Salz (50233),0,1,-1
2017,Zaragoza,San Martín de la Virgen de Moncayo (50234),2,5,-3
2017,Zaragoza,San Mateo de Gállego (50235),32,31,1
2017,Zaragoza,Santa Cruz de Grío (50236),0,3,-3
2017,Zaragoza,Santa Cruz de Moncayo (50237),0,3,-3
2017,Zaragoza,Santa Eulalia de Gállego (50238),1,1,0
2017,Zaragoza,Santed (50239),0,3,-3
2017,Zaragoza,Saviñán (50241),3,9,-6
2017,Zaragoza,Sediles (50242),0,4,-4
2017,Zaragoza,Sestrica (50243),0,6,-6
2017,Zaragoza,Sierra de Luna (50244),3,3,0
2017,Zaragoza,Sigüés (50245),1,3,-2
2017,Zaragoza,Sisamón (50246),0,1,-1
2017,Zaragoza,Sobradiel (50247),10,12,-2
2017,Zaragoza,Sos del Rey Católico (50248),5,8,-3
2017,Zaragoza,Sádaba (50230),6,32,-26
2017,Zaragoza,Sástago (50240),7,27,-20
2017,Zaragoza,Tabuenca (50249),0,8,-8
2017,Zaragoza,Talamantes (50250),0,,0
2017,Zaragoza,Tarazona (50251),67,110,-43
2017,Zaragoza,Tauste (50252),51,93,-42
2017,Zaragoza,Terrer (50253),0,11,-11
2017,Zaragoza,Tierga (50254),0,1,-1
2017,Zaragoza,Tobed (50255),0,7,-7
2017,Zaragoza,Torralba de los Frailes (50256),0,2,-2
2017,Zaragoza,Torralba de Ribota (50257),0,3,-3
2017,Zaragoza,Torrehermosa (50259),0,1,-1
2017,Zaragoza,Torrelapaja (50260),0,1,-1
2017,Zaragoza,Torrellas (50261),0,8,-8
2017,Zaragoza,Torres de Berrellén (50262),8,15,-7
2017,Zaragoza,Torrijo de la Cañada (50263),2,4,-2
2017,Zaragoza,Tosos (50264),0,3,-3
2017,Zaragoza,Trasobares (50266),0,5,-5
2017,Zaragoza,Uncastillo (50267),2,15,-13
2017,Zaragoza,Urrea de Jalón (50269),4,17,-13
2017,Zaragoza,Urriés (50270),0,1,-1
2017,Zaragoza,Used (50271),0,8,-8
2017,Zaragoza,Utebo (50272),167,107,60
2017,Zaragoza,Val de San Martín (50274),0,2,-2
2017,Zaragoza,Valmadrid (50275),1,7,-6
2017,Zaragoza,Valpalmas (50276),0,2,-2
2017,Zaragoza,Velilla de Ebro (50278),1,2,-1
2017,Zaragoza,Vera de Moncayo (50280),2,8,-6
2017,Zaragoza,Vierlas (50281),1,1,0
2017,Zaragoza,Villadoz (50283),2,2,0
2017,Zaragoza,Villafeliche (50284),0,2,-2
2017,Zaragoza,Villafranca de Ebro (50285),12,14,-2
2017,Zaragoza,Villalba de Perejil (50286),0,2,-2
2017,Zaragoza,Villalengua (50287),1,6,-5
2017,Zaragoza,Villamayor de Gállego (50903),15,21,-6
2017,Zaragoza,Villanueva de Gállego (50288),30,50,-20
2017,Zaragoza,Villanueva de Huerva (50290),2,6,-4
2017,Zaragoza,Villanueva de Jiloca (50289),0,3,-3
2017,Zaragoza,Villar de los Navarros (50291),1,2,-1
2017,Zaragoza,Villarreal de Huerva (50292),4,2,2
2017,Zaragoza,Villarroya de la Sierra (50293),1,11,-10
2017,Zaragoza,Villarroya del Campo (50294),2,,2
2017,Zaragoza,Vilueña (La) (50282),0,2,-2
2017,Zaragoza,Zaida (La) (50296),2,8,-6
2017,Zaragoza,Zaragoza (50297),5619,6558,-939
2017,Zaragoza,Zuera (50298),70,70,0
2017,Zaragoza,Épila (50099),50,58,-8
2016,Zaragoza,Abanto (50001),0,4,-4
2016,Zaragoza,Acered (50002),1,5,-4
2016,Zaragoza,Aguarón (50004),2,13,-11
2016,Zaragoza,Aguilón (50005),1,5,-4
2016,Zaragoza,Agón (50003),1,2,-1
2016,Zaragoza,Ainzón (50006),5,18,-13
2016,Zaragoza,Aladrén (50007),0,1,-1
2016,Zaragoza,Alagón (50008),67,61,6
2016,Zaragoza,Alarba (50009),0,1,-1
2016,Zaragoza,Albeta (50011),1,2,-1
2016,Zaragoza,Alborge (50012),1,1,0
2016,Zaragoza,Alcalá de Ebro (50013),3,,3
2016,Zaragoza,Alcalá de Moncayo (50014),1,4,-3
2016,Zaragoza,Alconchel de Ariza (50015),0,5,-5
2016,Zaragoza,Aldehuela de Liestos (50016),0,1,-1
2016,Zaragoza,Alfajarín (50017),22,13,9
2016,Zaragoza,Alfamén (50018),18,23,-5
2016,Zaragoza,Alforque (50019),0,1,-1
2016,Zaragoza,Alhama de Aragón (50020),11,13,-2
2016,Zaragoza,Almolda (La) (50022),0,9,-9
2016,Zaragoza,Almonacid de la Cuba (50023),1,8,-7
2016,Zaragoza,Almonacid de la Sierra (50024),2,15,-13
2016,Zaragoza,Almunia de Doña Godina (La) (50025),67,72,-5
2016,Zaragoza,Alpartir (50026),2,4,-2
2016,Zaragoza,Ambel (50027),1,4,-3
2016,Zaragoza,Anento (50028),0,2,-2
2016,Zaragoza,Aniñón (50029),1,7,-6
2016,Zaragoza,Aranda de Moncayo (50031),0,4,-4
2016,Zaragoza,Ariza (50034),9,20,-11
2016,Zaragoza,Arándiga (50032),0,8,-8
2016,Zaragoza,Asín (50036),0,2,-2
2016,Zaragoza,Atea (50037),0,3,-3
2016,Zaragoza,Ateca (50038),6,20,-14
2016,Zaragoza,Azuara (50039),2,5,-3
2016,Zaragoza,Añón de Moncayo (50030),0,4,-4
2016,Zaragoza,Badules (50040),1,1,0
2016,Zaragoza,Bardallur (50044),1,4,-3
2016,Zaragoza,Belchite (50045),5,26,-21
2016,Zaragoza,Belmonte de Gracián (50046),0,2,-2
2016,Zaragoza,Berrueco (50048),1,,1
2016,Zaragoza,Biel (50901),1,4,-3
2016,Zaragoza,Bijuesca (50050),0,1,-1
2016,Zaragoza,Biota (50051),5,12,-7
2016,Zaragoza,Bisimbre (50052),0,2,-2
2016,Zaragoza,Boquiñeni (50053),2,9,-7
2016,Zaragoza,Bordalba (50054),0,2,-2
2016,Zaragoza,Borja (50055),41,56,-15
2016,Zaragoza,Botorrita (50056),3,4,-1
2016,Zaragoza,Brea de Aragón (50057),8,11,-3
2016,Zaragoza,Bubierca (50058),0,2,-2
2016,Zaragoza,Bujaraloz (50059),10,19,-9
2016,Zaragoza,Bulbuente (50060),0,4,-4
2016,Zaragoza,Bureta (50061),1,4,-3
2016,Zaragoza,Burgo de Ebro (El) (50062),36,13,23
2016,Zaragoza,Buste (El) (50063),1,,1
2016,Zaragoza,Bárboles (50043),1,9,-8
2016,Zaragoza,Cabañas de Ebro (50064),2,10,-8
2016,Zaragoza,Cabolafuente (50065),1,,1
2016,Zaragoza,Cadrete (50066),28,29,-1
2016,Zaragoza,Calatayud (50067),158,205,-47
2016,Zaragoza,Calatorao (50068),21,26,-5
2016,Zaragoza,Calmarza (50070),0,2,-2
2016,Zaragoza,Campillo de Aragón (50071),0,3,-3
2016,Zaragoza,Carenas (50072),1,5,-4
2016,Zaragoza,Cariñena (50073),24,44,-20
2016,Zaragoza,Caspe (50074),100,102,-2
2016,Zaragoza,Castejón de Alarba (50075),0,2,-2
2016,Zaragoza,Castejón de las Armas (50076),0,6,-6
2016,Zaragoza,Castejón de Valdejasa (50077),0,5,-5
2016,Zaragoza,Castiliscar (50078),1,2,-1
2016,Zaragoza,Cervera de la Cañada (50079),1,6,-5
2016,Zaragoza,Cerveruela (50080),0,,0
2016,Zaragoza,Cetina (50081),1,12,-11
2016,Zaragoza,Chiprana (50092),7,3,4
2016,Zaragoza,Chodes (50093),1,3,-2
2016,Zaragoza,Cimballa (50082),0,3,-3
2016,Zaragoza,Cinco Olivas (50083),0,2,-2
2016,Zaragoza,Clarés de Ribota (50084),0,3,-3
2016,Zaragoza,Codo (50085),0,3,-3
2016,Zaragoza,Codos (50086),0,4,-4
2016,Zaragoza,Contamina (50087),1,2,-1
2016,Zaragoza,Cosuenda (50088),2,4,-2
2016,Zaragoza,Cuarte de Huerva (50089),206,22,184
2016,Zaragoza,Cubel (50090),3,2,1
2016,Zaragoza,Daroca (50094),22,17,5
2016,Zaragoza,Ejea de los Caballeros (50095),126,176,-50
2016,Zaragoza,Embid de Ariza (50096),0,1,-1
2016,Zaragoza,Encinacorba (50098),0,4,-4
2016,Zaragoza,Erla (50100),3,6,-3
2016,Zaragoza,Escatrón (50101),7,24,-17
2016,Zaragoza,Fabara (50102),3,13,-10
2016,Zaragoza,Farlete (50104),2,7,-5
2016,Zaragoza,Fayos (Los) (50106),0,5,-5
2016,Zaragoza,Fayón (50105),1,6,-5
2016,Zaragoza,Figueruelas (50107),9,15,-6
2016,Zaragoza,Fombuena (50108),0,1,-1
2016,Zaragoza,Frasno (El) (50110),1,5,-4
2016,Zaragoza,Fréscano (50111),0,5,-5
2016,Zaragoza,Fuendejalón (50113),5,7,-2
2016,Zaragoza,Fuendetodos (50114),0,1,-1
2016,Zaragoza,Fuentes de Ebro (50115),40,50,-10
2016,Zaragoza,Fuentes de Jiloca (50116),0,9,-9
2016,Zaragoza,Gallocanta (50117),0,1,-1
2016,Zaragoza,Gallur (50118),13,25,-12
2016,Zaragoza,Gelsa (50119),5,13,-8
2016,Zaragoza,Godojos (50120),0,1,-1
2016,Zaragoza,Gotor (50121),0,1,-1
2016,Zaragoza,Grisel (50122),1,2,-1
2016,Zaragoza,Grisén (50123),9,10,-1
2016,Zaragoza,Herrera de los Navarros (50124),1,3,-2
2016,Zaragoza,Ibdes (50125),3,8,-5
2016,Zaragoza,Illueca (50126),18,27,-9
2016,Zaragoza,Jaraba (50129),1,3,-2
2016,Zaragoza,Jarque de Moncayo (50130),2,11,-9
2016,Zaragoza,Jaulín (50131),2,7,-5
2016,Zaragoza,Joyosa (La) (50132),7,8,-1
2016,Zaragoza,Lagata (50133),0,1,-1
2016,Zaragoza,Langa del Castillo (50134),1,1,0
2016,Zaragoza,Layana (50135),0,2,-2
2016,Zaragoza,Lechón (50138),0,1,-1
2016,Zaragoza,Leciñena (50137),3,18,-15
2016,Zaragoza,Letux (50139),0,8,-8
2016,Zaragoza,Litago (50140),0,3,-3
2016,Zaragoza,Lituénigo (50141),1,3,-2
2016,Zaragoza,Lobera de Onsella (50142),0,1,-1
2016,Zaragoza,Longares (50143),5,9,-4
2016,Zaragoza,Lucena de Jalón (50146),2,3,-1
2016,Zaragoza,Luceni (50147),3,12,-9
2016,Zaragoza,Luesia (50148),1,8,-7
2016,Zaragoza,Lumpiaque (50150),4,20,-16
2016,Zaragoza,Luna (50151),0,10,-10
2016,Zaragoza,Lécera (50136),2,12,-10
2016,Zaragoza,Maella (50152),17,26,-9
2016,Zaragoza,Magallón (50153),9,18,-9
2016,Zaragoza,Mainar (50154),0,1,-1
2016,Zaragoza,Maleján (50156),1,3,-2
2016,Zaragoza,Mallén (50160),26,31,-5
2016,Zaragoza,Maluenda (50159),6,16,-10
2016,Zaragoza,Malón (50157),2,5,-3
2016,Zaragoza,Manchones (50161),1,2,-1
2016,Zaragoza,Mara (50162),0,4,-4
2016,Zaragoza,Marracos (50902),0,3,-3
2016,Zaragoza,María de Huerva (50163),98,14,84
2016,Zaragoza,Mediana de Aragón (50164),5,3,2
2016,Zaragoza,Mequinenza (50165),14,25,-11
2016,Zaragoza,Mesones de Isuela (50166),1,6,-5
2016,Zaragoza,Mezalocha (50167),2,1,1
2016,Zaragoza,Miedes de Aragón (50169),1,1,0
2016,Zaragoza,Monegrillo (50170),1,2,-1
2016,Zaragoza,Moneva (50171),0,3,-3
2016,Zaragoza,Monreal de Ariza (50172),0,4,-4
2016,Zaragoza,Monterde (50173),0,2,-2
2016,Zaragoza,Montón (50174),0,2,-2
2016,Zaragoza,Morata de Jalón (50175),3,20,-17
2016,Zaragoza,Morata de Jiloca (50176),0,3,-3
2016,Zaragoza,Moros (50178),1,11,-10
2016,Zaragoza,Morés (50177),1,6,-5
2016,Zaragoza,Moyuela (50179),0,5,-5
2016,Zaragoza,Mozota (50180),1,,1
2016,Zaragoza,Muel (50181),10,20,-10
2016,Zaragoza,Muela (La) (50182),69,21,48
2016,Zaragoza,Munébrega (50183),1,8,-7
2016,Zaragoza,Murero (50184),1,6,-5
2016,Zaragoza,Murillo de Gállego (50185),1,,1
2016,Zaragoza,Nigüella (50187),0,3,-3
2016,Zaragoza,Nonaspe (50189),8,10,-2
2016,Zaragoza,Novallas (50190),7,15,-8
2016,Zaragoza,Novillas (50191),1,12,-11
2016,Zaragoza,Nuez de Ebro (50193),7,5,2
2016,Zaragoza,Nuévalos (50192),0,4,-4
2016,Zaragoza,Olvés (50194),0,2,-2
2016,Zaragoza,Orcajo (50195),1,,1
2016,Zaragoza,Orera (50196),0,4,-4
2016,Zaragoza,Orés (50197),0,3,-3
2016,Zaragoza,Osera de Ebro (50199),2,8,-6
2016,Zaragoza,Paniza (50200),6,14,-8
2016,Zaragoza,Paracuellos de Jiloca (50201),1,6,-5
2016,Zaragoza,Paracuellos de la Ribera (50202),0,8,-8
2016,Zaragoza,Pastriz (50203),6,12,-6
2016,Zaragoza,Pedrola (50204),24,37,-13
2016,Zaragoza,Pedrosas (Las) (50205),1,4,-3
2016,Zaragoza,Perdiguera (50206),2,6,-4
2016,Zaragoza,Pina de Ebro (50208),28,26,2
2016,Zaragoza,Pinseque (50209),48,41,7
2016,Zaragoza,Pintanos (Los) (50210),0,1,-1
2016,Zaragoza,Plasencia de Jalón (50211),1,4,-3
2016,Zaragoza,Pleitas (50212),0,3,-3
2016,Zaragoza,Pomer (50214),0,1,-1
2016,Zaragoza,Pozuel de Ariza (50215),0,1,-1
2016,Zaragoza,Pozuelo de Aragón (50216),1,3,-2
2016,Zaragoza,Pradilla de Ebro (50217),5,12,-7
2016,Zaragoza,Puebla de Albortón (50218),1,1,0
2016,Zaragoza,Puebla de Alfindén (La) (50219),75,22,53
2016,Zaragoza,Puendeluna (50220),0,3,-3
2016,Zaragoza,Quinto (50222),13,21,-8
2016,Zaragoza,Remolinos (50223),5,19,-14
2016,Zaragoza,Retascón (50224),0,1,-1
2016,Zaragoza,Ricla (50225),23,25,-2
2016,Zaragoza,Romanos (50227),0,6,-6
2016,Zaragoza,Rueda de Jalón (50228),5,6,-1
2016,Zaragoza,Ruesca (50229),0,1,-1
2016,Zaragoza,Salillas de Jalón (50231),1,13,-12
2016,Zaragoza,Salvatierra de Esca (50232),1,2,-1
2016,Zaragoza,Samper del Salz (50233),0,1,-1
2016,Zaragoza,San Martín de la Virgen de Moncayo (50234),4,4,0
2016,Zaragoza,San Mateo de Gállego (50235),25,35,-10
2016,Zaragoza,Santa Cruz de Grío (50236),0,1,-1
2016,Zaragoza,Santa Cruz de Moncayo (50237),2,3,-1
2016,Zaragoza,Santa Eulalia de Gállego (50238),1,4,-3
2016,Zaragoza,Saviñán (50241),3,12,-9
2016,Zaragoza,Sestrica (50243),0,7,-7
2016,Zaragoza,Sierra de Luna (50244),2,9,-7
2016,Zaragoza,Sisamón (50246),0,1,-1
2016,Zaragoza,Sobradiel (50247),10,13,-3
2016,Zaragoza,Sos del Rey Católico (50248),7,10,-3
2016,Zaragoza,Sádaba (50230),6,38,-32
2016,Zaragoza,Sástago (50240),10,12,-2
2016,Zaragoza,Tabuenca (50249),0,9,-9
2016,Zaragoza,Tarazona (50251),74,126,-52
