cp,nombre,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
50001,Abanto,1,2,1,3,3,3,1,3,3,0,2,1,1,1,1,0,1,0,3,2,0,4,2,1,1,0,2,0,1,0,1,2,0,0,0,1
50002,Acered,3,3,1,6,5,1,5,2,1,3,0,6,3,1,3,1,7,2,1,2,2,5,1,3,2,1,1,0,0,0,0,0,1,0,0,0
50003,Agón,1,2,1,4,2,5,4,0,4,3,2,0,3,2,2,2,2,0,1,3,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
50004,Aguarón,11,8,3,1,4,7,9,9,4,15,9,7,9,11,6,5,12,8,6,9,5,9,5,7,1,4,2,5,1,0,0,1,0,0,0,0
50005,Aguilón,2,5,7,5,3,2,5,5,1,4,4,5,3,2,3,3,1,4,2,4,4,4,8,3,3,3,0,0,1,1,4,1,1,0,0,0
50006,Ainzón,7,10,14,10,8,9,13,7,6,10,12,13,8,9,10,13,7,9,5,18,8,5,12,7,8,2,2,9,4,1,5,2,0,2,0,1
50007,Aladrén,1,2,0,1,1,1,0,1,2,1,0,0,1,1,1,1,0,2,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50008,Alagón,63,75,70,64,61,61,54,64,49,50,51,38,44,50,34,37,47,30,42,40,43,27,31,23,27,10,13,13,16,6,10,5,3,2,1,2
50009,Alarba,2,2,2,0,1,2,3,2,1,2,1,1,0,2,2,1,6,2,4,0,1,1,1,3,1,0,2,0,0,0,1,0,0,0,0,0
50010,Alberite de San Juan,0,1,1,1,1,2,0,1,3,1,1,2,3,1,1,0,1,1,0,1,2,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
50011,Albeta,1,3,1,4,0,0,2,0,1,2,0,2,3,1,1,0,3,2,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
50012,Alborge,2,1,1,0,0,0,0,1,2,3,2,1,1,2,1,2,1,1,0,0,6,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1
50013,Alcalá de Ebro,4,0,4,3,2,3,3,0,1,1,7,2,1,7,3,5,2,2,4,2,4,4,2,3,2,1,1,1,0,1,1,0,0,0,0,0
50014,Alcalá de Moncayo,1,1,1,1,3,2,2,3,1,8,3,3,2,1,1,1,5,0,1,1,0,2,1,2,2,0,0,0,1,0,0,0,0,0,0,0
50015,Alconchel de Ariza,0,1,0,1,1,0,2,0,2,0,1,0,1,2,0,4,3,2,2,1,3,3,3,1,0,1,0,0,1,2,0,1,0,0,0,1
50016,Aldehuela de Liestos,0,1,0,2,1,1,0,1,2,1,0,2,0,1,0,2,0,1,0,0,0,1,0,2,0,2,0,1,0,0,0,0,0,0,0,1
50017,Alfajarín,28,21,28,20,21,11,14,23,15,13,17,16,17,15,16,16,14,27,16,6,12,6,9,9,7,7,5,5,4,1,1,2,0,0,1,0
50018,Alfamén,15,18,15,8,8,3,6,10,9,12,9,11,18,8,6,12,11,10,12,17,6,9,7,9,11,7,1,2,1,1,0,0,0,0,1,0
50019,Alforque,2,1,1,1,0,3,1,0,0,1,0,2,1,0,1,1,1,0,0,0,1,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0
50020,Alhama de Aragón,14,10,15,19,12,9,8,13,13,12,11,6,11,10,8,7,11,8,8,7,9,10,7,5,3,3,3,3,0,2,0,2,1,0,0,0
50021,Almochuel,0,1,0,0,2,0,1,0,0,2,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
50022,Almolda La,11,2,5,10,8,12,8,10,10,8,7,4,5,5,12,7,6,11,8,8,3,4,5,3,4,4,1,2,4,1,0,1,1,0,0,0
50023,Almonacid de la Cuba,2,4,3,4,2,5,1,2,4,6,5,3,1,3,3,5,2,5,7,8,7,0,2,2,2,2,1,1,2,1,1,1,1,0,0,0
50024,Almonacid de la Sierra,12,4,12,10,4,9,11,8,8,6,8,11,11,10,4,6,7,8,7,7,7,9,2,9,6,6,4,1,3,3,1,3,0,0,0,0
50025,Almunia de Doña Godina La,53,57,64,51,57,56,56,49,53,49,54,43,56,32,36,33,47,44,45,34,39,22,38,30,26,20,28,12,16,10,6,3,2,1,0,2
50026,Alpartir,9,9,5,4,12,4,10,10,7,6,5,6,3,7,8,3,4,3,6,5,6,1,6,3,3,7,7,1,3,2,0,1,0,0,0,0
50027,Ambel,3,4,7,2,7,6,5,1,3,9,5,7,5,4,4,6,2,3,1,3,2,2,2,0,1,0,0,0,1,0,1,0,0,0,0,0
50028,Anento,0,2,0,1,1,0,1,0,3,1,0,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50029,Aniñón,11,6,4,17,8,11,14,13,8,8,9,11,13,14,7,13,7,15,10,9,11,14,14,5,7,2,7,2,3,3,1,1,0,0,0,0
50030,Añón de Moncayo,4,3,0,3,3,3,6,5,5,4,1,0,2,3,2,1,3,1,6,2,6,1,6,1,2,1,3,1,3,1,1,1,0,1,0,2
50031,Aranda de Moncayo,2,6,3,2,4,2,0,2,0,1,2,0,3,1,1,2,4,2,5,3,2,2,1,0,3,0,1,0,0,0,0,0,0,0,1,2
50032,Arándiga,3,3,3,3,5,1,7,4,6,5,4,6,10,4,3,2,5,3,7,4,11,7,2,1,1,6,5,2,3,2,0,2,0,0,0,1
50033,Ardisa,3,2,3,3,3,3,2,4,2,5,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0
50034,Ariza,7,4,9,13,18,14,14,18,14,16,19,10,11,7,2,9,12,9,17,10,17,11,10,9,14,8,7,3,6,8,4,3,2,0,1,2
50035,Artieda,0,0,0,3,0,1,1,1,2,2,1,0,1,0,1,0,1,1,1,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0
50036,Asín,4,1,4,4,2,1,2,1,1,1,1,1,1,1,1,1,2,0,1,0,1,1,0,1,3,2,0,1,0,0,0,0,0,0,0,1
50037,Atea,3,2,2,4,2,3,3,1,2,2,0,5,4,1,3,5,2,2,4,1,3,1,3,2,2,0,0,1,0,0,0,1,0,0,0,0
50038,Ateca,25,16,27,29,26,22,26,19,26,27,21,23,30,14,12,9,10,15,13,10,16,13,13,10,4,7,3,4,5,3,4,1,1,1,0,0
50039,Azuara,8,4,2,8,3,11,4,6,8,7,4,6,6,9,8,15,7,10,8,7,8,10,2,3,3,1,6,3,2,1,0,3,1,0,0,0
50040,Badules,0,3,1,1,1,3,2,1,2,0,1,0,2,1,3,1,1,1,0,3,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
50041,Bagüés,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
50042,Balconchán,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50043,Bárboles,2,5,3,1,5,3,2,6,3,5,3,2,3,3,2,1,3,1,6,3,2,2,4,1,2,1,0,0,0,0,1,0,0,0,1,0
50044,Bardallur,3,4,0,6,4,2,4,4,4,3,6,3,3,3,1,2,4,2,2,1,3,3,4,1,2,2,0,0,0,1,0,0,1,0,0,1
50045,Belchite,15,19,16,24,22,17,21,24,28,18,13,19,22,8,12,19,24,13,20,9,14,17,6,15,10,10,2,9,3,1,4,1,0,1,1,0
50046,Belmonte de Gracián,3,1,0,5,3,3,3,4,2,6,2,0,7,4,5,3,6,3,2,6,4,5,5,1,3,1,0,2,1,0,1,1,0,0,0,0
50047,Berdejo,1,1,1,0,1,3,0,0,0,3,3,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
