year,cp,name,population
1920,50001,Abanto,769
1920,50002,Acered,798
1920,50003,Agón,422
1920,50004,Aguarón,2264
1920,50005,Aguilón,1198
1920,50006,Ainzón,1796
1920,50007,Aladrén,290
1920,50008,Alagón,4749
1920,50009,Alarba,380
1920,50010,Alberite de San Juan,247
1920,50011,Albeta,289
1920,50012,Alborge,374
1920,50013,Alcalá de Ebro,547
1920,50014,Alcalá de Moncayo,423
1920,50015,Alconchel de Ariza,759
1920,50016,Aldehuela de Liestos,338
1920,50017,Alfajarín,1358
1920,50018,Alfamén,881
1920,50019,Alforque,415
1920,50020,Alhama de Aragón,1911
1920,50021,Almochuel,158
1920,50022,Almolda (La),1273
1920,50023,Almonacid de la Cuba,775
1920,50024,Almonacid de la Sierra,2076
1920,50025,Almunia de Doña Godina (La),4199
1920,50026,Alpartir,1116
1920,50027,Ambel,940
1920,50028,Anento,341
1920,50029,Aniñón,1684
1920,50030,Añón de Moncayo,1101
1920,50031,Aranda de Moncayo,1437
1920,50032,Arándiga,1184
1920,50033,Ardisa,509
1920,50034,Ariza,2448
1920,50035,Artieda,280
1920,50036,Asín,430
1920,50037,Atea,1035
1920,50038,Ateca,3096
1920,50039,Azuara,2872
1920,50040,Badules,385
1920,50041,Bagüés,233
1920,50042,Balconchán,165
1920,50043,Bárboles,753
1920,50044,Bardallur,752
1920,50045,Belchite,3469
1920,50046,Belmonte de Gracián,997
1920,50047,Berdejo,316
1920,50048,Berrueco,257
1920,50050,Bijuesca,896
1920,50051,Biota,1764
1920,50052,Bisimbre,212
1920,50053,Boquiñeni,1022
1920,50054,Bordalba,548
1920,50055,Borja,5093
1920,50056,Botorrita,408
1920,50057,Brea de Aragón,1484
1920,50058,Bubierca,665
1920,50059,Bujaraloz,1481
1920,50060,Bulbuente,853
1920,50061,Bureta,660
1920,50062,Burgo de Ebro (El),1070
1920,50063,Buste (El),452
1920,50064,Cabañas de Ebro,669
1920,50065,Cabolafuente,707
1920,50066,Cadrete,674
1920,50067,Calatayud,12574
1920,50068,Calatorao,3488
1920,50069,Calcena,1076
1920,50070,Calmarza,436
1920,50071,Campillo de Aragón,753
1920,50072,Carenas,989
1920,50073,Cariñena,3448
1920,50074,Caspe,9259
1920,50075,Castejón de Alarba,321
1920,50076,Castejón de las Armas,598
1920,50077,Castejón de Valdejasa,1049
1920,50078,Castiliscar,943
1920,50079,Cervera de la Cañada,1028
1920,50080,Cerveruela,386
1920,50081,Cetina,2064
1920,50082,Cimballa,485
1920,50083,Cinco Olivas,482
1920,50084,Clarés de Ribota,498
1920,50085,Codo,1163
1920,50086,Codos,982
1920,50087,Contamina,244
1920,50088,Cosuenda,1127
1920,50089,Cuarte de Huerva,295
1920,50090,Cubel,618
1920,50091,Cuerlas (Las),375
1920,50092,Chiprana,1433
1920,50093,Chodes,584
1920,50094,Daroca,3669
1920,50095,Ejea de los Caballeros,7829
1920,50096,Embid de Ariza,574
1920,50098,Encinacorba,891
1920,50099,Épila,5466
1920,50100,Erla,1104
1920,50101,Escatrón,2140
1920,50102,Fabara,2265
1920,50104,Farlete,528
1920,50105,Fayón,1750
1920,50106,Fayos (Los),538
1920,50107,Figueruelas,504
1920,50108,Fombuena,266
1920,50109,Frago (El),575
1920,50110,Frasno (El),1504
1920,50111,Fréscano,440
1920,50113,Fuendejalón,1483
1920,50114,Fuendetodos,623
1920,50115,Fuentes de Ebro,2974
1920,50116,Fuentes de Jiloca,1162
1920,50117,Gallocanta,446
1920,50118,Gallur,3438
1920,50119,Gelsa,2285
1920,50120,Godojos,464
1920,50121,Gotor,706
1920,50122,Grisel,541
1920,50123,Grisén,545
1920,50124,Herrera de los Navarros,2124
1920,50125,Ibdes,1638
1920,50126,Illueca,1893
1920,50128,Isuerre,373
1920,50129,Jaraba,599
1920,50130,Jarque,1511
1920,50131,Jaulín,483
1920,50132,Joyosa (La),304
1920,50133,Lagata,599
1920,50134,Langa del Castillo,741
1920,50135,Layana,446
1920,50136,Lécera,2475
1920,50137,Leciñena,2107
1920,50138,Lechón,165
1920,50139,Letux,1159
1920,50140,Litago,607
1920,50141,Lituénigo,324
1920,50142,Lobera de Onsella,561
1920,50143,Longares,1454
1920,50144,Longás,613
1920,50146,Lucena de Jalón,561
1920,50147,Luceni,1470
1920,50148,Luesia,1715
1920,50149,Luesma,327
1920,50150,Lumpiaque,1817
1920,50151,Luna,2433
1920,50152,Maella,3776
1920,50153,Magallón,2504
1920,50154,Mainar,496
1920,50155,Malanquilla,572
1920,50156,Maleján,524
1920,50157,Malón,1254
1920,50159,Maluenda,1805
1920,50160,Mallén,2959
1920,50161,Manchones,690
1920,50162,Mara,780
1920,50163,María de Huerva,659
1920,50164,Mediana de Aragón,1390
1920,50165,Mequinenza,4228
1920,50166,Mesones de Isuela,690
1920,50167,Mezalocha,744
1920,50168,Mianos,232
1920,50169,Miedes de Aragón,1179
1920,50170,Monegrillo,853
1920,50171,Moneva,779
1920,50172,Monreal de Ariza,732
1920,50173,Monterde,994
1920,50174,Montón,526
1920,50175,Morata de Jalón,2241
1920,50176,Morata de Jiloca,1170
1920,50177,Morés,1272
1920,50178,Moros,1460
1920,50179,Moyuela,1217
1920,50180,Mozota,463
1920,50181,Muel,1576
1920,50182,Muela (La),1041
1920,50183,Munébrega,1132
1920,50184,Murero,536
1920,50185,Murillo de Gállego,1033
1920,50186,Navardún,500
1920,50187,Nigüella,346
1920,50188,Nombrevilla,244
1920,50189,Nonaspe,2097
1920,50190,Novallas,1619
1920,50191,Novillas,972
1920,50192,Nuévalos,952
1920,50193,Nuez de Ebro,550
1920,50194,Olvés,625
1920,50195,Orcajo,505
1920,50196,Orera,423
1920,50197,Orés,742
1920,50198,Oseja,339
1920,50199,Osera de Ebro,546
1920,50200,Paniza,1425
1920,50201,Paracuellos de Jiloca,1078
1920,50202,Paracuellos de la Ribera,984
1920,50203,Pastriz,820
1920,50204,Pedrola,2632
1920,50205,Pedrosas (Las),462
1920,50206,Perdiguera,874
1920,50207,Piedratajada,426
1920,50208,Pina de Ebro,2549
1920,50209,Pinseque,1024
1920,50210,Pintanos (Los),578
1920,50211,Plasencia de Jalón,898
1920,50212,Pleitas,201
1920,50213,Plenas,740
1920,50214,Pomer,482
1920,50215,Pozuel de Ariza,343
1920,50216,Pozuelo de Aragón,767
1920,50217,Pradilla de Ebro,808
1920,50218,Puebla de Albortón,687
1920,50219,Puebla de Alfindén (La),1163
1920,50220,Puendeluna,273
1920,50221,Purujosa,564
1920,50222,Quinto,2818
1920,50223,Remolinos,1354
1920,50224,Retascón,341
1920,50225,Ricla,3023
1920,50227,Romanos,325
1920,50228,Rueda de Jalón,1015
1920,50229,Ruesca,225
1920,50230,Sádaba,2535
1920,50231,Salillas de Jalón,775
1920,50232,Salvatierra de Esca,1133
1920,50233,Samper del Salz,408
1920,50234,San Martín de la Virgen de Moncayo,400
1920,50235,San Mateo de Gállego,1361
1920,50236,Santa Cruz de Grío,1004
1920,50237,Santa Cruz de Moncayo,268
1920,50238,Santa Eulalia de Gállego,907
1920,50239,Santed,336
1920,50240,Sástago,3059
1920,50241,Saviñán,1765
1920,50242,Sediles,311
1920,50243,Sestrica,1318
1920,50244,Sierra de Luna,739
1920,50245,Sigüés,1750
1920,50246,Sisamón,643
1920,50247,Sobradiel,600
1920,50248,Sos del Rey Católico,3732
1920,50249,Tabuenca,1353
1920,50250,Talamantes,529
1920,50251,Tarazona,8646
1920,50252,Tauste,5762
1920,50253,Terrer,1393
1920,50254,Tierga,1058
1920,50255,Tobed,964
1920,50256,Torralba de los Frailes,624
1920,50257,Torralba de Ribota,594
1920,50258,Torralbilla,416
1920,50259,Torrehermosa,365
1920,50260,Torrelapaja,348
1920,50261,Torrellas,1029
1920,50262,Torres de Berrellén,1602
1920,50263,Torrijo de la Cañada,1772
1920,50264,Tosos,940
1920,50265,Trasmoz,319
1920,50266,Trasobares,723
1920,50267,Uncastillo,3439
1920,50268,Undués de Lerda,502
1920,50269,Urrea de Jalón,939
1920,50270,Urriés,1073
1920,50271,Used,1539
1920,50272,Utebo,2207
1920,50273,Valdehorna,195
1920,50274,Val de San Martín,345
1920,50275,Valmadrid,237
1920,50276,Valpalmas,501
1920,50277,Valtorres,362
1920,50278,Velilla de Ebro,1095
1920,50279,Velilla de Jiloca,645
1920,50280,Vera de Moncayo,968
1920,50281,Vierlas,241
1920,50282,Vilueña (La),388
1920,50283,Villadoz,331
1920,50284,Villafeliche,1182
1920,50285,Villafranca de Ebro,683
1920,50286,Villalba de Perejil,251
1920,50287,Villalengua,1236
1920,50288,Villanueva de Gállego,1778
1920,50289,Villanueva de Jiloca,515
1920,50290,Villanueva de Huerva,1346
1920,50291,Villar de los Navarros,1187
1920,50292,Villarreal de Huerva,463
1920,50293,Villarroya de la Sierra,2274
1920,50294,Villarroya del Campo,255
1920,50295,Vistabella,545
1920,50296,Zaida (La),570
1920,50297,Zaragoza,138617
1920,50298,Zuera,3598
1920,50901,Biel,1601
1920,50902,Marracos,169
1920,50903,Villamayor de Gállego,1932
