year,cp,name,population
1950,50001,Abanto,857
1950,50002,Acered,726
1950,50003,Agón,338
1950,50004,Aguarón,1698
1950,50005,Aguilón,1048
1950,50006,Ainzón,1881
1950,50007,Aladrén,287
1950,50008,Alagón,5484
1950,50009,Alarba,432
1950,50010,Alberite de San Juan,218
1950,50011,Albeta,267
1950,50012,Alborge,267
1950,50013,Alcalá de Ebro,559
1950,50014,Alcalá de Moncayo,454
1950,50015,Alconchel de Ariza,724
1950,50016,Aldehuela de Liestos,442
1950,50017,Alfajarín,1230
1950,50018,Alfamén,1368
1950,50019,Alforque,301
1950,50020,Alhama de Aragón,2064
1950,50021,Almochuel,142
1950,50022,Almolda (La),1098
1950,50023,Almonacid de la Cuba,677
1950,50024,Almonacid de la Sierra,1699
1950,50025,Almunia de Doña Godina (La),4273
1950,50026,Alpartir,977
1950,50027,Ambel,962
1950,50028,Anento,351
1950,50029,Aniñón,1847
1950,50030,Añón de Moncayo,959
1950,50031,Aranda de Moncayo,1177
1950,50032,Arándiga,1227
1950,50033,Ardisa,394
1950,50034,Ariza,2987
1950,50035,Artieda,227
1950,50036,Asín,429
1950,50037,Atea,1088
1950,50038,Ateca,3410
1950,50039,Azuara,2593
1950,50040,Badules,439
1950,50041,Bagüés,135
1950,50042,Balconchán,133
1950,50043,Bárboles,782
1950,50044,Bardallur,755
1950,50045,Belchite,3589
1950,50046,Belmonte de Gracián,897
1950,50047,Berdejo,280
1950,50048,Berrueco,185
1950,50050,Bijuesca,821
1950,50051,Biota,1954
1950,50052,Bisimbre,222
1950,50053,Boquiñeni,1218
1950,50054,Bordalba,501
1950,50055,Borja,5024
1950,50056,Botorrita,477
1950,50057,Brea de Aragón,1792
1950,50058,Bubierca,462
1950,50059,Bujaraloz,1137
1950,50060,Bulbuente,746
1950,50061,Bureta,615
1950,50062,Burgo de Ebro (El),1143
1950,50063,Buste (El),406
1950,50064,Cabañas de Ebro,782
1950,50065,Cabolafuente,645
1950,50066,Cadrete,742
1950,50067,Calatayud,18874
1950,50068,Calatorao,3410
1950,50069,Calcena,961
1950,50070,Calmarza,533
1950,50071,Campillo de Aragón,746
1950,50072,Carenas,1145
1950,50073,Cariñena,3158
1950,50074,Caspe,10128
1950,50075,Castejón de Alarba,343
1950,50076,Castejón de las Armas,508
1950,50077,Castejón de Valdejasa,1068
1950,50078,Castiliscar,1045
1950,50079,Cervera de la Cañada,1020
1950,50080,Cerveruela,300
1950,50081,Cetina,2407
1950,50082,Cimballa,561
1950,50083,Cinco Olivas,349
1950,50084,Clarés de Ribota,511
1950,50085,Codo,947
1950,50086,Codos,976
1950,50087,Contamina,245
1950,50088,Cosuenda,983
1950,50089,Cuarte de Huerva,386
1950,50090,Cubel,747
1950,50091,Cuerlas (Las),451
1950,50092,Chiprana,1139
1950,50093,Chodes,528
1950,50094,Daroca,3786
1950,50095,Ejea de los Caballeros,9604
1950,50096,Embid de Ariza,529
1950,50098,Encinacorba,838
1950,50099,Épila,5462
1950,50100,Erla,1038
1950,50101,Escatrón,3156
1950,50102,Fabara,1997
1950,50104,Farlete,637
1950,50105,Fayón,1310
