year,cp,name,population,porcentaje65,porcentaje18
2018,50001,Abanto,97,48.45,7.21
2018,50002,Acered,165,43.63,6.66
2018,50003,Agón,146,33.56,10.95
2018,50004,Aguarón,631,30.58,9.50
2018,50005,Aguilón,235,43.82,3.40
2018,50006,Ainzón,1085,24.51,14.47
2018,50007,Aladrén,52,40.38,5.76
2018,50008,Alagón,7094,17.70,18.88
2018,50009,Alarba,133,34.58,9.02
2018,50010,Alberite de San Juan,72,38.88,4.16
2018,50011,Albeta,132,24.24,12.87
2018,50012,Alborge,108,30.55,9.25
2018,50013,Alcalá de Ebro,251,30.27,13.94
2018,50014,Alcalá de Moncayo,144,34.02,9.72
2018,50015,Alconchel de Ariza,63,61.90,0
2018,50016,Aldehuela de Liestos,49,44.89,2.04
2018,50017,Alfajarín,2312,18.29,19.89
2018,50018,Alfamén,1441,18.94,16.86
2018,50019,Alforque,62,35.48,4.83
2018,50020,Alhama de Aragón,1036,25.09,16.50
2018,50021,Almochuel,29,44.82,0
2018,50022,La Almolda,567,33.50,8.46
2018,50023,Almonacid de la Cuba,252,38.88,13.09
2018,50024,Almonacid de la Sierra,691,31.40,11.14
2018,50025,La Almunia de Doña Godina,7819,15.65,20.87
2018,50026,Alpartir,579,28.67,14.68
2018,50027,Ambel,256,37.50,10.54
2018,50028,Anento,95,15.78,12.63
2018,50029,Aniñón,708,39.26,8.61
2018,50030,Añón de Moncayo,213,40.84,7.04
2018,50031,Aranda de Moncayo,160,35.62,3.75
2018,50032,Arándiga,309,42.39,8.09
2018,50033,Ardisa,72,55.55,1.38
2018,50034,Ariza,1139,29.67,18.52
2018,50035,Artieda,73,31.50,9.58
2018,50036,Asín,96,41.66,1.04
2018,50037,Atea,156,41.02,10.25
2018,50038,Ateca,1793,27.04,11.71
2018,50039,Azuara,543,33.88,8.83
2018,50040,Badules,83,43.37,4.81
2018,50041,Bagüés,12,41.66,0
2018,50042,Balconchán,17,41.17,0
2018,50043,Bárboles,300,25.33,14.66
2018,50044,Bardallur,261,30.26,9.57
2018,50045,Belchite,1528,29.90,15.11
2018,50046,Belmonte de Gracián,198,46.46,8.58
2018,50047,Berdejo,47,38.29,8.51
2018,50048,Berrueco,33,42.42,3.03
2018,50050,Bijuesca,98,29.59,2.04
2018,50051,Biota,948,30.90,13.39
2018,50052,Bisimbre,97,43.29,5.15
2018,50053,Boquiñeni,808,28.71,11.26
2018,50054,Bordalba,56,50.00,0
2018,50055,Borja,4922,20.09,20.60
2018,50056,Botorrita,498,23.49,13.25
2018,50057,Brea de Aragón,1665,25.28,15.19
2018,50058,Bubierca,63,34.92,3.17
2018,50059,Bujaraloz,1005,25.37,17.11
2018,50060,Bulbuente,217,25.80,11.52
2018,50061,Bureta,217,38.70,5.99
2018,50062,El Burgo de Ebro,2432,15.74,20.55
2018,50063,El Buste,72,51.38,5.55
2018,50064,Cabañas de Ebro,498,35.14,10.84
2018,50065,Cabolafuente,32,50.00,0
2018,50066,Cadrete,3891,11.77,22.59
2018,50067,Calatayud,20035,19.51,18.06
2018,50068,Calatorao,2861,21.53,18.17
2018,50069,Calcena,75,37.33,1.33
2018,50070,Calmarza,59,44.06,8.47
2018,50071,Campillo de Aragón,149,34.89,7.38
2018,50072,Carenas,177,42.93,6.77
2018,50073,Cariñena,3276,20.36,18.31
2018,50074,Caspe,9525,19.74,19.75
2018,50075,Castejón de Alarba,92,44.56,2.17
2018,50076,Castejón de las Armas,90,36.66,6.66
2018,50077,Castejón de Valdejasa,221,42.98,4.07
2018,50078,Castiliscar,265,41.88,7.54
2018,50079,Cervera de la Cañada,271,39.11,10.70
2018,50080,Cerveruela,35,28.57,5.71
2018,50081,Cetina,592,33.78,13.34
2018,50082,Cimballa,93,43.01,4.30
2018,50083,Cinco Olivas,112,25.00,13.39
2018,50084,Clarés de Ribota,65,43.07,0
2018,50085,Codo,198,40.90,9.09
2018,50086,Codos,183,45.35,7.10
2018,50087,Contamina,37,43.24,8.10
2018,50088,Cosuenda,367,34.05,11.17
2018,50089,Cuarte de Huerva,13055,5.42,28.71
2018,50090,Cubel,168,38.09,11.90
2018,50091,Cuerlas Las,39,46.15,2.56
2018,50092,Chiprana,508,24.01,17.71
2018,50093,Chodes,113,34.51,12.38
2018,50094,Daroca,1996,28.50,14.97
2018,50095,Ejea de los Caballeros,16605,19.29,17.63
2018,50096,Embid de Ariza,36,47.22,2.77
2018,50098,Encinacorba,189,40.21,4.23
2018,50099,Épila,4402,19.33,21.35
2018,50100,Erla,345,35.36,11.01
2018,50101,Escatrón,1026,26.90,12.76
2018,50102,Fabara,1152,29.34,13.88
2018,50104,Farlete,386,35.49,10.88
2018,50105,Fayón,354,33.05,12.99
2018,50106,Fayos Los,141,48.22,6.38
2018,50107,Figueruelas,1240,17.50,17.98
2018,50108,Fombuena,54,29.62,0
2018,50109,Frago El,99,34.34,1.01
2018,50110,Frasno El,384,37.76,7.03
2018,50111,Fréscano,202,28.71,8.91
2018,50113,Fuendejalón,793,27.49,12.73
2018,50114,Fuendetodos,121,29.75,5.78
2018,50115,Fuentes de Ebro,4543,18.95,20.44
2018,50116,Fuentes de Jiloca,229,41.48,9.60
2018,50117,Gallocanta,154,36.36,13.63
2018,50118,Gallur,2628,24.73,14.53
2018,50119,Gelsa,995,31.55,11.95
2018,50120,Godojos,54,40.74,7.40
2018,50121,Gotor,306,38.88,10.78
2018,50122,Grisel,67,23.88,13.43
2018,50123,Grisén,597,19.76,17.25
2018,50124,Herrera de los Navarros,506,33.59,12.64
