year,cp,name,population
1900,44009,Albarracín,1932
1910,44009,Albarracín,1752
1920,44009,Albarracín,1780
1930,44009,Albarracín,1688
1940,44009,Albarracín,1404
1950,44009,Albarracín,1501
1960,44009,Albarracín,1432
1970,44009,Albarracín,1258
1981,44009,Albarracín,1127
1991,44009,Albarracín,1065
2001,44009,Albarracín,1050
2011,44009,Albarracín,1102
2018,44009,Albarracín,1016
2019,44009,Albarracín,1025
1900,44041,Bezas,357
1910,44041,Bezas,336
1920,44041,Bezas,368
1930,44041,Bezas,388
1940,44041,Bezas,345
1950,44041,Bezas,339
1960,44041,Bezas,363
1970,44041,Bezas,249
1981,44041,Bezas,88
1991,44041,Bezas,76
2001,44041,Bezas,65
2011,44041,Bezas,78
2018,44041,Bezas,70
2019,44041,Bezas,70
1900,44045,Bronchales,950
1910,44045,Bronchales,991
1920,44045,Bronchales,1110
1930,44045,Bronchales,1039
1940,44045,Bronchales,1009
1950,44045,Bronchales,757
1960,44045,Bronchales,716
1970,44045,Bronchales,564
1981,44045,Bronchales,438
1991,44045,Bronchales,475
2001,44045,Bronchales,472
2011,44045,Bronchales,465
2018,44045,Bronchales,443
2019,44045,Bronchales,432
1900,44052,Calomarde,422
1910,44052,Calomarde,431
1920,44052,Calomarde,382
1930,44052,Calomarde,377
1940,44052,Calomarde,352
1950,44052,Calomarde,381
1960,44052,Calomarde,320
1970,44052,Calomarde,211
1981,44052,Calomarde,117
1991,44052,Calomarde,105
2001,44052,Calomarde,69
2011,44052,Calomarde,91
2018,44052,Calomarde,74
2019,44052,Calomarde,75
1900,44109,Frías de Albarracín,665
1910,44109,Frías de Albarracín,696
1920,44109,Frías de Albarracín,672
1930,44109,Frías de Albarracín,605
1940,44109,Frías de Albarracín,536
1950,44109,Frías de Albarracín,506
1960,44109,Frías de Albarracín,542
1970,44109,Frías de Albarracín,403
1981,44109,Frías de Albarracín,237
1991,44109,Frías de Albarracín,206
2001,44109,Frías de Albarracín,154
2011,44109,Frías de Albarracín,156
2018,44109,Frías de Albarracín,116
2019,44109,Frías de Albarracín,115
1900,44117,Gea de Albarracín,1168
1910,44117,Gea de Albarracín,1110
1920,44117,Gea de Albarracín,1076
1930,44117,Gea de Albarracín,1151
1940,44117,Gea de Albarracín,1086
1950,44117,Gea de Albarracín,1022
1960,44117,Gea de Albarracín,913
1970,44117,Gea de Albarracín,722
1981,44117,Gea de Albarracín,550
1991,44117,Gea de Albarracín,501
2001,44117,Gea de Albarracín,431
2011,44117,Gea de Albarracín,410
2018,44117,Gea de Albarracín,376
2019,44117,Gea de Albarracín,360
1900,44119,Griegos,415
1910,44119,Griegos,429
1920,44119,Griegos,481
1930,44119,Griegos,455
1940,44119,Griegos,294
1950,44119,Griegos,396
1960,44119,Griegos,344
1970,44119,Griegos,238
1981,44119,Griegos,180
1991,44119,Griegos,142
2001,44119,Griegos,136
2011,44119,Griegos,140
2018,44119,Griegos,143
2019,44119,Griegos,136
1900,44120,Guadalaviar,492
1910,44120,Guadalaviar,562
1920,44120,Guadalaviar,631
1930,44120,Guadalaviar,591
1940,44120,Guadalaviar,474
1950,44120,Guadalaviar,554
1960,44120,Guadalaviar,575
1970,44120,Guadalaviar,437
1981,44120,Guadalaviar,346
1991,44120,Guadalaviar,304
2001,44120,Guadalaviar,275
2011,44120,Guadalaviar,240
2018,44120,Guadalaviar,242
2019,44120,Guadalaviar,241
1900,44127,Jabaloyas,934
1910,44127,Jabaloyas,959
1920,44127,Jabaloyas,708
1930,44127,Jabaloyas,783
1940,44127,Jabaloyas,590
1950,44127,Jabaloyas,549
1960,44127,Jabaloyas,409
1970,44127,Jabaloyas,267
1981,44127,Jabaloyas,157
1991,44127,Jabaloyas,121
2001,44127,Jabaloyas,84
2011,44127,Jabaloyas,87
2018,44127,Jabaloyas,65
2019,44127,Jabaloyas,63
1900,44157,Monterde de Albarracín,488
1910,44157,Monterde de Albarracín,505
1920,44157,Monterde de Albarracín,531
1930,44157,Monterde de Albarracín,566
1940,44157,Monterde de Albarracín,538
1950,44157,Monterde de Albarracín,501
1960,44157,Monterde de Albarracín,383
1970,44157,Monterde de Albarracín,192
1981,44157,Monterde de Albarracín,101
1991,44157,Monterde de Albarracín,87
2001,44157,Monterde de Albarracín,73
2011,44157,Monterde de Albarracín,65
2018,44157,Monterde de Albarracín,63
2019,44157,Monterde de Albarracín,64
1900,44159,Moscardón,494
1910,44159,Moscardón,496
1920,44159,Moscardón,503
1930,44159,Moscardón,459
1940,44159,Moscardón,402
1950,44159,Moscardón,375
1960,44159,Moscardón,274
1970,44159,Moscardón,140
1981,44159,Moscardón,85
1991,44159,Moscardón,73
2001,44159,Moscardón,55
2011,44159,Moscardón,63
2018,44159,Moscardón,55
2019,44159,Moscardón,54
1900,44163,Noguera de Albarracín,489
1910,44163,Noguera de Albarracín,493
1920,44163,Noguera de Albarracín,583
1930,44163,Noguera de Albarracín,550
1940,44163,Noguera de Albarracín,435
1950,44163,Noguera de Albarracín,399
1960,44163,Noguera de Albarracín,344
1970,44163,Noguera de Albarracín,250
1981,44163,Noguera de Albarracín,202
1991,44163,Noguera de Albarracín,172
2001,44163,Noguera de Albarracín,165
2011,44163,Noguera de Albarracín,154
2018,44163,Noguera de Albarracín,133
2019,44163,Noguera de Albarracín,140
1900,44174,Orihuela del Tremedal,945
1910,44174,Orihuela del Tremedal,897
1920,44174,Orihuela del Tremedal,1052
1930,44174,Orihuela del Tremedal,1118
1940,44174,Orihuela del Tremedal,1093
1950,44174,Orihuela del Tremedal,1079
1960,44174,Orihuela del Tremedal,1042
1970,44174,Orihuela del Tremedal,882
1981,44174,Orihuela del Tremedal,738
1991,44174,Orihuela del Tremedal,627
2001,44174,Orihuela del Tremedal,604
2011,44174,Orihuela del Tremedal,568
2018,44174,Orihuela del Tremedal,487
2019,44174,Orihuela del Tremedal,463
1900,44189,Pozondón,539
1910,44189,Pozondón,592
1920,44189,Pozondón,595
1930,44189,Pozondón,616
1940,44189,Pozondón,576
1950,44189,Pozondón,544
1960,44189,Pozondón,430
1970,44189,Pozondón,219
1981,44189,Pozondón,132
1991,44189,Pozondón,101
2001,44189,Pozondón,80
2011,44189,Pozondón,71
2018,44189,Pozondón,48
2019,44189,Pozondón,50
1900,44197,Ródenas,415
1910,44197,Ródenas,487
1920,44197,Ródenas,503
1930,44197,Ródenas,470
1940,44197,Ródenas,428
1950,44197,Ródenas,449
1960,44197,Ródenas,359
1970,44197,Ródenas,200
1981,44197,Ródenas,122
1991,44197,Ródenas,103
2001,44197,Ródenas,82
2011,44197,Ródenas,71
2018,44197,Ródenas,61
2019,44197,Ródenas,63
1900,44198,Royuela,459
1910,44198,Royuela,476
1920,44198,Royuela,482
1930,44198,Royuela,529
1940,44198,Royuela,532
1950,44198,Royuela,573
1960,44198,Royuela,543
1970,44198,Royuela,405
1981,44198,Royuela,290
1991,44198,Royuela,246
2001,44198,Royuela,230
2011,44198,Royuela,244
2018,44198,Royuela,206
2019,44198,Royuela,204
1900,44199,Rubiales,290
1910,44199,Rubiales,269
1920,44199,Rubiales,254
1930,44199,Rubiales,265
1940,44199,Rubiales,186
1950,44199,Rubiales,177
1960,44199,Rubiales,166
1970,44199,Rubiales,68
1981,44199,Rubiales,28
1991,44199,Rubiales,58
2001,44199,Rubiales,53
2011,44199,Rubiales,62
2018,44199,Rubiales,50
2019,44199,Rubiales,52
1900,44204,Saldón,435
1910,44204,Saldón,479
1920,44204,Saldón,470
1930,44204,Saldón,502
1940,44204,Saldón,490
1950,44204,Saldón,413
1960,44204,Saldón,361
1970,44204,Saldón,193
1981,44204,Saldón,59
1991,44204,Saldón,53
2001,44204,Saldón,32
2011,44204,Saldón,27
2018,44204,Saldón,26
2019,44204,Saldón,27
1900,44215,Terriente,1109
1910,44215,Terriente,1145
1920,44215,Terriente,1135
1930,44215,Terriente,1030
1940,44215,Terriente,896
1950,44215,Terriente,900
1960,44215,Terriente,760
1970,44215,Terriente,450
1981,44215,Terriente,265
1991,44215,Terriente,205
2001,44215,Terriente,171
2011,44215,Terriente,190
2018,44215,Terriente,183
2019,44215,Terriente,183
1900,44217,Toril y Masegoso,366
1910,44217,Toril y Masegoso,362
1920,44217,Toril y Masegoso,344
1930,44217,Toril y Masegoso,328
1940,44217,Toril y Masegoso,251
1950,44217,Toril y Masegoso,242
1960,44217,Toril y Masegoso,181
1970,44217,Toril y Masegoso,137
1981,44217,Toril y Masegoso,61
1991,44217,Toril y Masegoso,50
2001,44217,Toril y Masegoso,26
2011,44217,Toril y Masegoso,36
2018,44217,Toril y Masegoso,30
2019,44217,Toril y Masegoso,32
1900,44229,Torres de Albarracín,591
1910,44229,Torres de Albarracín,599
1920,44229,Torres de Albarracín,540
1930,44229,Torres de Albarracín,504
1940,44229,Torres de Albarracín,523
1950,44229,Torres de Albarracín,448
1960,44229,Torres de Albarracín,415
1970,44229,Torres de Albarracín,314
1981,44229,Torres de Albarracín,243
1991,44229,Torres de Albarracín,190
2001,44229,Torres de Albarracín,158
2011,44229,Torres de Albarracín,167
2018,44229,Torres de Albarracín,183
2019,44229,Torres de Albarracín,180
1900,44235,Tramacastilla,455
1910,44235,Tramacastilla,409
1920,44235,Tramacastilla,387
1930,44235,Tramacastilla,391
1940,44235,Tramacastilla,403
