year,cp,name,population
1900,44023,Allueva,216
1910,44023,Allueva,208
1920,44023,Allueva,220
1930,44023,Allueva,254
1940,44023,Allueva,224
1950,44023,Allueva,159
1960,44023,Allueva,82
1970,44023,Allueva,10
1981,44023,Allueva,9
1991,44023,Allueva,12
2001,44023,Allueva,13
2011,44023,Allueva,20
2018,44023,Allueva,29
2019,44023,Allueva,22
1900,44032,Bádenas,454
1910,44032,Bádenas,451
1920,44032,Bádenas,368
1930,44032,Bádenas,326
1940,44032,Bádenas,245
1950,44032,Bádenas,258
1960,44032,Bádenas,202
1970,44032,Bádenas,83
1981,44032,Bádenas,38
1991,44032,Bádenas,29
2001,44032,Bádenas,25
2011,44032,Bádenas,21
2018,44032,Bádenas,20
2019,44032,Bádenas,19
1900,44033,Báguena,1420
1910,44033,Báguena,1402
1920,44033,Báguena,1430
1930,44033,Báguena,1474
1940,44033,Báguena,1526
1950,44033,Báguena,1523
1960,44033,Báguena,1328
1970,44033,Báguena,1060
1981,44033,Báguena,773
1991,44033,Báguena,624
2001,44033,Báguena,463
2011,44033,Báguena,365
2018,44033,Báguena,311
2019,44033,Báguena,287
1900,44034,Bañón,693
1910,44034,Bañón,720
1920,44034,Bañón,676
1930,44034,Bañón,766
1940,44034,Bañón,742
1950,44034,Bañón,728
1960,44034,Bañón,597
1970,44034,Bañón,423
1981,44034,Bañón,276
1991,44034,Bañón,226
2001,44034,Bañón,168
2011,44034,Bañón,162
2018,44034,Bañón,153
2019,44034,Bañón,144
1900,44035,Barrachina,697
1910,44035,Barrachina,722
1920,44035,Barrachina,658
1930,44035,Barrachina,655
1940,44035,Barrachina,635
1950,44035,Barrachina,648
1960,44035,Barrachina,549
1970,44035,Barrachina,328
1981,44035,Barrachina,239
1991,44035,Barrachina,200
2001,44035,Barrachina,154
2011,44035,Barrachina,140
2018,44035,Barrachina,118
2019,44035,Barrachina,112
1900,44036,Bea,170
1910,44036,Bea,167
1920,44036,Bea,186
1930,44036,Bea,194
1940,44036,Bea,179
1950,44036,Bea,196
1960,44036,Bea,126
1970,44036,Bea,50
1981,44036,Bea,19
1991,44036,Bea,28
2001,44036,Bea,38
2011,44036,Bea,30
2018,44036,Bea,31
2019,44036,Bea,31
1900,44039,Bello,989
1910,44039,Bello,1145
1920,44039,Bello,1275
1930,44039,Bello,1435
1940,44039,Bello,1396
1950,44039,Bello,1475
1960,44039,Bello,1324
1970,44039,Bello,883
1981,44039,Bello,596
1991,44039,Bello,474
2001,44039,Bello,369
2011,44039,Bello,276
2018,44039,Bello,225
2019,44039,Bello,113
1900,44042,Blancas,859
1910,44042,Blancas,921
1920,44042,Blancas,965
1930,44042,Blancas,1059
1940,44042,Blancas,1011
1950,44042,Blancas,932
1960,44042,Blancas,793
1970,44042,Blancas,434
1981,44042,Blancas,330
1991,44042,Blancas,243
2001,44042,Blancas,179
2011,44042,Blancas,163
2018,44042,Blancas,125
2019,44042,Blancas,126
1900,44046,Bueña,352
1910,44046,Bueña,368
1920,44046,Bueña,419
1930,44046,Bueña,439
1940,44046,Bueña,417
1950,44046,Bueña,403
1960,44046,Bueña,324
1970,44046,Bueña,262
1981,44046,Bueña,178
1991,44046,Bueña,123
2001,44046,Bueña,90
2011,44046,Bueña,62
2018,44046,Bueña,63
2019,44046,Bueña,50
1900,44047,Burbáguena,1350
1910,44047,Burbáguena,1168
1920,44047,Burbáguena,1227
1930,44047,Burbáguena,1282
1940,44047,Burbáguena,1331
1950,44047,Burbáguena,1396
1960,44047,Burbáguena,1018
1970,44047,Burbáguena,637
1981,44047,Burbáguena,486
1991,44047,Burbáguena,367
2001,44047,Burbáguena,303
2011,44047,Burbáguena,290
2018,44047,Burbáguena,243
2019,44047,Burbáguena,249
1900,44050,Calamocha,6017
1910,44050,Calamocha,6385
1920,44050,Calamocha,7099
1930,44050,Calamocha,7647
1940,44050,Calamocha,8128
1950,44050,Calamocha,7881
1960,44050,Calamocha,6746
1970,44050,Calamocha,5041
1981,44050,Calamocha,4764
1991,44050,Calamocha,4276
2001,44050,Calamocha,4040
2011,44050,Calamocha,4571
2018,44050,Calamocha,4319
2019,44050,Calamocha,4339
1900,44056,Caminreal,1349
1910,44056,Caminreal,1420
1920,44056,Caminreal,1649
1930,44056,Caminreal,1691
1940,44056,Caminreal,1835
1950,44056,Caminreal,1840
1960,44056,Caminreal,1602
1970,44056,Caminreal,1373
1981,44056,Caminreal,1075
1991,44056,Caminreal,913
2001,44056,Caminreal,777
2011,44056,Caminreal,714
2018,44056,Caminreal,619
2019,44056,Caminreal,620
1900,44065,Castejón de Tornos,475
1910,44065,Castejón de Tornos,492
1920,44065,Castejón de Tornos,518
1930,44065,Castejón de Tornos,537
1940,44065,Castejón de Tornos,510
1950,44065,Castejón de Tornos,493
1960,44065,Castejón de Tornos,417
1970,44065,Castejón de Tornos,260
1981,44065,Castejón de Tornos,155
1991,44065,Castejón de Tornos,122
2001,44065,Castejón de Tornos,92
2011,44065,Castejón de Tornos,64
2018,44065,Castejón de Tornos,62
2019,44065,Castejón de Tornos,60
1900,44085,Cosa,385
1910,44085,Cosa,415
1920,44085,Cosa,419
1930,44085,Cosa,490
1940,44085,Cosa,483
1950,44085,Cosa,470
1960,44085,Cosa,429
1970,44085,Cosa,239
1981,44085,Cosa,147
1991,44085,Cosa,137
2001,44085,Cosa,93
2011,44085,Cosa,62
2018,44085,Cosa,52
2019,44085,Cosa,50
1900,44090,Cucalón,525
1910,44090,Cucalón,523
1920,44090,Cucalón,515
1930,44090,Cucalón,567
1940,44090,Cucalón,545
1950,44090,Cucalón,536
1960,44090,Cucalón,374
1970,44090,Cucalón,221
1981,44090,Cucalón,136
1991,44090,Cucalón,102
2001,44090,Cucalón,80
2011,44090,Cucalón,107
2018,44090,Cucalón,80
2019,44090,Cucalón,78
1900,44101,Ferreruela de Huerva,262
1910,44101,Ferreruela de Huerva,293
1920,44101,Ferreruela de Huerva,297
1930,44101,Ferreruela de Huerva,323
1940,44101,Ferreruela de Huerva,371
1950,44101,Ferreruela de Huerva,363
1960,44101,Ferreruela de Huerva,326
