year,cp,name,population
1900,44021,Allepuz,1040
1910,44021,Allepuz,1014
1920,44021,Allepuz,941
1930,44021,Allepuz,893
1940,44021,Allepuz,767
1950,44021,Allepuz,743
1960,44021,Allepuz,724
1970,44021,Allepuz,501
1981,44021,Allepuz,236
1991,44021,Allepuz,147
2001,44021,Allepuz,135
2011,44021,Allepuz,122
2018,44021,Allepuz,126
2019,44021,Allepuz,16
1900,44044,Bordón,586
1910,44044,Bordón,527
1920,44044,Bordón,567
1930,44044,Bordón,579
1940,44044,Bordón,524
1950,44044,Bordón,471
1960,44044,Bordón,385
1970,44044,Bordón,266
1981,44044,Bordón,156
1991,44044,Bordón,142
2001,44044,Bordón,138
2011,44044,Bordón,128
2018,44044,Bordón,106
2019,44044,Bordón,100
1900,44059,Cantavieja,1962
1910,44059,Cantavieja,2049
1920,44059,Cantavieja,2005
1930,44059,Cantavieja,1866
1940,44059,Cantavieja,1674
1950,44059,Cantavieja,1587
1960,44059,Cantavieja,1338
1970,44059,Cantavieja,1060
1981,44059,Cantavieja,877
1991,44059,Cantavieja,750
2001,44059,Cantavieja,759
2011,44059,Cantavieja,740
2018,44059,Cantavieja,714
2019,44059,Cantavieja,709
1900,44060,Cañada de Benatanduz,642
1910,44060,Cañada de Benatanduz,611
1920,44060,Cañada de Benatanduz,522
1930,44060,Cañada de Benatanduz,490
1940,44060,Cañada de Benatanduz,452
1950,44060,Cañada de Benatanduz,405
1960,44060,Cañada de Benatanduz,388
1970,44060,Cañada de Benatanduz,253
1981,44060,Cañada de Benatanduz,91
1991,44060,Cañada de Benatanduz,82
2001,44060,Cañada de Benatanduz,58
2011,44060,Cañada de Benatanduz,39
2018,44060,Cañada de Benatanduz,39
2019,44060,Cañada de Benatanduz,36
1900,44071,Castellote,5122
1910,44071,Castellote,5398
1920,44071,Castellote,4890
1930,44071,Castellote,4400
1940,44071,Castellote,3700
1950,44071,Castellote,3312
1960,44071,Castellote,2696
1970,44071,Castellote,1493
1981,44071,Castellote,1050
1991,44071,Castellote,927
2001,44071,Castellote,802
2011,44071,Castellote,801
2018,44071,Castellote,676
2019,44071,Castellote,815
2018,44088,La Cuba,41
2019,44088,La Cuba,43
1900,44106,Fortanete,1570
1910,44106,Fortanete,1406
1920,44106,Fortanete,1355
1930,44106,Fortanete,1301
1940,44106,Fortanete,1095
1950,44106,Fortanete,944
1960,44106,Fortanete,756
1970,44106,Fortanete,506
1981,44106,Fortanete,325
1991,44106,Fortanete,212
2001,44106,Fortanete,180
2011,44106,Fortanete,218
2018,44106,Fortanete,205
2019,44106,Fortanete,205
2018,44126,La Iglesuela del Cid,414
2019,44126,La Iglesuela del Cid,410
1900,44149,Mirambel,835
1910,44149,Mirambel,851
1920,44149,Mirambel,791
1930,44149,Mirambel,810
1940,44149,Mirambel,732
1950,44149,Mirambel,588
1960,44149,Mirambel,432
1970,44149,Mirambel,273
1981,44149,Mirambel,159
1991,44149,Mirambel,160
2001,44149,Mirambel,145
2011,44149,Mirambel,127
2018,44149,Mirambel,116
2019,44149,Mirambel,116
1900,44150,Miravete de la Sierra,486
1910,44150,Miravete de la Sierra,496
1920,44150,Miravete de la Sierra,399
1930,44150,Miravete de la Sierra,341
1940,44150,Miravete de la Sierra,293
1950,44150,Miravete de la Sierra,250
1960,44150,Miravete de la Sierra,247
1970,44150,Miravete de la Sierra,155
1981,44150,Miravete de la Sierra,67
1991,44150,Miravete de la Sierra,49
2001,44150,Miravete de la Sierra,42
2011,44150,Miravete de la Sierra,33
2018,44150,Miravete de la Sierra,35
2019,44150,Miravete de la Sierra,31
1900,44151,Molinos,1405
1910,44151,Molinos,1410
1920,44151,Molinos,1150
1930,44151,Molinos,1130
1940,44151,Molinos,1113
1950,44151,Molinos,947
1960,44151,Molinos,729
1970,44151,Molinos,528
1981,44151,Molinos,418
1991,44151,Molinos,397
2001,44151,Molinos,298
2011,44151,Molinos,286
2018,44151,Molinos,243
2019,44151,Molinos,239
1900,44183,Pitarque,938
1910,44183,Pitarque,883
1920,44183,Pitarque,889
1930,44183,Pitarque,860
1940,44183,Pitarque,746
1950,44183,Pitarque,657
1960,44183,Pitarque,467
1970,44183,Pitarque,252
1981,44183,Pitarque,159
1991,44183,Pitarque,135
2001,44183,Pitarque,104
2011,44183,Pitarque,88
2018,44183,Pitarque,79
2019,44183,Pitarque,73
1900,44236,Tronchón,997
1910,44236,Tronchón,991
1920,44236,Tronchón,880
1930,44236,Tronchón,802
1940,44236,Tronchón,757
1950,44236,Tronchón,714
1960,44236,Tronchón,600
1970,44236,Tronchón,331
1981,44236,Tronchón,161
1991,44236,Tronchón,119
2001,44236,Tronchón,102
2011,44236,Tronchón,99
2018,44236,Tronchón,65
2019,44236,Tronchón,67
1900,44260,Villarluengo,2128
1910,44260,Villarluengo,1968
1920,44260,Villarluengo,1733
1930,44260,Villarluengo,1487
1940,44260,Villarluengo,1293
1950,44260,Villarluengo,1060
1960,44260,Villarluengo,810
1970,44260,Villarluengo,492
1981,44260,Villarluengo,289
1991,44260,Villarluengo,243
2001,44260,Villarluengo,207
2011,44260,Villarluengo,202
2018,44260,Villarluengo,177
2019,44260,Villarluengo,170
1900,44262,Villarroya de los Pinares,1095
1910,44262,Villarroya de los Pinares,942
1920,44262,Villarroya de los Pinares,875
1930,44262,Villarroya de los Pinares,772
1940,44262,Villarroya de los Pinares,641
1950,44262,Villarroya de los Pinares,628
1960,44262,Villarroya de los Pinares,574
1970,44262,Villarroya de los Pinares,400
1981,44262,Villarroya de los Pinares,249
1991,44262,Villarroya de los Pinares,218
2001,44262,Villarroya de los Pinares,197
2011,44262,Villarroya de los Pinares,163
2018,44262,Villarroya de los Pinares,160
2019,44262,Villarroya de los Pinares,172
