year,cp,name,population
1900,50074,Caspe,7808
1910,50074,Caspe,8893
1920,50074,Caspe,9259
1930,50074,Caspe,9992
1940,50074,Caspe,9844
1950,50074,Caspe,10128
1960,50074,Caspe,9603
1970,50074,Caspe,9162
1981,50074,Caspe,8339
1991,50074,Caspe,8029
2001,50074,Caspe,7896
2011,50074,Caspe,9797
2018,50074,Caspe,9525
2019,50074,Caspe,9748
1900,50092,Chiprana,1425
1910,50092,Chiprana,1565
1920,50092,Chiprana,1433
1930,50092,Chiprana,1192
1940,50092,Chiprana,1289
1950,50092,Chiprana,1139
1960,50092,Chiprana,910
1970,50092,Chiprana,695
1981,50092,Chiprana,504
1991,50092,Chiprana,430
2001,50092,Chiprana,403
2011,50092,Chiprana,471
2018,50092,Chiprana,508
2019,50092,Chiprana,523
1900,50102,Fabara,2089
1910,50102,Fabara,2273
1920,50102,Fabara,2265
1930,50102,Fabara,2192
1940,50102,Fabara,2048
1950,50102,Fabara,1997
1960,50102,Fabara,1781
1970,50102,Fabara,1667
1981,50102,Fabara,1578
1991,50102,Fabara,1344
2001,50102,Fabara,1230
2011,50102,Fabara,1242
2018,50102,Fabara,1152
2019,50102,Fabara,1125
1900,50105,Fayón,1306
1910,50105,Fayón,1406
1920,50105,Fayón,1750
1930,50105,Fayón,1476
1940,50105,Fayón,1319
1950,50105,Fayón,1310
1960,50105,Fayón,1683
1970,50105,Fayón,601
1981,50105,Fayón,514
1991,50105,Fayón,439
2001,50105,Fayón,396
2011,50105,Fayón,378
2018,50105,Fayón,354
2019,50105,Fayón,379
1900,50152,Maella,3325
1910,50152,Maella,3552
1920,50152,Maella,3776
1930,50152,Maella,3332
1940,50152,Maella,3327
1950,50152,Maella,3020
1960,50152,Maella,2688
1970,50152,Maella,2562
1981,50152,Maella,2397
1991,50152,Maella,2180
2001,50152,Maella,2056
2011,50152,Maella,2002
2018,50152,Maella,2007
2019,50152,Maella,1985
1900,50189,Nonaspe,1681
1910,50189,Nonaspe,1899
1920,50189,Nonaspe,2097
1930,50189,Nonaspe,1882
1940,50189,Nonaspe,1806
1950,50189,Nonaspe,1944
1960,50189,Nonaspe,1733
1970,50189,Nonaspe,1432
1981,50189,Nonaspe,1231
1991,50189,Nonaspe,1132
2001,50189,Nonaspe,1024
2011,50189,Nonaspe,1045
2018,50189,Nonaspe,962
2019,50189,Nonaspe,961
