year,cp,name,population
1900,50001,Abanto,633
1910,50001,Abanto,672
1920,50001,Abanto,769
1930,50001,Abanto,810
1940,50001,Abanto,833
1950,50001,Abanto,857
1960,50001,Abanto,644
1970,50001,Abanto,405
1981,50001,Abanto,287
1991,50001,Abanto,221
2001,50001,Abanto,167
2011,50001,Abanto,124
2018,50001,Abanto,97
2019,50001,Abanto,100
1900,50009,Alarba,471
1910,50009,Alarba,428
1920,50009,Alarba,380
1930,50009,Alarba,441
1940,50009,Alarba,441
1950,50009,Alarba,432
1960,50009,Alarba,394
1970,50009,Alarba,281
1981,50009,Alarba,193
1991,50009,Alarba,173
2001,50009,Alarba,153
2011,50009,Alarba,159
2018,50009,Alarba,133
2019,50009,Alarba,124
1900,50015,Alconchel de Ariza,667
1910,50015,Alconchel de Ariza,718
1920,50015,Alconchel de Ariza,759
1930,50015,Alconchel de Ariza,735
1940,50015,Alconchel de Ariza,766
1950,50015,Alconchel de Ariza,724
1960,50015,Alconchel de Ariza,573
1970,50015,Alconchel de Ariza,390
1981,50015,Alconchel de Ariza,283
1991,50015,Alconchel de Ariza,188
2001,50015,Alconchel de Ariza,126
2011,50015,Alconchel de Ariza,90
2018,50015,Alconchel de Ariza,63
2019,50015,Alconchel de Ariza,62
1900,50020,Alhama de Aragón,1616
1910,50020,Alhama de Aragón,1752
1920,50020,Alhama de Aragón,1911
1930,50020,Alhama de Aragón,2015
1940,50020,Alhama de Aragón,2023
1950,50020,Alhama de Aragón,2064
1960,50020,Alhama de Aragón,2015
1970,50020,Alhama de Aragón,1600
1981,50020,Alhama de Aragón,1473
1991,50020,Alhama de Aragón,1206
2001,50020,Alhama de Aragón,1145
2011,50020,Alhama de Aragón,1163
2018,50020,Alhama de Aragón,1036
2019,50020,Alhama de Aragón,1020
1900,50029,Aniñón,1870
1910,50029,Aniñón,1884
1920,50029,Aniñón,1684
1930,50029,Aniñón,1651
1940,50029,Aniñón,1800
1950,50029,Aniñón,1847
1960,50029,Aniñón,1461
1970,50029,Aniñón,1170
1981,50029,Aniñón,1058
1991,50029,Aniñón,946
2001,50029,Aniñón,855
2011,50029,Aniñón,799
2018,50029,Aniñón,708
2019,50029,Aniñón,706
1900,50032,Arándiga,1121
1910,50032,Arándiga,1120
1920,50032,Arándiga,1184
1930,50032,Arándiga,1186
1940,50032,Arándiga,1249
1950,50032,Arándiga,1227
1960,50032,Arándiga,1132
1970,50032,Arándiga,1026
1981,50032,Arándiga,701
1991,50032,Arándiga,577
2001,50032,Arándiga,466
2011,50032,Arándiga,392
2018,50032,Arándiga,309
2019,50032,Arándiga,302
1900,50034,Ariza,1578
1910,50034,Ariza,1623
1920,50034,Ariza,2448
1930,50034,Ariza,2907
1940,50034,Ariza,3076
1950,50034,Ariza,2987
1960,50034,Ariza,2654
1970,50034,Ariza,2050
1981,50034,Ariza,1621
1991,50034,Ariza,1375
2001,50034,Ariza,1237
2011,50034,Ariza,1246
2018,50034,Ariza,1139
2019,50034,Ariza,1115
1900,50038,Ateca,3126
1910,50038,Ateca,3065
1920,50038,Ateca,3096
1930,50038,Ateca,3232
1940,50038,Ateca,3214
1950,50038,Ateca,3410
1960,50038,Ateca,2726
1970,50038,Ateca,2290
1981,50038,Ateca,2131
1991,50038,Ateca,2145
2001,50038,Ateca,2012
2011,50038,Ateca,2069
2018,50038,Ateca,1793
2019,50038,Ateca,1762
1900,50046,Belmonte de Gracián,997
1910,50046,Belmonte de Gracián,998
1920,50046,Belmonte de Gracián,997
1930,50046,Belmonte de Gracián,1002
1940,50046,Belmonte de Gracián,957
1950,50046,Belmonte de Gracián,897
1960,50046,Belmonte de Gracián,799
1970,50046,Belmonte de Gracián,595
1981,50046,Belmonte de Gracián,460
1991,50046,Belmonte de Gracián,354
2001,50046,Belmonte de Gracián,246
2011,50046,Belmonte de Gracián,238
2018,50046,Belmonte de Gracián,198
2019,50046,Belmonte de Gracián,197
1900,50047,Berdejo,363
1910,50047,Berdejo,356
1920,50047,Berdejo,316
1930,50047,Berdejo,329
1940,50047,Berdejo,307
1950,50047,Berdejo,280
1960,50047,Berdejo,209
1970,50047,Berdejo,102
1981,50047,Berdejo,32
1991,50047,Berdejo,37
2001,50047,Berdejo,53
2011,50047,Berdejo,69
2018,50047,Berdejo,47
2019,50047,Berdejo,47
1900,50050,Bijuesca,833
1910,50050,Bijuesca,884
1920,50050,Bijuesca,896
1930,50050,Bijuesca,879
1940,50050,Bijuesca,893
1950,50050,Bijuesca,821
1960,50050,Bijuesca,603
1970,50050,Bijuesca,297
1981,50050,Bijuesca,161
1991,50050,Bijuesca,138
2001,50050,Bijuesca,133
2011,50050,Bijuesca,110
2018,50050,Bijuesca,98
2019,50050,Bijuesca,94
1900,50054,Bordalba,520
1910,50054,Bordalba,524
1920,50054,Bordalba,548
1930,50054,Bordalba,566
1940,50054,Bordalba,553
1950,50054,Bordalba,501
1960,50054,Bordalba,388
1970,50054,Bordalba,223
1981,50054,Bordalba,154
1991,50054,Bordalba,108
2001,50054,Bordalba,82
2011,50054,Bordalba,72
2018,50054,Bordalba,56
2019,50054,Bordalba,56
1900,50058,Bubierca,914
1910,50058,Bubierca,808
1920,50058,Bubierca,665
1930,50058,Bubierca,600
1940,50058,Bubierca,602
1950,50058,Bubierca,462
1960,50058,Bubierca,380
1970,50058,Bubierca,245
1981,50058,Bubierca,175
1991,50058,Bubierca,123
2001,50058,Bubierca,97
2011,50058,Bubierca,86
2018,50058,Bubierca,63
2019,50058,Bubierca,66
1900,50065,Cabolafuente,474
1910,50065,Cabolafuente,615
1920,50065,Cabolafuente,707
1930,50065,Cabolafuente,650
1940,50065,Cabolafuente,671
1950,50065,Cabolafuente,645
1960,50065,Cabolafuente,515
1970,50065,Cabolafuente,241
1981,50065,Cabolafuente,175
1991,50065,Cabolafuente,101
2001,50065,Cabolafuente,54
2011,50065,Cabolafuente,46
2018,50065,Cabolafuente,32
2019,50065,Cabolafuente,33
1900,50067,Calatayud,11958
1910,50067,Calatayud,11858
1920,50067,Calatayud,12574
1930,50067,Calatayud,15733
1940,50067,Calatayud,18393
1950,50067,Calatayud,18874
1960,50067,Calatayud,18251
1970,50067,Calatayud,17133
1981,50067,Calatayud,17666
1991,50067,Calatayud,17432
2001,50067,Calatayud,18019
2011,50067,Calatayud,21264
2018,50067,Calatayud,20035
2019,50067,Calatayud,20024
1900,50070,Calmarza,343
1910,50070,Calmarza,380
