Sexo,Municipios,Edad (año a año),Periodo,Total
Total,22001 Abiego,41 años,2017,6
Total,22001 Abiego,42 años,2017,3
Total,22001 Abiego,43 años,2017,4
Total,22001 Abiego,44 años,2017,3
Total,22001 Abiego,45 años,2017,3
Total,22001 Abiego,46 años,2017,2
Total,22001 Abiego,47 años,2017,6
Total,22001 Abiego,48 años,2017,2
Total,22001 Abiego,49 años,2017,4
Total,22001 Abiego,50 años,2017,6
Total,22001 Abiego,51 años,2017,7
Total,22001 Abiego,52 años,2017,3
Total,22001 Abiego,53 años,2017,9
Total,22001 Abiego,54 años,2017,5
Total,22001 Abiego,55 años,2017,7
Total,22001 Abiego,56 años,2017,5
Total,22001 Abiego,57 años,2017,1
Total,22001 Abiego,58 años,2017,3
Total,22001 Abiego,59 años,2017,2
Total,22001 Abiego,60 años,2017,2
Total,22001 Abiego,61 años,2017,1
Total,22001 Abiego,62 años,2017,4
Total,22001 Abiego,63 años,2017,5
Total,22001 Abiego,64 años,2017,3
Total,22001 Abiego,65 años,2017,2
Total,22002 Abizanda,41 años,2017,2
Total,22002 Abizanda,42 años,2017,5
Total,22002 Abizanda,43 años,2017,1
Total,22002 Abizanda,44 años,2017,2
Total,22002 Abizanda,45 años,2017,2
Total,22002 Abizanda,46 años,2017,2
Total,22002 Abizanda,47 años,2017,2
Total,22002 Abizanda,48 años,2017,3
Total,22002 Abizanda,49 años,2017,5
Total,22002 Abizanda,50 años,2017,5
Total,22002 Abizanda,51 años,2017,1
Total,22002 Abizanda,52 años,2017,1
Total,22002 Abizanda,53 años,2017,1
Total,22002 Abizanda,54 años,2017,2
Total,22002 Abizanda,55 años,2017,2
Total,22002 Abizanda,56 años,2017,2
Total,22002 Abizanda,57 años,2017,0
Total,22002 Abizanda,58 años,2017,3
Total,22002 Abizanda,59 años,2017,2
Total,22002 Abizanda,60 años,2017,3
Total,22002 Abizanda,61 años,2017,1
Total,22002 Abizanda,62 años,2017,2
Total,22002 Abizanda,63 años,2017,1
Total,22002 Abizanda,64 años,2017,0
Total,22002 Abizanda,65 años,2017,3
Total,22003 Adahuesca,41 años,2017,4
Total,22003 Adahuesca,42 años,2017,2
Total,22003 Adahuesca,43 años,2017,0
Total,22003 Adahuesca,44 años,2017,1
Total,22003 Adahuesca,45 años,2017,3
Total,22003 Adahuesca,46 años,2017,3
Total,22003 Adahuesca,47 años,2017,3
Total,22003 Adahuesca,48 años,2017,0
Total,22003 Adahuesca,49 años,2017,1
Total,22003 Adahuesca,50 años,2017,2
Total,22003 Adahuesca,51 años,2017,2
Total,22003 Adahuesca,52 años,2017,2
