cp,name,population,2018,2017,2016,2015,2014,2013,2012,2011,
44001, Ababuj,73,76,73,76,73,65,65,73,78
44002, Abejuela,48,49,50,56,54,41,39,55,66
44003, Aguatón,18,18,19,19,19,18,19,20,20
44004, Aguaviva,514,522,531,550,586,605,654,660,693
44005, Aguilar del Alfambra,63,63,65,64,66,77,75,73,70
44006, Alacón,252,264,274,279,293,314,306,331,349
44007, Alba,170,178,185,196,210,212,215,231,230
44008, Albalate del Arzobispo,1980,2004,1978,2003,2001,2025,2049,2087,2115
44009, Albarracín,1025,1016,1044,1054,1049,1059,1093,1102,1096
44010, Albentosa,276,257,255,267,270,279,296,290,301
44011, Alcaine,59,63,62,70,74,72,69,69,67
44012, Alcalá de la Selva,343,347,369,398,399,424,457,496,516
44013, Alcañiz,15947,15939,15937,16043,16230,16333,16384,16424,16420
44014, Alcorisa,3266,3276,3313,3326,3374,3433,3501,3556,3622
44016, Alfambra,508,531,554,568,571,587,584,622,677
44017, Aliaga,341,358,348,348,365,358,361,366,382
44021, Allepuz,16,126,129,128,118,117,119,121,129
44022, Alloza,64,582,594,602,604,638,667,673,701
44023, Allueva,22,29,31,29,27,15,15,21,23
44018, Almohaja,125,16,18,19,20,21,21,28,29
44019, Alobras,558,62,65,63,70,75,79,79,75
44020, Alpeñés,26,22,23,23,21,19,19,25,26
44024, Anadón,28,27,27,27,25,24,23,27,24
44025, Andorra,7472,7633,7799,7875,8065,8148,8278,8266,8324
44026, Arcos de las Salinas,119,105,106,106,105,100,96,105,100
44027, Arens de Lledó,211,206,199,212,206,208,215,205,196
44028, Argente,195,198,207,207,214,217,225,224,223
44029, Ariño,724,708,733,738,763,775,769,893,914
44031, Azaila,90,94,97,106,116,119,124,133,148
44032, Bádenas,19,20,18,19,19,19,20,21,21
44033, Báguena,287,311,318,316,327,337,353,370,386
44034, Bañón,144,153,149,158,150,154,163,162,165
44035, Barrachina,112,118,121,129,133,137,148,143,145
44036, Bea,31,31,30,35,26,28,30,30,32
44037, Beceite,541,541,551,561,566,583,599,607,608
44039, Bello,113,225,244,245,238,244,250,282,274
44038, Belmonte de San José,224,113,113,119,117,120,117,126,129
44040, Berge,235,244,245,248,246,247,251,254,264
44041, Bezas,70,70,62,65,67,77,75,78,82
44042, Blancas,126,125,134,147,149,152,157,158,154
44043, Blesa,94,95,97,101,109,109,118,125,132
44044, Bordón,100,106,108,114,117,114,120,131,146
44045, Bronchales,432,443,440,417,423,427,461,472,469
44046, Bueña,50,63,57,53,55,62,62,63,65
44047, Burbáguena,249,243,254,254,254,281,294,292,300
44048, Cabra de Mora,54,55,64,68,73,70,66,79,87
44049, Calaceite,994,1011,1038,1039,1052,1076,1106,1105,1143
44050, Calamocha,4339,4319,4353,4368,4417,4469,4515,4579,4628
44051, Calanda,3748,3708,3729,3846,3893,3920,3949,3956,4004
44052, Calomarde,75,74,78,80,87,88,84,90,103
44053, Camañas,134,124,129,130,125,128,127,135,125
44054, Camarena de la Sierra,105,113,116,127,123,137,138,145,159
44055, Camarillas,100,86,89,94,99,103,110,117,130
44056, Caminreal,620,619,616,637,659,684,724,735,718
44059, Cantavieja,709,714,717,712,741,724,724,745,757
44060, Cañada de Benatanduz,36,39,42,41,41,41,38,39,41
44061, Cañada de Verich La,89,87,85,94,102,102,94,106,112
44062, Cañada Vellida,31,35,35,35,36,37,38,38,40
44063, Cañizar del Olivar,100,98,93,94,103,99,98,110,106
44064, Cascante del Río,67,71,73,74,80,82,80,91,102
44065, Castejón de Tornos,60,62,62,62,60,63,66,64,68
44066, Castel de Cabra,96,104,112,120,122,128,131,138,140
44070, Castellar El,141,52,54,56,58,60,62,64,69
44071, Castellote,815,676,688,706,728,754,782,794,805
44067, Castelnou,58,160,146,137,142,140,152,177,120
44068, Castelserás,681,831,823,827,840,830,833,834,832
44074, Cedrillas,664,630,611,619,619,619,630,631,620
44075, Celadas,388,396,408,403,398,399,404,406,434
44076, Cella,2574,2606,2640,2673,2776,2818,2886,2878,2905
44077, Cerollera La,93,100,98,96,106,106,104,116,103
44080, Codoñera La,336,344,362,368,365,374,368,377,387
44082, Corbalán,107,109,109,109,110,106,109,107,102
44084, Cortes de Aragón,61,61,57,63,58,61,57,72,76
44085, Cosa,50,52,55,55,57,56,60,61,60
44086, Cretas,567,571,572,554,573,601,597,598,607
44087, Crivillén,62,68,71,71,74,75,76,88,92
44088, Cuba La,43,41,36,38,37,45,47,50,52
44089, Cubla,58,54,55,52,54,55,61,62,68
44090, Cucalón,78,80,91,96,104,103,110,108,101
44092, Cuervo El,78,86,93,89,87,85,98,91,101
44093, Cuevas de Almudén,126,122,138,141,140,145,141,148,141
44094, Cuevas Labradas,132,131,126,127,123,127,135,128,135
44096, Ejulve,175,180,187,189,200,194,204,208,203
44097, Escorihuela,136,139,147,152,158,160,162,177,183
44099, Escucha,852,885,913,954,953,981,1003,995,1019
44100, Estercuel,203,210,223,237,229,230,261,259,272
44101, Ferreruela de Huerva,56,63,65,67,69,64,67,70,68
44102, Fonfría,27,28,30,31,31,30,30,30,30
44103, Formiche Alto,141,151,155,164,180,168,170,175,181
44105, Fórnoles,80,75,78,86,86,78,93,105,102
44106, Fortanete,205,205,203,204,203,201,208,222,223
44107, Foz-Calanda,245,238,260,264,269,269,269,279,293
44108, Fresneda La,438,443,436,470,474,468,495,486,499
44109, Frías de Albarracín,115,116,125,130,131,144,143,151,152
44110, Fuenferrada,37,42,51,56,57,62,61,62,62
44111, Fuentes Calientes,92,101,111,105,93,111,113,116,119
44112, Fuentes Claras,461,461,482,494,528,531,553,576,582
44113, Fuentes de Rubielos,118,114,112,114,121,121,128,125,134
44114, Fuentespalda,284,286,298,291,285,299,308,317,326
44115, Galve,162,161,162,159,167,164,168,170,151
44116, Gargallo,93,89,101,102,103,110,122,122,125
44117, Gea de Albarracín,360,376,372,374,387,397,410,405,415
44118, Ginebrosa La,194,200,197,199,203,206,216,216,230
44119, Griegos,136,143,151,160,157,142,139,143,141
44120, Guadalaviar,241,242,241,245,247,248,245,236,247
44121, Gúdar,76,72,81,73,77,76,84,77,82
44122, Híjar,1721,1709,1697,1724,1761,1763,1774,1806,1872
44123, Hinojosa de Jarque,111,119,132,131,136,136,146,151,150
44124, Hoz de la Vieja La,83,85,86,79,82,81,83,79,89
44125, Huesa del Común,73,67,67,69,73,73,82,86,92
44126, Iglesuela del Cid La,410,414,414,424,432,462,469,496,501
44127, Jabaloyas,63,65,68,77,77,73,78,83,90
44128, Jarque de la Val,66,70,72,74,78,82,87,91,89
44129, Jatiel,37,40,41,42,48,48,50,49,52
44130, Jorcas,30,34,32,38,41,37,38,41,44
44131, Josa,34,34,32,34,36,36,36,38,38
44132, Lagueruela,73,78,84,79,81,78,72,69,68
44133, Lanzuela,22,24,27,27,29,30,27,28,27
44135, Libros,102,101,103,113,124,129,137,141,156
44136, Lidón,57,55,53,55,52,54,54,55,56
44137, Linares de Mora,234,249,260,267,287,274,276,296,300
44141, Lledó,122,172,166,163,169,169,172,169,168
44138, Loscos,159,129,139,138,151,154,156,175,179
44142, Maicas,28,27,31,35,36,35,36,38,39
44143, Manzanera,531,519,512,502,510,526,539,554,562
44144, Martín del Río,401,417,432,429,441,437,437,429,432
44145, Mas de las Matas,1262,1272,1270,1302,1318,1324,1349,1360,1387
44146, Mata de los Olmos La,257,265,272,263,261,268,280,281,283
44147, Mazaleón,522,539,543,540,534,540,558,567,564
44148, Mezquita de Jarque,96,98,102,109,115,117,121,118,117
44149, Mirambel,116,116,119,122,119,117,113,129,133
44150, Miravete de la Sierra,31,35,31,28,29,34,29,33,33
