cp,name,percentage
22001, Abiego,4.64
22002, Abizanda,-0.66
22003, Adahuesca,2.90
22004, Agüero,-0.76
22006, Aisa,-0.31
22007, Albalate de Cinca,0.09
22008, Albalatillo,-2.76
22009, Albelda,-3.19
22011, Albero Alto,11.42
22012, Albero Bajo,-4.25
22013, Alberuela de Tubo,-2.58
22014, Alcalá de Gurrea,0.81
22015, Alcalá del Obispo,-2.15
22016, Alcampell,-3.22
22017, Alcolea de Cinca,-0.43
22018, Alcubierre,-0.82
22019, Alerre,-0.99
22020, Alfántega,2.36
22021, Almudévar,-0.62
22022, Almunia de San Juan,0.61
22023, Almuniente,-2.33
22024, Alquézar,2.36
22025, Altorricón,0.56
22027, Angüés,-3.54
22028, Ansó,-6.03
22029, Antillón,-6.04
22032, Aragüés del Puerto,-0.86
22035, Arén,-1.57
22036, Argavieso,-1.04
22037, Arguis,-1.55
22039, Ayerbe,-3.07
22040, Azanuy-Alins,-4.54
22041, Azara,-1.72
22042, Azlor,-6.53
22043, Baélls,0
22044, Bailo,-4.30
22045, Baldellou,-1.29
22046, Ballobar,-1.33
22047, Banastás,1.02
22048, Barbastro,0.20
22049, Barbués,1.29
22050, Barbuñales,1.05
22051, Bárcabo,-1.90
22052, Belver de Cinca,-1.31
22053, Benabarre,1.53
22054, Benasque,-0.09
22055, Berbegal,0.57
22057, Bielsa,-3.99
22058, Bierge,3.46
22059, Biescas,-1.08
22060, Binaced,1.28
22061, Binéfar,1.33
22062, Bisaurri,-7.73
22063, Biscarrués,-3.70
22064, Blecua y Torres,-0.54
22066, Boltaña,3.04
22067, Bonansa,2.32
22068, Borau,-7.50
22069, Broto,-1.69
22072, Caldearenas,5.04
22074, Campo,-13.93
22075, Camporrélls,-2.18
22076, Canal de Berdún,-2.18
22077, Candasnos,45.74
22078, Canfranc,1.50
22079, Capdesaso,13.79
22080, Capella,-1.41
22081, Casbas de Huesca,0.37
22082, Castejón del Puente,0.95
22083, Castejón de Monegros,-1.69
22084, Castejón de Sos,-0.79
22085, Castelflorite,-1.85
22086, Castiello de Jaca,-8.98
22087, Castigaleu,-2.32
22088, Castillazuelo,-4.14
22089, Castillonroy,0.32
22090, Colungo,-3.50
22094, Chalamera,-1.85
22095, Chía,-3.48
22096, Chimillas,0.51
22099, Esplús,7.39
22102, Estada,1.96
22103, Estadilla,0.75
22105, Estopiñán del Castillo,-4.76
22106, Fago,-4.34
22107, Fanlo,4.12
22109, Fiscal,0.91
22110, Fonz,-1.26
22111, Foradada del Toscar,-0.57
22112, Fraga,0.36
22113, Fueva La,-1.67
22114, Gistaín,-4.69
22115, Grado El,-6.10
22116, Grañén,0.51
22117, Graus,2.72
22119, Gurrea de Gállego,-0.60
22122, Hoz de Jaca,-7.89
22124, Huerto,-5.50
22125, Huesca,1.27
22126, Ibieca,-1.03
22127, Igriés,2.55
22128, Ilche,-0.47
22129, Isábena,-1.26
22130, Jaca,1.36
22131, Jasa,0
22133, Labuerda,0
22135, Laluenga,1.54
22136, Lalueza,-2.30
22137, Lanaja,-2.32
22139, Laperdiguera,0
22141, Lascellas-Ponzano,2.38
22142, Lascuarre,-2.94
22143, Laspaúles,0
22144, Laspuña,2.40
22149, Loarre,2.11
22150, Loporzano,1.53
22151, Loscorrales,-6.60
22155, Monesma y Cajigar,4.10
22156, Monflorite-Lascasas,0.24
22157, Montanuy,-1.39
22158, Monzón,1.02
22160, Naval,2.23
22162, Novales,0.64
22163, Nueno,0.93
22164, Olvena,10.00
22165, Ontiñena,-2.81
22167, Osso de Cinca,-0.87
22168, Palo,0
22170, Panticosa,-0.25
22172, Peñalba,-1.76
22173, Peñas de Riglos Las,-1.19
22174, Peralta de Alcofea,-1.06
22175, Peralta de Calasanz,-4.10
22176, Peraltilla,-1.50
22177, Perarrúa,1.83
22178, Pertusa,2.72
22181, Piracés,4.08
22182, Plan,-1.39
22184, Poleñino,0
22186, Pozán de Vero,4.58
22187, Puebla de Castro La,2.95
22188, Puente de Montañana,-4.30
22189, Puértolas,-1.39
22190, Pueyo de Araguás El,4.54
22193, Pueyo de Santa Cruz,1.27
22195, Quicena,-1.06
22197, Robres,-2.58
22199, Sabiñánigo,-0.07
22200, Sahún,6.12
22201, Salas Altas,2.59
22202, Salas Bajas,4.79
22203, Salillas,-2.08
22204, Sallent de Gállego,1.02
22205, San Esteban de Litera,5.73
22206, Sangarrén,1.82
22207, San Juan de Plan,0.65
22208, Santa Cilia,3.89
22209, Santa Cruz de la Serós,1.66
22212, Santaliestra y San Quílez,1.23
22213, Sariñena,-0.19
22214, Secastilla,-4.10
22215, Seira,-1.33
22217, Sena,1.22
22218, Senés de Alcubierre,0
22220, Sesa,-3.59
22221, Sesué,-3.93
22222, Siétamo,2.25
22223, Sopeira,-3.19
22225, Tamarite de Litera,-1.47
22226, Tardienta,0.94
22227, Tella-Sin,2.65
22228, Tierz,1.71
22229, Tolva,-1.62
22230, Torla-Ordesa,2.01
22232, Torralba de Aragón,-1.94
22233, Torre la Ribera,-0.98
22234, Torrente de Cinca,0.52
22235, Torres de Alcanadre,-6.52
22236, Torres de Barbués,-5.26
22239, Tramaced,5.05
22242, Valfarta,-2.89
22243, Valle de Bardají,-11.76
22244, Valle de Lierp,-15.21
22245, Velilla de Cinca,-0.43
22246, Beranuy,5.12
22247, Viacamp y Litera,0
22248, Vicién,-2.58
22249, Villanova,5.66
22250, Villanúa,-3.35
22251, Villanueva de Sigena,-1.01
