municipio,cp,superficie,densidad
Abiego,22001,38.19,6.20
Abizanda,22002,44.84,3.36
Adahuesca,22003,52.47,3.27
Agüero,22004,94.16,1.38
Aísa,22006,80.97,3.96
Albalate de Cinca,22007,44.23,24.91
Albalatillo,22008,9.15,19.78
Albelda,22009,51.92,13.88
Albero Alto,22011,19.28,5.44
Albero Bajo,22012,22.22,6.34
Alberuela de Tubo,22013,20.79,14.86
Alcalá de Gurrea,22014,71.42,3.44
Alcalá del Obispo,22015,47.85,6.79
Alcampell,22016,58,11.24
Alcolea de Cinca,22017,83.24,13.93
Alcubierre,22018,115.31,3.14
Alerre,22019,8.94,22.48
Alfántega,22020,8.76,14.49
Almudévar,22021,201.49,11.88
Almunia de San Juan,22022,35.66,18.33
Almuniente,22023,37.56,12.53
Alquézar,22024,32.36,9.14
Altorricón,22025,32.41,43.47
Angüés,22027,56.51,6.49
Anso,22028,223.08,1.93
Antillón,22029,22.41,6.64
AragÃ¼Ã©s del Puerto,22032,64.44,1.80
ArÃ©n,22035,119.32,2.66
Argavieso,22036,9,10.66
Arguis,22037,62.75,2.05
Ayerbe,22039,63.89,16.29
Azanuy-Alins,22040,51.17,3.43
Azara,22041,14.49,12.00
Azlor,22042,15.89,9.62
BaÃ©lls,22043,39.82,2.61
Bailo,22044,164.43,1.69
Baldellou,22045,30.42,2.53
Ballobar,22046,127.73,6.44
Banastás,22047,4.66,62.66
Barbastro,22048,107,158.35
BarbuÃ©s,22049,19.59,3.93
Barbuñales,22050,18.75,5.06
Bárcabo,22051,87.92,1.19
Belver de Cinca,22052,82.63,15.63
Benabarre,22053,157.14,7.04
Benasque,22054,233,9.25
Berbegal,22055,49.03,7.03
Bielsa,22057,202.41,2.35
Bierge,22058,145.03,1.59
Biescas,22059,189.09,7.82
Binaced,22060,78.49,19.81
Binéfar,22061,25,377.40
Bisaurri,22062,63.19,2.86
Biscarrués,22063,30.18,6.26
Blecua y Torres,22064,36,5.08
Boltaña,22066,139.45,7.07
Bonansa,22067,37.29,2.30
Borau,22068,41.72,1.91
Broto,22069,128,4.14
Caldearenas,22072,192.31,1.13
Campo,22074,22.86,14.12
Camporrells,22075,26.71,5.12
Canal de Berdún,22076,133.27,2.40
Candasnos,22077,122.45,2.58
Canfranc,22078,71.56,7.43
Capdesaso,22079,17,10.23
Capella,22080,60.71,5.83
Casbas de Huesca,22081,132.69,2.02
CastejÃ³n del Puente,22082,25.43,12.38
Castejón de Monegros,22083,17.56,30.23
Castejón de Sos,22084,17.56,42.88
Castelflorite,22085,34.76,3.10
Castiello de Jaca,22086,17.31,15.42
Castigaleu,22087,26.53,3.24
Castillazuelo,22088,15.32,11.03
Castillonroy,22089,37.58,8.30
Colungo,22090,40.64,2.80
Chalamera,22094,11,9.81
Chía,22095,26,3.30
Chimillas,22096,10.04,38.94
Esplús,22099,73,7.41
Estada,22102,15.87,12.85
Estadilla,22103,50.39,15.75
Estopiñán del Castillo,22105,88.71,1.42
Fago,22106,28.76,0.79
Fanlo,22107,187,0.51
Fiscal,22109,170.06,1.92
Fonz,22110,51.86,16.77
Foradada del Toscar,22111,106.25,1.62
Fraga,22112,437.64,34.22
La Fueva,22113,218.85,2.72
Gistaín,22114,75,1.98
El Grado,22115,63.77,6.68
Grañén,22116,123.98,14.13
Graus,22117,299.79,11.02
Gurrea de Gállego,22119,191.97,7.68
Hoz de Jaca,22122,12.45,6.10
Huerto,22124,86.72,2.51
Huesca,22125,161.04,325.77
Ibieca,22126,14.94,6.49
IgriÃ©s,22127,19.17,36.77
Ilche,22128,63.72,3.32
Isábena,22129,118.53,2.00
Jaca,22130,406.34,31.53
Jasa,22131,8,11.50
Labuerda,22133,17.85,9.07
Laluenga,22135,36.47,5.31
Lalueza,22136,88.19,10.35
Lanaja,22137,183,6.56
Laperdiguera,22139,11.32,8.03
