cp,name,percentage
44001,Ababuj,-3.94
44002,Abejuela,-2.04
44003,Aguatón,0
44004,Aguaviva,-1.53
44005,Aguilar del Alfambra,0
44006,Alacón,-4.54
44007,Alba,-4.49
44008,Albalate del Arzobispo,-1.19
44009,Albarracín,0.88
44010,Albentosa,7.39
44011,Alcaine,-6.34
44012,Alcalá de la Selva,-1.15
44013,Alcañiz,0.05
44014,Alcorisa,-0.30
44016,Alfambra,-4.33
44017,Aliaga,-4.74
44018,Almohaja,0
44019,Alobras,3.22
44020,Alpeñés,0
44021,Allepuz,-0.79
44022,Alloza,-4.12
44023,Allueva,-10.34
44024,Anadón,3.70
44025,Andorra,-2.10
44026,Arcos de las Salinas,13.33
44027,Arens de Lledó,2.42
44028,Argente,-1.51
44029,Ariño,2.25
44031,Azaila,-4.25
44032,Bádenas,-5.00
44033,Báguena,-7.71
44034,Bañón,-5.88
44035,Barrachina,-5.08
44036,Bea,0
44037,Beceite,0
44038,Belmonte de San José,0
44039,Bello,-0.44
44040,Berge,-3.68
44041,Bezas,0
44042,Blancas,0.80
44043,Blesa,-1.05
44044,Bordón,-5.66
44045,Bronchales,-2.48
44046,Bueña,-20.63
44047,Burbáguena,2.46
44048,Cabra de Mora,-1.81
44049,Calaceite,-1.68
44050,Calamocha,0.46
44051,Calanda,1.07
44052,Calomarde,1.35
44053,Camañas,8.06
44054,Camarena de la Sierra,-7.07
44055,Camarillas,16.27
44056,Caminreal,0.16
44059,Cantavieja,-0.70
44060,Cañada de Benatanduz,-7.69
44061,Cañada de Verich La,2.29
44062,Cañada Vellida,-11.42
44063,Cañizar del Olivar,2.04
44064,Cascante del Río,-5.63
44065,Castejón de Tornos,-3.22
44066,Castel de Cabra,-7.69
44067,Castelnou,-11.87
44068,Castelserás,-1.92
44070,Castellar El,11.53
44071,Castellote,0.73
44074,Cedrillas,5.39
44075,Celadas,-2.02
44076,Cella,-1.22
44077,Cerollera La,-7.00
44080,Codoñera La,-2.32
44082,Corbalán,-1.83
44084,Cortes de Aragón,0
44085,Cosa,-3.84
44086,Cretas,-0.70
44087,Crivillén,-8.82
44088,Cuba La,4.87
44089,Cubla,7.40
44090,Cucalón,-2.50
44092,Cuervo El,-9.30
44093,Cuevas de Almudén,3.27
44094,Cuevas Labradas,0.76
44096,Ejulve,-2.77
44097,Escorihuela,-2.15
44099,Escucha,-3.72
44100,Estercuel,-3.33
44101,Ferreruela de Huerva,-11.11
44102,Fonfría,-3.57
44103,Formiche Alto,-6.62
44105,Fórnoles,6.66
44106,Fortanete,0
44107,Foz-Calanda,2.94
44108,Fresneda La,-1.12
44109,Frías de Albarracín,-0.86
44110,Fuenferrada,-11.90
44111,Fuentes Calientes,-8.91
44112,Fuentes Claras,0
44113,Fuentes de Rubielos,3.50
44114,Fuentespalda,-0.69
