year,cp,name,population
1900,44001,Ababuj,459
1900,44002,Abejuela,698
1900,44003,Aguatón,181
1900,44004,Aguaviva,1781
1900,44005,Aguilar del Alfambra,524
1900,44006,Alacón,931
1900,44007,Alba,634
1900,44008,Albalate del Arzobispo,4291
1900,44009,Albarracín,1932
1900,44010,Albentosa,1003
1900,44011,Alcaine,1103
1900,44012,Alcalá de la Selva,1648
1900,44013,Alcañiz,7699
1900,44014,Alcorisa,3119
1900,44016,Alfambra,1355
1900,44017,Aliaga,1754
1900,44018,Almohaja,243
1900,44019,Alobras,546
1900,44020,Alpeñés,224
1900,44021,Allepuz,1040
1900,44022,Alloza,1773
1900,44023,Allueva,216
1900,44024,Anadón,355
1900,44025,Andorra,2704
1900,44026,Arcos de las Salinas,1353
1900,44027,Arens de Lledó,759
1900,44028,Argente,716
1900,44029,Ariño,1366
1900,44031,Azaila,742
1900,44032,Bádenas,454
1900,44033,Báguena,1420
1900,44034,Bañón,693
1900,44035,Barrachina,697
1900,44036,Bea,170
1900,44037,Beceite,2252
1900,44038,Belmonte de San José,817
1900,44039,Bello,989
1900,44040,Berge,816
1900,44041,Bezas,357
1900,44042,Blancas,859
1900,44043,Blesa,1325
1900,44044,Bordón,586
1900,44045,Bronchales,950
1900,44046,Bueña,352
1900,44047,Burbáguena,1350
1900,44048,Cabra de Mora,563
1900,44049,Calaceite,2579
1900,44050,Calamocha,6017
1900,44051,Calanda,3924
1900,44052,Calomarde,422
1900,44053,Camañas,450
1900,44054,Camarena de la Sierra,882
1900,44055,Camarillas,816
1900,44056,Caminreal,1349
1900,44059,Cantavieja,1962
1900,44060,Cañada de Benatanduz,642
1900,44061,Cañada de Verich (La),287
1900,44062,Cañada Vellida,201
1900,44063,Cañizar del Olivar,507
1900,44064,Cascante del Río,574
1900,44065,Castejón de Tornos,475
1900,44066,Castel de Cabra,623
1900,44067,Castelnou,680
1900,44068,Castelserás,2177
1900,44070,Castellar (El),489
1900,44071,Castellote,5122
1900,44074,Cedrillas,957
1900,44075,Celadas,876
1900,44076,Cella,2567
1900,44077,Cerollera (La),450
1900,44080,Codoñera (La),1342
1900,44082,Corbalán,484
1900,44084,Cortes de Aragón,492
1900,44085,Cosa,385
1900,44086,Cretas,1562
1900,44087,Crivillén,937
1900,44088,Cuba (La),357
1900,44089,Cubla,363
1900,44090,Cucalón,525
1900,44092,Cuervo (El),576
1900,44093,Cuevas de Almudén,243
1900,44094,Cuevas Labradas,401
1900,44096,Ejulve,1291
1900,44097,Escorihuela,493
1900,44099,Escucha,707
1900,44100,Estercuel,964
1900,44101,Ferreruela de Huerva,262
1900,44102,Fonfría,205
1900,44103,Formiche Alto,1029
1900,44105,Fórnoles,742
1900,44106,Fortanete,1570
1900,44107,Foz-Calanda,786
1900,44108,Fresneda (La),1799
1900,44109,Frías de Albarracín,665
1900,44110,Fuenferrada,402
1900,44111,Fuentes Calientes,243
1900,44112,Fuentes Claras,1123
1900,44113,Fuentes de Rubielos,895
1900,44114,Fuentespalda,927
1900,44115,Galve,468
1900,44116,Gargallo,644
1900,44117,Gea de Albarracín,1168
1900,44118,Ginebrosa (La),1116
1900,44119,Griegos,415
1900,44120,Guadalaviar,492
1900,44121,Gúdar,730
1900,44122,Híjar,3330
1900,44123,Hinojosa de Jarque,546
1900,44124,Hoz de la Vieja (La),924
1900,44125,Huesa del Común,1284
1900,44126,Iglesuela del Cid (La),1485
1900,44127,Jabaloyas,934
1900,44128,Jarque de la Val,277
1900,44129,Jatiel,255
1900,44130,Jorcas,462
1900,44131,Josa,615
1900,44132,Lagueruela,252
1900,44133,Lanzuela,243
1900,44135,Libros,607
1900,44136,Lidón,308
1900,44137,Linares de Mora,1592
1900,44138,Loscos,1507
1900,44141,Lledó,580
1900,44142,Maicas,391
1900,44143,Manzanera,2750
1900,44144,Martín del Río,729
1900,44145,Mas de las Matas,1981
1900,44146,Mata de los Olmos (La),458
1900,44147,Mazaleón,1403
1900,44148,Mezquita de Jarque,327
1900,44149,Mirambel,835
1900,44150,Miravete de la Sierra,486
1900,44151,Molinos,1405
1900,44152,Monforte de Moyuela,694
1900,44153,Monreal del Campo,2330
1900,44154,Monroyo,1284
1900,44155,Montalbán,2020
1900,44156,Monteagudo del Castillo,489
1900,44157,Monterde de Albarracín,488
1900,44158,Mora de Rubielos,3213
1900,44159,Moscardón,494
1900,44160,Mosqueruela,3103
1900,44161,Muniesa,1860
1900,44163,Noguera de Albarracín,489
1900,44164,Nogueras,359
1900,44165,Nogueruelas,1156
1900,44167,Obón,1257
1900,44168,Odón,974
1900,44169,Ojos Negros,1436
1900,44171,Olba,1802
1900,44172,Oliete,2146
1900,44173,Olmos (Los),600
1900,44174,Orihuela del Tremedal,945
1900,44175,Orrios,430
1900,44176,Palomar de Arroyos,612
1900,44177,Pancrudo,1000
1900,44178,Parras de Castellote (Las),1107
1900,44179,Peñarroya de Tastavins,1702
1900,44180,Peracense,385
1900,44181,Peralejos,286
1900,44182,Perales del Alfambra,817
1900,44183,Pitarque,938
1900,44184,Plou,529
1900,44185,Pobo (El),497
1900,44187,Portellada (La),860
1900,44189,Pozondón,539
1900,44190,Pozuel del Campo,598
1900,44191,Puebla de Híjar (La),1921
1900,44192,Puebla de Valverde (La),1982
1900,44193,Puertomingalvo,1271
1900,44194,Ráfales,859
1900,44195,Rillo,502
1900,44196,Riodeva,716
1900,44197,Ródenas,415
1900,44198,Royuela,459
1900,44199,Rubiales,290
1900,44200,Rubielos de la Cérida,501
1900,44201,Rubielos de Mora,2284
1900,44203,Salcedillo,155
1900,44204,Saldón,435
1900,44205,Samper de Calanda,2647
1900,44206,San Agustín,1204
1900,44207,San Martín del Río,1330
