year,cp,name,population
1970,50001,Abanto,405
1970,50002,Acered,502
1970,50003,Agón,297
1970,50004,Aguarón,1106
1970,50005,Aguilón,612
1970,50006,Ainzón,1530
1970,50007,Aladrén,94
1970,50008,Alagón,5181
1970,50009,Alarba,281
1970,50010,Alberite de San Juan,172
1970,50011,Albeta,226
1970,50012,Alborge,157
1970,50013,Alcalá de Ebro,521
1970,50014,Alcalá de Moncayo,306
1970,50015,Alconchel de Ariza,390
1970,50016,Aldehuela de Liestos,178
1970,50017,Alfajarín,1238
1970,50018,Alfamén,1368
1970,50019,Alforque,153
1970,50020,Alhama de Aragón,1600
1970,50021,Almochuel,86
1970,50022,Almolda (La),880
1970,50023,Almonacid de la Cuba,509
1970,50024,Almonacid de la Sierra,1167
1970,50025,Almunia de Doña Godina (La),4892
1970,50026,Alpartir,814
1970,50027,Ambel,663
1970,50028,Anento,101
1970,50029,Aniñón,1170
1970,50030,Añón de Moncayo,474
1970,50031,Aranda de Moncayo,581
1970,50032,Arándiga,1026
1970,50033,Ardisa,199
1970,50034,Ariza,2050
1970,50035,Artieda,169
1970,50036,Asín,190
1970,50037,Atea,564
1970,50038,Ateca,2290
1970,50039,Azuara,1400
1970,50040,Badules,206
1970,50041,Bagüés,20
1970,50042,Balconchán,62
1970,50043,Bárboles,526
1970,50044,Bardallur,547
1970,50045,Belchite,2191
1970,50046,Belmonte de Gracián,595
1970,50047,Berdejo,102
1970,50048,Berrueco,107
1970,50050,Bijuesca,297
1970,50051,Biota,1704
1970,50052,Bisimbre,200
1970,50053,Boquiñeni,1359
1970,50054,Bordalba,223
1970,50055,Borja,4011
1970,50056,Botorrita,404
1970,50057,Brea de Aragón,1889
1970,50058,Bubierca,245
1970,50059,Bujaraloz,1148
1970,50060,Bulbuente,430
1970,50061,Bureta,471
1970,50062,Burgo de Ebro (El),1380
1970,50063,Buste (El),278
1970,50064,Cabañas de Ebro,687
1970,50065,Cabolafuente,241
1970,50066,Cadrete,692
1970,50067,Calatayud,17133
1970,50068,Calatorao,3071
1970,50069,Calcena,289
1970,50070,Calmarza,318
1970,50071,Campillo de Aragón,411
1970,50072,Carenas,434
1970,50073,Cariñena,2893
1970,50074,Caspe,9162
1970,50075,Castejón de Alarba,235
1970,50076,Castejón de las Armas,234
1970,50077,Castejón de Valdejasa,581
1970,50078,Castiliscar,649
1970,50079,Cervera de la Cañada,563
1970,50080,Cerveruela,27
1970,50081,Cetina,1469
1970,50082,Cimballa,281
1970,50083,Cinco Olivas,194
1970,50084,Clarés de Ribota,291
1970,50085,Codo,519
1970,50086,Codos,645
1970,50087,Contamina,129
1970,50088,Cosuenda,597
1970,50089,Cuarte de Huerva,744
1970,50090,Cubel,343
1970,50091,Cuerlas (Las),234
1970,50092,Chiprana,695
1970,50093,Chodes,263
1970,50094,Daroca,2968
1970,50095,Ejea de los Caballeros,14777
1970,50096,Embid de Ariza,264
1970,50098,Encinacorba,538
1970,50099,Épila,3997
1970,50100,Erla,778
1970,50101,Escatrón,2413
1970,50102,Fabara,1667
1970,50104,Farlete,565
1970,50105,Fayón,601
1970,50106,Fayos (Los),330
1970,50107,Figueruelas,691
1970,50108,Fombuena,22
1970,50109,Frago (El),183
1970,50110,Frasno (El),1017
1970,50111,Fréscano,419
1970,50113,Fuendejalón,1125
1970,50114,Fuendetodos,259
1970,50115,Fuentes de Ebro,3671
1970,50116,Fuentes de Jiloca,740
1970,50117,Gallocanta,380
1970,50118,Gallur,4227
1970,50119,Gelsa,1610
1970,50120,Godojos,218
1970,50121,Gotor,451
1970,50122,Grisel,127
1970,50123,Grisén,627
1970,50124,Herrera de los Navarros,1150
1970,50125,Ibdes,971
1970,50126,Illueca,2498
1970,50128,Isuerre,86
1970,50129,Jaraba,511
1970,50130,Jarque,773
1970,50131,Jaulín,392
1970,50132,Joyosa (La),459
1970,50133,Lagata,255
1970,50134,Langa del Castillo,332
1970,50135,Layana,332
1970,50136,Lécera,1490
1970,50137,Leciñena,1554
1970,50138,Lechón,108
1970,50139,Letux,701
1970,50140,Litago,255
1970,50141,Lituénigo,238
1970,50142,Lobera de Onsella,233
1970,50143,Longares,1019
1970,50144,Longás,62
1970,50146,Lucena de Jalón,396
1970,50147,Luceni,1604
1970,50148,Luesia,801
