municipio,cp,superficie,densidad,posicion
Abiego,22001,38.19,6.20,1
Abizanda,22002,44.84,3.36,2
Adahuesca,22003,52.47,3.27,3
Agüero,22004,94.16,1.38,4
Aísa,22006,80.97,3.96,5
Albalate de Cinca,22007,44.23,24.91,6
Albalatillo,22008,9.15,19.78,7
Albelda,22009,51.92,13.88,8
Albero Alto,22011,19.28,5.44,9
Albero Bajo,22012,22.22,6.34,10
Alberuela de Tubo,22013,20.79,14.86,11
Alcalá de Gurrea,22014,71.42,3.44,12
Alcalá del Obispo,22015,47.85,6.79,13
Alcampell,22016,58,11.24,14
Alcolea de Cinca,22017,83.24,13.93,15
Alcubierre,22018,115.31,3.14,16
Alerre,22019,8.94,22.48,17
Alfántega,22020,8.76,14.49,18
Almudévar,22021,201.49,11.88,19
Almunia de San Juan,22022,35.66,18.33,20
Almuniente,22023,37.56,12.53,21
Alquézar,22024,32.36,9.14,22
Altorricón,22025,32.41,43.47,23
Angüés,22027,56.51,6.49,24
Anso,22028,223.08,1.93,25
Antillón,22029,22.41,6.64,26
AragÃ¼Ã©s del Puerto,22032,64.44,1.80,27
ArÃ©n,22035,119.32,2.66,28
Argavieso,22036,9,10.66,29
Arguis,22037,62.75,2.05,30
Ayerbe,22039,63.89,16.29,31
Azanuy-Alins,22040,51.17,3.43,32
Azara,22041,14.49,12.00,33
Azlor,22042,15.89,9.62,34
BaÃ©lls,22043,39.82,2.61,35
Bailo,22044,164.43,1.69,36
Baldellou,22045,30.42,2.53,37
Ballobar,22046,127.73,6.44,38
Banastás,22047,4.66,62.66,39
Barbastro,22048,107,158.35,40
BarbuÃ©s,22049,19.59,3.93,41
Barbuñales,22050,18.75,5.06,42
Bárcabo,22051,87.92,1.19,43
Belver de Cinca,22052,82.63,15.63,44
Benabarre,22053,157.14,7.04,45
Benasque,22054,233,9.25,46
Berbegal,22055,49.03,7.03,47
Bielsa,22057,202.41,2.35,48
Bierge,22058,145.03,1.59,49
Biescas,22059,189.09,7.82,50
Binaced,22060,78.49,19.81,51
Binéfar,22061,25,377.40,52
Bisaurri,22062,63.19,2.86,53
Biscarrués,22063,30.18,6.26,54
Blecua y Torres,22064,36,5.08,55
Boltaña,22066,139.45,7.07,56
Bonansa,22067,37.29,2.30,57
Borau,22068,41.72,1.91,58
Broto,22069,128,4.14,59
Caldearenas,22072,192.31,1.13,60
Campo,22074,22.86,14.12,61
Camporrells,22075,26.71,5.12,62
Canal de Berdún,22076,133.27,2.40,63
Candasnos,22077,122.45,2.58,64
Canfranc,22078,71.56,7.43,65
Capdesaso,22079,17,10.23,66
Capella,22080,60.71,5.83,67
Casbas de Huesca,22081,132.69,2.02,68
CastejÃ³n del Puente,22082,25.43,12.38,69
Castejón de Monegros,22083,17.56,30.23,70
Castejón de Sos,22084,17.56,42.88,71
Castelflorite,22085,34.76,3.10,72
Castiello de Jaca,22086,17.31,15.42,73
Castigaleu,22087,26.53,3.24,74
Castillazuelo,22088,15.32,11.03,75
Castillonroy,22089,37.58,8.30,76
Colungo,22090,40.64,2.80,77
Chalamera,22094,11,9.81,78
Chía,22095,26,3.30,79
Chimillas,22096,10.04,38.94,80
Esplús,22099,73,7.41,81
Estada,22102,15.87,12.85,82
Estadilla,22103,50.39,15.75,83
Estopiñán del Castillo,22105,88.71,1.42,84
Fago,22106,28.76,0.79,85
Fanlo,22107,187,0.51,86
Fiscal,22109,170.06,1.92,87
Fonz,22110,51.86,16.77,88
Foradada del Toscar,22111,106.25,1.62,89
Fraga,22112,437.64,34.22,90
La Fueva,22113,218.85,2.72,91
Gistaín,22114,75,1.98,92
El Grado,22115,63.77,6.68,93
Grañén,22116,123.98,14.13,94
Graus,22117,299.79,11.02,95
Gurrea de Gállego,22119,191.97,7.68,96
Hoz de Jaca,22122,12.45,6.10,97
Huerto,22124,86.72,2.51,98
Huesca,22125,161.04,325.77,99
Ibieca,22126,14.94,6.49,100
IgriÃ©s,22127,19.17,36.77,101
Ilche,22128,63.72,3.32,102
Isábena,22129,118.53,2.00,103
Jaca,22130,406.34,31.53,104
Jasa,22131,8,11.50,105
Labuerda,22133,17.85,9.07,106
Laluenga,22135,36.47,5.31,107
Lalueza,22136,88.19,10.35,108
Lanaja,22137,183,6.56,109
Laperdiguera,22139,11.32,8.03,110
Lascellas Ponzano,22141,27.33,4.61,111
Lascuarre,22142,31.87,4.26,112
LaspaÃºles,22143,81.75,2.81,113
Laspuña,22144,45.29,6.42,114
Loarre,22149,74.42,4.44,115
Loporzano,22150,169.28,3.08,116
Loscorrales,22151,40.25,2.63,117
Monesma y Cajigar,22155,62,1.17,118
Monflorite Lascasas,22156,29.16,13.82,119
Montanuy,22157,174,1.23,120
Monzón,22158,155.02,110.05,121
Naval,22160,47.32,5.68,122
Novales,22162,20.08,7.71,123
Nueno,22163,147.24,3.61,124
Olvena,22164,15.89,3.14,125
Ontiñena,22165,136.96,3.89,126
Osso de Cinca,22167,27.66,24.83,127
Palo,22168,14.41,1.87,128
Panticosa,22170,95,8.27,129
Peñalba,22172,156,3.98,130
Las Peñas de Riglos,22173,217.87,1.15,131
Peralta de Alcofea,22174,116.14,4.83,132
Peralta de Calasanz,22175,114.88,1.90,133
Peraltilla,22176,16,12.43,134
Perarrúa,22177,30.05,3.62,135
Pertusa,22178,29.37,3.74,136
Piracés,22181,25.15,3.89,137
Plan,22182,92.53,3.10,138
Poleñino,22184,33.02,6.05,139
PozÃ¡n de Vero,22186,14.75,14.77,140
La Puebla de Castro,22187,17.03,21.84,141
Puente de Montañana,22188,48.56,1.91,142
Puertolas,22189,99.86,2.15,143
El Pueyo de Araguás,22190,61.84,2.49,144
Pueyo de Santa Cruz,22193,9.29,33.79,145
