year,cp,name,population
1900,22035,Arén,2119
1910,22035,Arén,2085
1920,22035,Arén,1933
1930,22035,Arén,1883
1940,22035,Arén,1735
1950,22035,Arén,1534
1960,22035,Arén,1314
1970,22035,Arén,1209
1981,22035,Arén,504
1991,22035,Arén,439
2001,22035,Arén,366
2011,22035,Arén,339
2018,22035,Arén,318
2019,22035,Arén,313
1900,22053,Benabarre,2887
1910,22053,Benabarre,2966
1920,22053,Benabarre,2818
1930,22053,Benabarre,2704
1940,22053,Benabarre,2441
1950,22053,Benabarre,2120
1960,22053,Benabarre,1857
1970,22053,Benabarre,1542
1981,22053,Benabarre,1364
1991,22053,Benabarre,1233
2001,22053,Benabarre,1120
2011,22053,Benabarre,1199
2018,22053,Benabarre,1107
2019,22053,Benabarre,1124
1900,22054,Benasque,1598
1910,22054,Benasque,1331
1920,22054,Benasque,1328
1930,22054,Benasque,1215
1940,22054,Benasque,984
1950,22054,Benasque,786
1960,22054,Benasque,941
1970,22054,Benasque,738
1981,22054,Benasque,765
1991,22054,Benasque,1081
2001,22054,Benasque,1489
2011,22054,Benasque,2194
2018,22054,Benasque,2157
2019,22054,Benasque,2155
1900,22062,Bisaurri,813
1910,22062,Bisaurri,892
1920,22062,Bisaurri,969
1930,22062,Bisaurri,998
1940,22062,Bisaurri,735
1950,22062,Bisaurri,625
1960,22062,Bisaurri,561
1970,22062,Bisaurri,427
1981,22062,Bisaurri,300
1991,22062,Bisaurri,229
2001,22062,Bisaurri,224
2011,22062,Bisaurri,202
2018,22062,Bisaurri,181
2019,22062,Bisaurri,167
1900,22067,Bonansa,421
1910,22067,Bonansa,443
1920,22067,Bonansa,398
1930,22067,Bonansa,375
1940,22067,Bonansa,367
1950,22067,Bonansa,333
1960,22067,Bonansa,276
1970,22067,Bonansa,118
1981,22067,Bonansa,66
1991,22067,Bonansa,70
2001,22067,Bonansa,84
2011,22067,Bonansa,101
2018,22067,Bonansa,86
2019,22067,Bonansa,88
1900,22074,Campo,806
1900,22075,Camporrells,997
1910,22074,Campo,828
1910,22075,Camporrells,902
1920,22074,Campo,898
1920,22075,Camporrells,875
1930,22074,Campo,765
1930,22075,Camporrells,804
1940,22074,Campo,794
1940,22075,Camporrells,691
1950,22074,Campo,783
1950,22075,Camporrells,567
1960,22074,Campo,715
1960,22075,Camporrells,808
1970,22074,Campo,524
1970,22075,Camporrells,500
1981,22074,Campo,434
1981,22075,Camporrells,374
1991,22074,Campo,375
1991,22075,Camporrells,269
2001,22074,Campo,348
2001,22075,Camporrells,247
2011,22074,Campo,332
2011,22075,Camporrells,163
2018,22074,Campo,323
2018,22075,Camporrells,137
2019,22074,Campo,278
2019,22075,Camporrells,134
1900,22080,Capella,1008
1910,22080,Capella,1064
1920,22080,Capella,1013
1930,22080,Capella,1025
1940,22080,Capella,910
1950,22080,Capella,779
1960,22080,Capella,689
1970,22080,Capella,563
1981,22080,Capella,534
1991,22080,Capella,456
2001,22080,Capella,383
2011,22080,Capella,369
2018,22080,Capella,354
2019,22080,Capella,349
1900,22084,Castejón de Sos,813
1910,22084,Castejón de Sos,900
1920,22084,Castejón de Sos,966
1930,22084,Castejón de Sos,706
1940,22084,Castejón de Sos,708
1950,22084,Castejón de Sos,661
1960,22084,Castejón de Sos,605
1970,22084,Castejón de Sos,459
1981,22084,Castejón de Sos,443
1991,22084,Castejón de Sos,449
2001,22084,Castejón de Sos,617
2011,22084,Castejón de Sos,782
2018,22084,Castejón de Sos,753
2019,22084,Castejón de Sos,747
1900,22087,Castigaleu,266
1910,22087,Castigaleu,269
1920,22087,Castigaleu,293
1930,22087,Castigaleu,351
1940,22087,Castigaleu,312
1950,22087,Castigaleu,272
1960,22087,Castigaleu,228
1970,22087,Castigaleu,150
1981,22087,Castigaleu,111
1991,22087,Castigaleu,97
2001,22087,Castigaleu,102
2011,22087,Castigaleu,106
2018,22087,Castigaleu,86
2019,22087,Castigaleu,84
1900,22095,Chía,602
1910,22095,Chía,444
1920,22095,Chía,308
1930,22095,Chía,300
1940,22095,Chía,328
1950,22095,Chía,251
1960,22095,Chía,212
1970,22095,Chía,188
1981,22095,Chía,150
1991,22095,Chía,127
2001,22095,Chía,111
2011,22095,Chía,97
2018,22095,Chía,86
2019,22095,Chía,83
1900,22105,Estopiñán del Castillo,1486
1910,22105,Estopiñán del Castillo,1443
1920,22105,Estopiñán del Castillo,1390
1930,22105,Estopiñán del Castillo,1104
1940,22105,Estopiñán del Castillo,1083
1950,22105,Estopiñán del Castillo,833
1960,22105,Estopiñán del Castillo,1222
1970,22105,Estopiñán del Castillo,476
1981,22105,Estopiñán del Castillo,219
1991,22105,Estopiñán del Castillo,184
2001,22105,Estopiñán del Castillo,217
2011,22105,Estopiñán del Castillo,161
2018,22105,Estopiñán del Castillo,126
2019,22105,Estopiñán del Castillo,120
1900,22111,Foradada del Toscar,665
1910,22111,Foradada del Toscar,686
1920,22111,Foradada del Toscar,713
1930,22111,Foradada del Toscar,688
1940,22111,Foradada del Toscar,690
1950,22111,Foradada del Toscar,617
1960,22111,Foradada del Toscar,513
1970,22111,Foradada del Toscar,364
1981,22111,Foradada del Toscar,304
1991,22111,Foradada del Toscar,272
2001,22111,Foradada del Toscar,259
2011,22111,Foradada del Toscar,209
2018,22111,Foradada del Toscar,173
2019,22111,Foradada del Toscar,172
1900,22117,Graus,6259
1910,22117,Graus,6478
1920,22117,Graus,6217
1930,22117,Graus,5986
1940,22117,Graus,6023
1950,22117,Graus,5151
1960,22117,Graus,4747
1970,22117,Graus,3910
1981,22117,Graus,3546
1991,22117,Graus,3315
2001,22117,Graus,3136
2011,22117,Graus,3526
2018,22117,Graus,3305
2019,22117,Graus,3395
1900,22129,Isábena,1246
1910,22129,Isábena,1288
1920,22129,Isábena,1226
1930,22129,Isábena,1174
1940,22129,Isábena,1162
1950,22129,Isábena,1070
1960,22129,Isábena,831
1970,22129,Isábena,507
1981,22129,Isábena,347
1991,22129,Isábena,279
2001,22129,Isábena,273
2011,22129,Isábena,288
2018,22129,Isábena,238
2019,22129,Isábena,235
1900,22142,Lascuarre,581
1910,22142,Lascuarre,551
1920,22142,Lascuarre,553
1930,22142,Lascuarre,551
1940,22142,Lascuarre,542
1950,22142,Lascuarre,452
1960,22142,Lascuarre,351
1970,22142,Lascuarre,242
1981,22142,Lascuarre,200
1991,22142,Lascuarre,173
2001,22142,Lascuarre,159
2011,22142,Lascuarre,150
2018,22142,Lascuarre,136
