year,cp,name,population
1900,44001,Ababuj,459
1910,44001,Ababuj,458
1920,44001,Ababuj,409
1930,44001,Ababuj,373
1940,44001,Ababuj,409
1950,44001,Ababuj,400
1960,44001,Ababuj,362
1970,44001,Ababuj,193
1981,44001,Ababuj,115
1991,44001,Ababuj,83
2001,44001,Ababuj,85
2011,44001,Ababuj,71
2018,44001,Ababuj,76
2019,44001,Ababuj,73
1900,44003,Aguatón,181
1910,44003,Aguatón,185
1920,44003,Aguatón,179
1930,44003,Aguatón,194
1940,44003,Aguatón,139
1950,44003,Aguatón,153
1960,44003,Aguatón,129
1970,44003,Aguatón,73
1981,44003,Aguatón,50
1991,44003,Aguatón,32
2001,44003,Aguatón,26
2011,44003,Aguatón,20
2018,44003,Aguatón,18
2019,44003,Aguatón,18
1900,44005,Aguilar del Alfambra,524
1910,44005,Aguilar del Alfambra,496
1920,44005,Aguilar del Alfambra,536
1930,44005,Aguilar del Alfambra,494
1940,44005,Aguilar del Alfambra,442
1950,44005,Aguilar del Alfambra,392
1960,44005,Aguilar del Alfambra,314
1970,44005,Aguilar del Alfambra,220
1981,44005,Aguilar del Alfambra,131
1991,44005,Aguilar del Alfambra,101
2001,44005,Aguilar del Alfambra,80
2011,44005,Aguilar del Alfambra,74
2018,44005,Aguilar del Alfambra,63
2019,44005,Aguilar del Alfambra,63
1900,44007,Alba,634
1900,44008,Albalate del Arzobispo,4291
1900,44009,Albarracín,1932
1910,44007,Alba,694
1910,44008,Albalate del Arzobispo,4537
1910,44009,Albarracín,1752
1920,44007,Alba,732
1920,44008,Albalate del Arzobispo,4726
1920,44009,Albarracín,1780
1930,44007,Alba,786
1930,44008,Albalate del Arzobispo,4640
1930,44009,Albarracín,1688
1940,44007,Alba,761
1940,44008,Albalate del Arzobispo,4367
1940,44009,Albarracín,1404
1950,44007,Alba,701
1950,44008,Albalate del Arzobispo,4341
1950,44009,Albarracín,1501
1960,44007,Alba,626
1960,44008,Albalate del Arzobispo,3926
1960,44009,Albarracín,1432
1970,44007,Alba,557
1970,44008,Albalate del Arzobispo,3044
1970,44009,Albarracín,1258
1981,44007,Alba,403
1981,44008,Albalate del Arzobispo,2739
1981,44009,Albarracín,1127
1991,44007,Alba,323
1991,44008,Albalate del Arzobispo,2449
1991,44009,Albarracín,1065
2001,44007,Alba,255
2001,44008,Albalate del Arzobispo,2185
2001,44009,Albarracín,1050
2011,44007,Alba,228
2011,44008,Albalate del Arzobispo,2079
2011,44009,Albarracín,1102
2018,44007,Alba,178
2018,44008,Albalate del Arzobispo,2004
2018,44009,Albarracín,1016
2019,44007,Alba,170
2019,44008,Albalate del Arzobispo,1980
2019,44009,Albarracín,1025
1900,44016,Alfambra,1355
1910,44016,Alfambra,1340
1920,44016,Alfambra,1399
1930,44016,Alfambra,1586
1940,44016,Alfambra,1304
1950,44016,Alfambra,1579
1960,44016,Alfambra,1551
1970,44016,Alfambra,1169
1981,44016,Alfambra,934
1991,44016,Alfambra,777
2001,44016,Alfambra,624
2011,44016,Alfambra,619
2018,44016,Alfambra,531
2019,44016,Alfambra,508
1900,44018,Almohaja,243
1910,44018,Almohaja,271
1920,44018,Almohaja,258
1930,44018,Almohaja,218
1940,44018,Almohaja,214
1950,44018,Almohaja,205
1960,44018,Almohaja,160
1970,44018,Almohaja,67
1981,44018,Almohaja,34
1991,44018,Almohaja,40
2001,44018,Almohaja,27
2011,44018,Almohaja,29
2018,44018,Almohaja,16
2019,44018,Almohaja,125
1900,44019,Alobras,546
1910,44019,Alobras,561
1920,44019,Alobras,533
1930,44019,Alobras,449
1940,44019,Alobras,441
1950,44019,Alobras,371
1960,44019,Alobras,305
1970,44019,Alobras,231
1981,44019,Alobras,150
1991,44019,Alobras,111
2001,44019,Alobras,85
2011,44019,Alobras,77
2018,44019,Alobras,62
2019,44019,Alobras,558
1900,44020,Alpeñés,224
1910,44020,Alpeñés,241
1920,44020,Alpeñés,248
1930,44020,Alpeñés,226
