year,cp,name,population
1900,50012,Alborge,464
1910,50012,Alborge,432
1920,50012,Alborge,374
1930,50012,Alborge,306
1940,50012,Alborge,306
1950,50012,Alborge,267
1960,50012,Alborge,203
1970,50012,Alborge,157
1981,50012,Alborge,130
1991,50012,Alborge,123
2001,50012,Alborge,135
2011,50012,Alborge,120
2018,50012,Alborge,108
2019,50012,Alborge,107
1900,50019,Alforque,387
1910,50019,Alforque,450
1920,50019,Alforque,415
1930,50019,Alforque,374
1940,50019,Alforque,369
1950,50019,Alforque,301
1960,50019,Alforque,253
1970,50019,Alforque,153
1981,50019,Alforque,96
1991,50019,Alforque,91
2001,50019,Alforque,82
2011,50019,Alforque,86
2018,50019,Alforque,62
2019,50019,Alforque,68
1900,50083,Cinco Olivas,570
1910,50083,Cinco Olivas,555
1920,50083,Cinco Olivas,482
1930,50083,Cinco Olivas,400
1940,50083,Cinco Olivas,388
1950,50083,Cinco Olivas,349
1960,50083,Cinco Olivas,286
1970,50083,Cinco Olivas,194
1981,50083,Cinco Olivas,178
1991,50083,Cinco Olivas,157
2001,50083,Cinco Olivas,132
2011,50083,Cinco Olivas,122
2018,50083,Cinco Olivas,112
2019,50083,Cinco Olivas,106
1900,50101,Escatrón,2374
1910,50101,Escatrón,2281
1920,50101,Escatrón,2140
1930,50101,Escatrón,2068
1940,50101,Escatrón,2076
1950,50101,Escatrón,3156
1960,50101,Escatrón,3668
1970,50101,Escatrón,2413
1981,50101,Escatrón,1521
1991,50101,Escatrón,1366
2001,50101,Escatrón,1111
2011,50101,Escatrón,1123
2018,50101,Escatrón,1026
2019,50101,Escatrón,1051
1900,50119,Gelsa,2096
1910,50119,Gelsa,2297
1920,50119,Gelsa,2285
1930,50119,Gelsa,2172
1940,50119,Gelsa,2303
1950,50119,Gelsa,2022
1960,50119,Gelsa,1725
1970,50119,Gelsa,1610
1981,50119,Gelsa,1474
1991,50119,Gelsa,1366
2001,50119,Gelsa,1220
2011,50119,Gelsa,1186
2018,50119,Gelsa,995
2019,50119,Gelsa,1013
1900,50208,Pina de Ebro,2409
1910,50208,Pina de Ebro,2473
1920,50208,Pina de Ebro,2549
1930,50208,Pina de Ebro,2434
1940,50208,Pina de Ebro,2092
1950,50208,Pina de Ebro,2309
1960,50208,Pina de Ebro,2270
1970,50208,Pina de Ebro,2360
1981,50208,Pina de Ebro,2168
1991,50208,Pina de Ebro,2188
2001,50208,Pina de Ebro,2233
2011,50208,Pina de Ebro,2641
2018,50208,Pina de Ebro,2373
2019,50208,Pina de Ebro,2362
1900,50222,Quinto,2521
1910,50222,Quinto,2743
1920,50222,Quinto,2818
1930,50222,Quinto,2751
1940,50222,Quinto,2154
1950,50222,Quinto,2443
1960,50222,Quinto,2572
1970,50222,Quinto,2535
1981,50222,Quinto,2367
1991,50222,Quinto,2196
2001,50222,Quinto,2064
2011,50222,Quinto,2083
2018,50222,Quinto,1948
2019,50222,Quinto,1939
1900,50240,Sástago,2987
1910,50240,Sástago,3087
1920,50240,Sástago,3059
1930,50240,Sástago,3047
1940,50240,Sástago,2865
1950,50240,Sástago,2658
1960,50240,Sástago,2444
1970,50240,Sástago,1991
1981,50240,Sástago,1803
1991,50240,Sástago,1674
2001,50240,Sástago,1389
2011,50240,Sástago,1266
2018,50240,Sástago,1170
2019,50240,Sástago,1154
1900,50278,Velilla de Ebro,1027
1910,50278,Velilla de Ebro,1171
1920,50278,Velilla de Ebro,1095
1930,50278,Velilla de Ebro,990
1940,50278,Velilla de Ebro,983
1950,50278,Velilla de Ebro,793
1960,50278,Velilla de Ebro,652
1970,50278,Velilla de Ebro,482
1981,50278,Velilla de Ebro,341
1991,50278,Velilla de Ebro,290
2001,50278,Velilla de Ebro,261
2011,50278,Velilla de Ebro,242
2018,50278,Velilla de Ebro,215
2019,50278,Velilla de Ebro,215
1900,50296,La Zaida,446
1910,50296,La Zaida,485
1920,50296,La Zaida,570
1930,50296,La Zaida,578
1940,50296,La Zaida,620
1950,50296,La Zaida,596
1960,50296,La Zaida,569
1970,50296,La Zaida,699
1981,50296,La Zaida,739
1991,50296,La Zaida,653
2001,50296,La Zaida,584
2011,50296,La Zaida,497
2018,50296,La Zaida,455
2019,50296,La Zaida,435
