name,age,year,total
Abanto,0-16,2003,4
Abanto,0-16,2004,4
Abanto,0-16,2005,5
Abanto,0-16,2006,2
Abanto,0-16,2007,1
Abanto,0-16,2008,0
Abanto,0-16,2009,2
Abanto,0-16,2010,2
Abanto,0-16,2011,2
Abanto,0-16,2012,2
Abanto,0-16,2013,5
Abanto,0-16,2014,0
Abanto,0-16,2015,1
Abanto,0-16,2016,2
Abanto,0-16,2017,4
Abanto,0-16,2018,6
Abanto,0-16,2019,6
Abanto,0-16,2020,3
Abanto,0-16,2021,3
Abanto,0-16,2022,3
Abanto,16-64,2003,70
Abanto,16-64,2004,70
Abanto,16-64,2005,67
Abanto,16-64,2006,73
Abanto,16-64,2007,67
Abanto,16-64,2008,60
Abanto,16-64,2009,59
Abanto,16-64,2010,56
Abanto,16-64,2011,60
Abanto,16-64,2012,58
Abanto,16-64,2013,64
Abanto,16-64,2014,54
Abanto,16-64,2015,48
Abanto,16-64,2016,46
Abanto,16-64,2017,45
Abanto,16-64,2018,44
Abanto,16-64,2019,54
Abanto,16-64,2020,46
Abanto,16-64,2021,44
Abanto,16-64,2022,47
Abanto,65-100,2003,84
Abanto,65-100,2004,81
Abanto,65-100,2005,78
Abanto,65-100,2006,75
Abanto,65-100,2007,77
Abanto,65-100,2008,73
Abanto,65-100,2009,64
Abanto,65-100,2010,66
Abanto,65-100,2011,68
Abanto,65-100,2012,67
Abanto,65-100,2013,64
Abanto,65-100,2014,59
Abanto,65-100,2015,64
Abanto,65-100,2016,58
Abanto,65-100,2017,49
Abanto,65-100,2018,47
Abanto,65-100,2019,40
Abanto,65-100,2020,43
Abanto,65-100,2021,42
Abanto,65-100,2022,39
Acered,0-16,2003,15
Acered,0-16,2004,13
Acered,0-16,2005,13
Acered,0-16,2006,11
Acered,0-16,2007,10
Acered,0-16,2008,9
Acered,0-16,2009,7
Acered,0-16,2010,6
Acered,0-16,2011,9
Acered,0-16,2012,10
Acered,0-16,2013,9
Acered,0-16,2014,8
Acered,0-16,2015,9
Acered,0-16,2016,9
Acered,0-16,2017,7
Acered,0-16,2018,4
Acered,0-16,2019,6
Acered,0-16,2020,5
Acered,0-16,2021,3
Acered,0-16,2022,6
Acered,16-64,2003,110
Acered,16-64,2004,105
Acered,16-64,2005,98
Acered,16-64,2006,93
Acered,16-64,2007,88
Acered,16-64,2008,83
Acered,16-64,2009,79
Acered,16-64,2010,75
Acered,16-64,2011,113
Acered,16-64,2012,153
Acered,16-64,2013,160
Acered,16-64,2014,135
Acered,16-64,2015,128
Acered,16-64,2016,135
Acered,16-64,2017,88
Acered,16-64,2018,89
Acered,16-64,2019,88
Acered,16-64,2020,87
Acered,16-64,2021,70
Acered,16-64,2022,73
Acered,65-100,2003,120
Acered,65-100,2004,118
Acered,65-100,2005,112
Acered,65-100,2006,106
Acered,65-100,2007,106
Acered,65-100,2008,97
Acered,65-100,2009,83
Acered,65-100,2010,79
Acered,65-100,2011,76
Acered,65-100,2012,80
Acered,65-100,2013,76
Acered,65-100,2014,77
Acered,65-100,2015,80
Acered,65-100,2016,79
Acered,65-100,2017,76
Acered,65-100,2018,72
Acered,65-100,2019,72
Acered,65-100,2020,66
Acered,65-100,2021,67
Acered,65-100,2022,59
Agón,0-16,2003,18
Agón,0-16,2004,12
Agón,0-16,2005,11
Agón,0-16,2006,11
Agón,0-16,2007,11
Agón,0-16,2008,9
Agón,0-16,2009,13
Agón,0-16,2010,13
Agón,0-16,2011,15
Agón,0-16,2012,15
Agón,0-16,2013,14
Agón,0-16,2014,16
Agón,0-16,2015,17
Agón,0-16,2016,17
Agón,0-16,2017,9
Agón,0-16,2018,10
Agón,0-16,2019,10
Agón,0-16,2020,10
Agón,0-16,2021,8
Agón,0-16,2022,10
Agón,16-64,2003,119
Agón,16-64,2004,123
Agón,16-64,2005,110
Agón,16-64,2006,111
Agón,16-64,2007,108
Agón,16-64,2008,104
Agón,16-64,2009,101
Agón,16-64,2010,93
Agón,16-64,2011,92
Agón,16-64,2012,90
Agón,16-64,2013,82
Agón,16-64,2014,80
Agón,16-64,2015,78
Agón,16-64,2016,82
Agón,16-64,2017,82
Agón,16-64,2018,87
Agón,16-64,2019,80
Agón,16-64,2020,81
Agón,16-64,2021,84
Agón,16-64,2022,83
Agón,65-100,2003,60
Agón,65-100,2004,58
Agón,65-100,2005,55
Agón,65-100,2006,54
Agón,65-100,2007,53
Agón,65-100,2008,54
Agón,65-100,2009,56
Agón,65-100,2010,60
Agón,65-100,2011,57
Agón,65-100,2012,62
Agón,65-100,2013,59
Agón,65-100,2014,59
Agón,65-100,2015,60
Agón,65-100,2016,56
Agón,65-100,2017,55
Agón,65-100,2018,49
Agón,65-100,2019,47
Agón,65-100,2020,47
Agón,65-100,2021,43
Agón,65-100,2022,46
Aguarón,0-16,2003,73
Aguarón,0-16,2004,63
Aguarón,0-16,2005,60
Aguarón,0-16,2006,74
Aguarón,0-16,2007,72
Aguarón,0-16,2008,66
Aguarón,0-16,2009,75
Aguarón,0-16,2010,68
Aguarón,0-16,2011,67
Aguarón,0-16,2012,67
Aguarón,0-16,2013,64
Aguarón,0-16,2014,68
Aguarón,0-16,2015,61
Aguarón,0-16,2016,63
Aguarón,0-16,2017,63
Aguarón,0-16,2018,52
Aguarón,0-16,2019,57
Aguarón,0-16,2020,51
Aguarón,0-16,2021,50
Aguarón,0-16,2022,47
Aguarón,16-64,2003,398
Aguarón,16-64,2004,428
Aguarón,16-64,2005,428
Aguarón,16-64,2006,449
Aguarón,16-64,2007,478
Aguarón,16-64,2008,561
Aguarón,16-64,2009,556
Aguarón,16-64,2010,547
Aguarón,16-64,2011,551
Aguarón,16-64,2012,540
Aguarón,16-64,2013,447
Aguarón,16-64,2014,499
Aguarón,16-64,2015,441
Aguarón,16-64,2016,420
Aguarón,16-64,2017,423
Aguarón,16-64,2018,386
Aguarón,16-64,2019,391
Aguarón,16-64,2020,391
Aguarón,16-64,2021,390
Aguarón,16-64,2022,389
Aguarón,65-100,2003,280
Aguarón,65-100,2004,285
Aguarón,65-100,2005,288
Aguarón,65-100,2006,275
Aguarón,65-100,2007,288
Aguarón,65-100,2008,276
Aguarón,65-100,2009,265
Aguarón,65-100,2010,248
Aguarón,65-100,2011,255
Aguarón,65-100,2012,241
Aguarón,65-100,2013,232
Aguarón,65-100,2014,229
Aguarón,65-100,2015,222
Aguarón,65-100,2016,203
Aguarón,65-100,2017,198
Aguarón,65-100,2018,193
Aguarón,65-100,2019,188
Aguarón,65-100,2020,182
Aguarón,65-100,2021,176
Aguarón,65-100,2022,174
Aguilón,0-16,2003,9
Aguilón,0-16,2004,9
Aguilón,0-16,2005,10
Aguilón,0-16,2006,8
Aguilón,0-16,2007,11
Aguilón,0-16,2008,5
Aguilón,0-16,2009,5
Aguilón,0-16,2010,5
Aguilón,0-16,2011,5
Aguilón,0-16,2012,5
Aguilón,0-16,2013,7
Aguilón,0-16,2014,8
Aguilón,0-16,2015,6
Aguilón,0-16,2016,6
Aguilón,0-16,2017,7
Aguilón,0-16,2018,8
Aguilón,0-16,2019,9
Aguilón,0-16,2020,7
Aguilón,0-16,2021,5
Aguilón,0-16,2022,7
Aguilón,16-64,2003,155
Aguilón,16-64,2004,153
Aguilón,16-64,2005,146
Aguilón,16-64,2006,145
Aguilón,16-64,2007,150
Aguilón,16-64,2008,145
Aguilón,16-64,2009,145
Aguilón,16-64,2010,142
Aguilón,16-64,2011,146
Aguilón,16-64,2012,143
Aguilón,16-64,2013,140
Aguilón,16-64,2014,151
Aguilón,16-64,2015,148
Aguilón,16-64,2016,136
Aguilón,16-64,2017,126
Aguilón,16-64,2018,124
Aguilón,16-64,2019,142
Aguilón,16-64,2020,134
Aguilón,16-64,2021,136
Aguilón,16-64,2022,133
Aguilón,65-100,2003,129
Aguilón,65-100,2004,128
