year,name,menor,mayor,population
2024,Abiego,9.1,27.7,264
2024,Abizanda,6.7,26.4,163
2024,Adahuesca,18.0,24.9,205
2024,Agüero,5.0,38.8,139
2024,Aísa,7.3,28.7,314
2024,Albalate de Cinca,12.4,23.6,1169
2024,Albalatillo,8.5,29.1,213
2024,Albelda,9.7,34.2,708
2024,Albero Alto,14.1,23.4,128
2024,Albero Bajo,11.6,25.0,112
2024,Alberuela de Tubo,6.4,34.0,282
2024,Alcalá de Gurrea,5.6,33.5,269
2024,Alcalá del Obispo,9.1,33.9,372
2024,Alcampell,8.0,42.1,637
2024,Alcolea de Cinca,12.4,24.4,1117
2024,Alcubierre,10.3,33.7,398
2024,Alerre,13.8,30.7,225
2024,Alfántega,8.4,33.6,131
2024,Almudévar,15.1,25.1,2435
2024,Almunia de San Juan,13.5,25.9,713
2024,Almuniente,9.1,33.2,449
2024,Alquézar,10.7,26.6,338
2024,Altorricón,14.0,23.4,1468
2024,Angüés,7.2,29.8,363
2024,Ansó,8.7,35.8,413
2024,Antillón,9.4,38.6,127
2024,Aragüés del Puerto,5.3,31.6,114
2024,Arén,9.6,30.6,314
2024,Argavieso,14.3,33.9,112
2024,Arguis,14.5,20.0,165
2024,Ayerbe,10.6,30.0,1066
2024,Azanuy-Alins,10.9,36.1,183
2024,Azara,8.5,31.5,165
2024,Azlor,11.5,24.8,157
2024,Baells,9.9,47.3,91
2024,Bailo,6.8,32.2,264
2024,Baldellou,2.4,30.5,82
2024,Ballobar,11.7,29.9,865
2024,Banastás,14.3,24.0,329
2024,Barbastro,15.3,21.5,17558
2024,Barbués,4.4,27.8,90
2024,Barbuñales,3.2,47.4,95
2024,Bárcabo,5.7,43.4,122
2024,Belver de Cinca,12.5,25.9,1304
2024,Benabarre,13.2,29.6,1140
2024,Benasque,14.6,12.9,2366
2024,Berbegal,6.7,30.7,326
2024,Bielsa,9.1,24.1,486
2024,Bierge,8.8,27.5,240
2024,Biescas,11.3,21.3,1615
2024,Binaced,12.6,23.3,1615
2024,Binéfar,15.6,19.6,10082
2024,Bisaurri,6.1,38.0,179
2024,Biscarrués,3.7,34.0,188
2024,Blecua y Torres,4.1,30.2,172
2024,Boltaña,12.0,19.3,1104
2024,Bonansa,12.8,24.4,86
2024,Borau,5.9,30.6,85
2024,Broto,11.7,19.2,613
2024,Caldearenas,12.2,33.2,238
2024,Campo,10.5,22.4,486
2024,Camporrells,8.2,39.9,158
2024,Canal de Berdún,6.9,38.1,331
2024,Candasnos,10.4,31.8,422
2024,Canfranc,8.3,15.8,613
2024,Capdesaso,7.4,23.0,204
2024,Capella,10.3,29.2,349
2024,Casbas de Huesca,4.8,36.6,292
2024,Castejón del Puente,11.7,30.3,333
2024,Castejón de Monegros,5.3,38.2,468
2024,Castejón de Sos,12.6,16.6,865
2024,Castelflorite,6.8,41.7,103
2024,Castiello de Jaca,11.3,20.4,265
2024,Castigaleu,14.0,23.3,86
2024,Castillazuelo,7.2,32.9,167
2024,Castillonroy,10.3,28.8,330
2024,Colungo,9.9,32.1,131
2024,Chalamera,10.0,29.2,130
2024,Chía,14.9,22.3,94
2024,Chimillas,12.7,19.6,408
2024,Esplús,11.5,27.5,662
2024,Estada,8.4,33.6,214
2024,Estadilla,12.2,27.8,826
2024,Estopiñán del Castillo,11.0,27.9,136
2024,Fago,0.0,40.0,25
2024,Fanlo,9.3,36.4,118
2024,Fiscal,11.2,24.3,383
2024,Fonz,9.0,31.7,892
2024,Foradada del Toscar,8.4,32.5,166
2024,Fraga,16.6,18.0,15371
2024,La Fueva,12.8,29.5,610
2024,Gistaín,7.8,42.2,116
2024,El Grado,8.1,36.1,385
2024,Grañén,13.3,26.6,1706
2024,Graus,13.3,24.8,3369
2024,Gurrea de Gállego,10.0,35.8,1423
2024,Hoz de Jaca,1.3,29.5,78
2024,Huerto,11.4,26.6,229
2024,Huesca,15.6,21.8,54664
2024,Ibieca,5.7,40.0,105
2024,Igriés,17.2,13.7,739
2024,Ilche,1.6,38.8,188
2024,Isábena,6.4,31.4,236
2024,Jaca,14.3,20.2,13849
2024,Jasa,7.4,30.9,94
2024,Labuerda,13.2,21.8,174
2024,Laluenga,8.3,34.6,205
2024,Lalueza,6.6,35.2,864
2024,Lanaja,8.2,32.9,1141
2024,Laperdiguera,3.4,39.8,88
2024,Lascellas-Ponzano,8.6,28.8,139
2024,Lascuarre,14.8,34.8,135
2024,Laspaúles,7.9,27.3,253
2024,Laspuña,9.7,34.3,277
2024,Loarre,4.6,35.0,351
2024,Loporzano,6.8,33.0,557
2024,Loscorrales,16.2,23.8,105
2024,Monesma y Cajigar,2.9,40.6,69
2024,Monflorite-Lascasas,22.7,14.8,485
2024,Montanuy,5.2,32.8,229
2024,Monzón,16.5,19.0,18127
2024,Naval,12.1,27.2,272
2024,Novales,12.6,26.3,167
2024,Nueno,15.6,25.1,570
2024,Olvena,13.8,40.0,65
2024,Ontiñena,7.4,32.1,511
2024,Osso de Cinca,8.5,27.9,657
2024,Palo,15.2,33.3,33
2024,Panticosa,11.4,17.5,915
2024,Peñalba,8.6,24.3,709
2024,Peñas de Las Riglos,7.1,29.9,268
2024,Peralta de Alcofea,7.5,34.5,585
2024,Peralta de Calasanz,8.8,33.5,215
2024,Peraltilla,13.6,28.5,214
2024,Perarrúa,13.4,34.8,112
2024,Pertusa,8.1,33.1,136
2024,Piracés,9.7,30.1,93
2024,Plan,9.2,30.7,283
2024,Poleñino,8.6,35.9,198
2024,Pozán de Vero,16.1,29.7,236
2024,Puebla de La Castro,13.5,21.2,430
2024,Puente de Montañana,8.3,35.4,96
2024,Puértolas,13.7,25.7,226
2024,Pueyo de El Araguás,12.3,22.8,171
2024,Pueyo de Santa Cruz,12.7,25.3,324
2024,Quicena,10.6,17.6,330
2024,Robres,11.8,33.1,532
2024,Sabiñánigo,13.3,23.3,9540
2024,Sahún,10.0,23.7,321
2024,Salas Altas,11.0,32.2,292
2024,Salas Bajas,11.7,22.8,180
2024,Salillas,9.0,35.0,100
2024,Sallent de Gállego,12.2,16.5,1535
2024,San Esteban de Litera,11.7,28.2,641
2024,Sangarrén,8.5,38.1,223
2024,San Juan de Plan,12.6,21.9,151
2024,Santa Cilia,15.4,20.6,247
2024,Santa Cruz de la Serós,11.6,24.3,189
2024,Santaliestra y San Quílez,7.1,38.1,84
2024,Sariñena,14.7,23.0,4096
2024,Secastilla,12.2,27.7,148
2024,Seira,8.2,28.8,146
2024,Sena,13.1,30.5,475
2024,Senés de Alcubierre,3.8,26.9,52
2024,Sesa,3.7,38.9,162
2024,Sesué,18.1,14.7,116
2024,Siétamo,14.5,19.2,684
2024,Sopeira,6.0,33.3,84
2024,Tamarite de Litera,13.3,25.9,3424
2024,Tardienta,15.6,28.1,938
2024,Tella-Sin,5.6,35.6,216
2024,Tierz,21.9,9.4,821
2024,Tolva,7.6,36.4,132
2024,Torla-Ordesa,8.9,28.6,336
2024,Torralba de Aragón,11.5,23.1,104
2024,Torre la Ribera,10.9,28.7,101
2024,Torrente de Cinca,9.1,24.0,1140
2024,Torres de Alcanadre,4.3,41.3,92
2024,Torres de Barbués,8.1,31.9,273
2024,Tramaced,5.4,31.5,111
2024,Valfarta,5.5,43.6,55
2024,Valle de Bardají,3.6,25.0,56
2024,Valle de Lierp,5.3,36.8,57
2024,Velilla de Cinca,13.0,20.9,506
2024,Beranuy,4.3,53.6,69
2024,Viacamp y Litera,9.8,22.0,41
2024,Vicién,8.0,27.0,137
2024,Villanova,12.4,17.8,169
2024,Villanúa,13.5,17.9,570
