cp,nombre,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
22001,Abiego,1,1,0,0,1,0,1,2,0,3,0,3,1,2,1,1,0,3,0
22002,Abizanda,1,0,2,1,1,2,0,0,0,1,1,2,0,1,0,0,0,1,1
22003,Adahuesca,4,2,2,2,4,3,0,1,0,0,0,1,1,0,4,0,2,1,1
22004,Agüero,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
22006,Aisa,0,0,0,0,3,1,1,3,3,1,1,3,5,2,4,2,4,1,2
22007,Albalate de Cinca,9,6,12,11,12,9,6,5,9,13,11,12,9,5,4,7,7,6,5
22008,Albalatillo,1,0,0,1,0,2,0,2,1,0,1,3,0,1,2,0,1,1,0
22009,Albelda,5,4,6,3,1,5,3,3,5,3,9,9,7,4,7,7,2,4,8
22011,Albero Alto,2,0,3,0,0,0,0,1,1,0,0,0,1,0,5,1,1,2,1
22012,Albero Bajo,1,0,0,1,0,3,1,1,1,2,2,2,2,1,4,1,1,1,2
22013,Alberuela de Tubo,3,3,2,2,0,1,0,1,0,0,2,2,1,0,1,0,1,2,3
22014,Alcalá de Gurrea,0,1,0,0,0,2,0,0,0,0,0,1,0,2,0,2,2,1,1
22015,Alcalá del Obispo,0,1,0,1,0,0,2,0,0,1,2,0,2,1,3,0,1,1,2
22016,Alcampell,3,3,2,2,4,0,4,1,3,6,6,2,3,5,4,2,4,4,0
22017,Alcolea de Cinca,9,7,4,9,9,7,7,18,13,6,12,6,10,4,9,8,7,7,11
22018,Alcubierre,0,0,2,2,0,3,1,0,2,3,2,1,2,5,2,2,2,2,1
22019,Alerre,3,0,4,1,0,1,0,0,0,1,0,1,2,2,2,2,2,2,0
22020,Alfántega,1,0,0,2,1,2,0,0,0,0,0,1,0,3,0,0,1,0,0
22021,Almudévar,22,13,26,26,23,24,21,24,21,29,16,19,22,28,25,20,15,24,27
22022,Almunia de San Juan,5,3,5,4,4,11,4,7,4,6,5,2,7,4,9,6,2,6,4
22023,Almuniente,0,1,2,3,3,4,4,6,4,3,8,4,4,3,2,3,3,2,3
22024,Alquézar,1,1,2,0,3,2,1,2,1,0,2,0,1,1,1,1,1,3,1
22025,Altorricón,10,7,13,13,13,11,6,20,11,20,11,12,14,18,9,12,9,15,12
22027,Angüés,0,1,1,1,0,1,1,0,1,6,1,4,3,2,3,3,3,1,2
22028,Ansó,1,4,4,1,2,5,0,1,5,1,3,1,1,3,0,4,6,0,4
22029,Antillón,0,3,2,1,2,1,1,0,0,1,1,1,3,1,0,1,0,2,0
22032,Aragüés del Puerto,0,1,0,1,1,0,0,0,0,1,0,2,1,1,1,0,2,0,0
22035,Arén,0,1,0,2,0,0,0,1,1,0,4,2,1,3,0,3,1,2,3
22036,Argavieso,0,1,0,0,0,1,1,1,0,1,2,0,0,0,0,0,0,1,1
22037,Arguis,1,1,3,0,0,0,3,1,0,0,0,0,0,2,1,1,0,0,0
22039,Ayerbe,6,8,3,12,7,7,9,13,12,9,16,10,14,13,10,5,7,8,10
22040,Azanuy-Alins,4,1,3,1,0,1,0,3,0,1,1,2,0,3,1,0,2,1,1
22041,Azara,2,1,1,1,1,1,0,1,0,1,3,0,0,2,0,0,1,1,4
22042,Azlor,3,1,0,0,2,1,3,1,1,1,1,3,1,1,0,0,3,2,0
22043,Baélls,0,0,0,1,1,1,0,0,0,1,2,1,0,1,0,0,0,0,1
22044,Bailo,0,0,1,0,2,3,3,1,0,3,2,0,1,0,1,1,3,1,0
22045,Baldellou,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
22046,Ballobar,4,8,8,7,4,9,5,4,5,4,3,4,7,9,11,6,7,4,4
22047,Banastás,1,2,2,2,0,3,2,7,4,6,3,5,1,3,2,1,5,2,3
22048,Barbastro,163,143,172,149,147,182,163,180,190,190,186,169,182,172,144,187,189,180,169
22049,Barbués,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
22050,Barbuñales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
22051,Bárcabo,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
22052,Belver de Cinca,11,9,13,9,7,11,11,15,8,12,9,10,12,13,16,11,8,12,6
22053,Benabarre,6,10,11,8,9,6,13,14,5,14,11,10,5,13,11,8,8,7,9
22054,Benasque,18,21,14,12,21,15,21,21,24,26,21,17,26,27,19,18,19,22,20
22055,Berbegal,1,1,0,0,0,0,4,0,1,4,0,2,0,3,2,4,2,2,1
22057,Bielsa,0,4,6,5,1,2,1,5,0,2,6,4,5,2,8,2,7,5,3
22058,Bierge,0,0,0,3,0,2,2,2,2,2,0,2,3,0,1,1,2,0,1
22059,Biescas,8,10,10,11,11,16,19,9,12,11,14,15,14,14,12,13,10,12,7
22060,Binaced,13,13,16,9,5,9,14,13,12,15,17,13,11,12,13,21,13,11,19
22061,Binéfar,83,87,77,77,108,101,91,114,98,96,109,126,103,95,95,95,106,102,114
22062,Bisaurri,2,0,2,1,0,1,0,1,1,0,2,1,2,0,1,0,0,2,1
22063,Biscarrués,0,1,0,0,1,1,2,1,2,0,0,0,3,0,0,2,0,1,1
22064,Blecua y Torres,0,0,1,1,0,0,1,0,2,0,2,2,2,1,1,3,2,2,1
22066,Boltaña,6,8,13,13,8,10,11,9,9,9,8,7,10,12,8,5,9,9,4
22067,Bonansa,1,0,1,0,0,0,2,2,0,0,0,0,0,1,0,2,0,1,3
22068,Borau,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
22069,Broto,4,7,2,5,3,2,6,4,2,4,1,5,3,5,3,4,11,3,8
22072,Caldearenas,4,1,1,0,1,2,1,3,1,0,3,0,0,0,0,1,2,3,0
22074,Campo,0,0,0,0,0,0,0,1,3,2,1,2,1,4,3,3,8,5,0
22075,Camporrélls,0,1,1,0,0,0,0,1,0,0,1,0,2,1,1,0,1,1,0
22076,Canal de Berdún,0,1,1,1,0,3,1,1,3,2,1,1,3,2,3,1,1,0,2
22077,Candasnos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22078,Canfranc,1,1,8,2,2,2,2,2,8,2,2,10,8,10,8,2,4,3,6
22079,Capdesaso,0,2,1,0,0,0,0,0,1,2,0,1,0,3,0,1,0,0,0
22080,Capella,2,2,1,1,5,2,3,2,5,3,2,1,2,0,2,2,5,4,3
22081,Casbas de Huesca,1,2,1,0,0,0,1,0,0,1,1,1,2,1,3,0,1,2,1
22082,Castejón del Puente,1,2,0,1,0,1,2,1,1,3,1,1,1,1,1,3,4,4,2
22083,Castejón de Monegros,2,4,1,1,1,7,2,2,0,4,2,1,2,3,4,2,6,1,4
