municipio,cp,superficie,densidad
Ababuj,44001,54,1.40
Abejuela,44002,86.67,0.56
Aguatón,44003,21.64,0.83
Aguaviva,44004,42.15,12.38
Aguilar del Alfambra,44005,39.04,1.61
AlacÃ³n,44006,47,5.61
Alba,44007,69.53,2.56
Albalate del Arzobispo,44008,205.69,9.74
Albarracín,44009,452.72,2.24
Albentosa,44010,68,3.77
Alcaine,44011,57.38,1.09
Alcalá de La Selva,44012,104.95,3.30
Alcañiz,44013,472.12,33.76
Alcorisa,44014,121,27.07
Alfambra,44016,122.44,4.33
Aliaga,44017,193.08,1.85
Almohaja,44018,25.55,0.62
Alobras,44019,30.72,2.01
AlpeñÃ©s,44020,28.62,0.76
Allepuz,44021,67.26,1.87
Alloza,44022,81,7.18
Allueva,44023,18.65,1.55
Anadón,44024,24.62,1.09
Andorra,44025,141.36,53.99
Arcos de Las Salinas,44026,112.99,0.92
Arens de Lledó,44027,34.27,6.01
Argente,44028,62.58,3.16
Ariño,44029,81.93,8.64
Azaila,44031,81.44,1.15
BÃ¡denas,44032,31.31,0.63
BÃ¡guena,44033,25.17,12.35
BañÃ³n,44034,54.27,2.81
Barrachina,44035,24.86,4.74
Bea,44036,23.37,1.32
Beceite,44037,96.72,5.59
Belmonte de San JosÃ©,44038,43.68,2.58
Bello,44039,52.49,4.28
Berge,44040,42.64,5.72
Bezas,44041,26.32,2.65
Blancas,44042,73,1.71
Blesa,44043,80.39,1.18
Bordón,44044,29.98,3.53
Bronchales,44045,59,7.50
Bueña,44046,40.75,1.54
Burbáguena,44047,39.02,6.22
Cabra de Mora,44048,34.31,1.60
Calaceite,44049,81.33,12.43
Calamocha,44050,316.63,13.64
Calanda,44051,112.25,33.03
Calomarde,44052,28.18,2.62
Camañas,44053,78.67,1.57
Camarena de La Sierra,44054,79.54,1.42
Camarillas,44055,50.55,1.70
Caminreal,44056,44.39,13.94
Cantavieja,44059,124.56,5.73
Cañada de Benatanduz,44060,34.89,1.11
La Cañada de Verich,44061,10.86,8.01
Cañada Vellida,44062,23,1.52
Cañizar del Olivar,44063,22.29,4.39
Cascante del Río,44064,32.38,2.19
Castejón de Tornos,44065,17.56,3.53
Castel de Cabra,44066,29.44,3.53
Castelnou,44067,37.09,4.31
Castelserás,44068,31.52,26.36
El Castellar,44070,50.33,1.03
Castellote,44071,235.18,2.87
Cedrillas,44074,73.57,8.56
Celadas,44075,100.45,3.94
Cella,44076,124.68,20.90
La Cerollera,44077,33.75,2.96
La Codoñera,44080,20.97,16.40
Corbalán,44082,82.44,1.32
Cortes de Aragón,44084,24.43,2.49
Cosa,44085,54.81,0.94
Cretas,44086,52.66,10.84
Crivillén,44087,42.03,1.61
La Cuba,44088,6.51,6.29
Cubla,44089,48.63,1.11
Cucalón,44090,31.93,2.50
El Cuervo,44092,20.76,4.14
Cuevas de AlmudÃ©n,44093,35.85,3.40
Cuevas Labradas,44094,40.81,3.20
Ejulve,44096,109.49,1.64
Escorihuela,44097,56.99,2.43
Escucha,44099,41.57,21.28
Estercuel,44100,55.59,3.77
Ferreruela de Huerva,44101,20.44,3.08
Fonfría,44102,20.58,1.36
Formiche Alto,44103,78.17,1.93
Fórnoles,44105,32.56,2.30
Fortanete,44106,168.21,1.21
Foz-Calanda,44107,37.87,6.28
La Fresneda,44108,39.48,11.22
Frías de Albarrací­n,44109,50.79,2.28
Fuenferrada,44110,24.53,1.71
Fuentes Calientes,44111,25.01,4.03
Fuentes Claras,44112,36.91,12.48
Fuentes de Rubielos,44113,38.91,2.92
Fuentespalda,44114,39,7.33
Galve,44115,61.23,2.62
Gargallo,44116,30.08,2.95
Gea de Albarracín,44117,57,6.59
La Ginebrosa,44118,80,2.50
Griegos,44119,31.77,4.50
Guadalaviar,44120,28.08,8.61
Gúdar,44121,60.77,1.18
Híjar,44122,165.36,10.33
Hinojosa de Jarque,44123,36.47,3.26
La Hoz de La Vieja,44124,43.73,1.94
Huesa del Común,44125,61.69,1.08
La Iglesuela del Cid,44126,40.29,10.27
Jabaloyas,44127,61.73,1.05
Jarque de La Val,44128,29.23,2.39
Jatiel,44129,10.84,3.69
Jorcas,44130,26,1.30
Josa,44131,28.23,1.20
Lagueruela,44132,26.32,2.96
Lanzuela,44133,14.22,1.68
Libros,44135,37.91,2.66
Lidón,44136,40,1.37
Linares de Mora,44137,116.28,2.14
Loscos,44138,71.78,1.79
Lledó,44141,15.61,11.01
Maicas,44142,24.74,1.09
Manzanera,44143,168.66,3.07
Martín del Río,44144,54.88,7.59
Mas de Las Matas,44145,29.99,42.41
La Mata de Los Olmos,44146,23.73,11.16
Mazaleón,44147,86.25,6.24
Mezquita de Jarque,44148,31.14,3.14
Mirambel,44149,45.47,2.55
Miravete de La Sierra,44150,36.51,0.95
Molinos,44151,79.61,3.05
Monforte de Moyuela,44152,47.74,1.36
Monreal del Campo,44153,89.05,27.32
Monroyo,44154,79.23,4.29
Montalbán,44155,82.04,15.15
Monteagudo del Castillo,44156,44.36,1.12
Monterde de Albarracín,44157,45.21,1.39
Mora de Rubielos,44158,166.23,9.27
Moscardón,44159,26.93,2.04
Mosqueruela,44160,265.03,2.07
Muniesa,44161,129,4.64
Noguera de Albarracín,44163,47.44,2.80
Nogueras,44164,18.85,1.32
Nogueruelas,44165,99.49,2.18
ObÃ³n,44167,68.38,0.65
OdÃ³n,44168,74.24,2.76
Ojos Negros,44169,90.92,4.14
Olba,44171,20.99,10.76
Oliete,44172,85.48,4.25
Los Olmos,44173,43.97,2.77
Orihuela del Tremedal,44174,71.52,6.80
Orrios,44175,35,3.60
Palomar de Arroyos,44176,33.62,5.02
Pancrudo,44177,100.12,1.09
Las Parras de Castellote,44178,42.13,1.25
Peñarroya de Tastavins,44179,83.28,5.27
Peracense,44180,28.66,2.65
Peralejos,44181,36,2.44
Perales del Alfambra,44182,104.24,2.12
Pitarque,44183,54.35,1.45
Plou,44184,17.21,2.49
El Pobo,44185,63,1.80
La Portellada,44187,21.37,11.37
Pozondón,44189,67.64,0.70
Pozuel del Campo,44190,27.85,2.44
La Puebla de Híjar,44191,17.03,53.31
La Puebla de Valverde,44192,17.03,26.60
Puertomingalvo,44193,103.62,1.08
RÃ¡fales,44194,35.61,4.01
Rillo,44195,53.31,1.74
Riodeva,44196,34.34,4.19
Ródenas,44197,44.26,1.37
Royuela,44198,32,6.43
Rubiales,44199,27.42,1.82
Rubielos de La CÃ©rida,44200,66,0.57
Rubielos de Mora,44201,66,9.50
Salcedillo,44203,16.89,1.00
Saldón,44204,28.37,0.91
Samper de Calanda,44205,142,5.51
San Agustín,44206,56.57,2.20
San Martín del Río,44207,5.42,27.30
Santa Cruz de Nogueras,44208,19.51,1.89
Santa Eulalia,44209,80.97,12.80
Sarrión,44210,140.44,8.06
Segura de Los Baños,44211,54.15,0.72
Seno,44212,17.85,2.18
Singra,44213,36.72,2.17
Terriente,44215,47.98,3.81
Teruel,44216,440.41,81.04
Toril y Masegoso,44217,30.67,0.97
Tormón,44218,29.34,1.05
Tornos,44219,48.95,4.35
Torralba de Los Sisones,44220,40.39,3.86
Torrecilla de Alcañiz,44221,26.76,15.80
Torrecilla del Rebollar,44222,26.76,4.74
Torre de Arcas,44223,34.28,2.59
Torre de Las Arcas,44224,37.17,0.75
Torre del Compte,44225,19.46,6.78
Torrelacárcel,44226,35.54,4.33
Torre Los Negros,44227,29.15,3.01
Torremocha de Jiloca,44228,33.94,3.15
Torres de Albarracín,44229,28.31,6.46
Torrevelilla,44230,33.44,5.65
Torrijas,44231,57.34,0.66
Torrijo del Campo,44232,44.04,10.14
Tramacastiel,44234,47.29,1.35
Tramacastilla,44235,24.81,4.27
Tronchón,44236,57.11,1.13
Urrea de Gaén,44237,41.12,10.60
Utrillas,44238,39.82,74.58
Valacloche,44239,15.02,1.39
Valbona,44240,40.72,4.27
Valdealgorfa,44241,46.93,13.25
Valdecuenca,44243,18.64,1.87
Valdelinares,44244,55.09,1.57
Valdeltormo,44245,16,17.43
Valderrobres,44246,124.04,19.25
Valjunquera,44247,41.84,7.76
El Vallecillo,44249,21.59,2.22
Veguillas de La Sierra,44250,13.67,1.46
Villafranca del Campo,44251,63.64,4.66
Villahermosa del Campo,44252,19,4.94
Villanueva del Rebollar de La Sierra,44256,75.99,0.61
Villar del Cobo,44257,54.13,3.02
Villar del Salz,44258,38.69,1.55
