nombre,provincia,slug,codigoINE,poblacion1900,poblacion2024,poblacion2014,variacion1900,perdidaAbsoluta,perdidaPorcentual,varUltimosAnios,porcentajeMayores,porcentajeMenores,densidad
Beranuy,huesca,beranuy,22246,651,69,0,-89.40092165898618,582,89.40092165898618,0,53.6,4.3,0
Alacón,teruel,alacon,44006,931,208,0,-77.65843179377015,723,77.65843179377015,0,52.9,4.3,0
Vivel del Río Martín,teruel,vivel-del-rio-martin,44267,946,63,0,-93.34038054968288,883,93.34038054968288,0,52.4,3.2,0
Torralba de los Frailes,zaragoza,torralba-de-los-frailes,50256,530,68,0,-87.16981132075472,462,87.16981132075472,0,51.5,4.4,0
Blesa,teruel,blesa,44043,1325,76,0,-94.26415094339623,1249,94.26415094339623,0,51.3,0,0
Langa del Castillo,zaragoza,langa-del-castillo,50134,599,110,0,-81.63606010016694,489,81.63606010016694,0,50.9,4.5,0
Torrecilla del Rebollar,teruel,torrecilla-del-rebollar,44222,891,117,0,-86.86868686868688,774,86.86868686868688,0,50.4,2.6,0
Visiedo,teruel,visiedo,44266,656,131,0,-80.03048780487805,525,80.03048780487805,0,50.4,9.9,0
Huesa del Común,teruel,huesa-del-comun,44125,1284,57,0,-95.56074766355141,1227,95.56074766355141,0,49.1,0,0
Vistabella,zaragoza,vistabella,50295,495,51,0,-89.6969696969697,444,89.6969696969697,0,49,0,0
Ardisa,zaragoza,ardisa,50033,484,76,0,-84.29752066115702,408,84.29752066115702,0,48.7,0,0
Nigüella,zaragoza,niguella,50187,270,62,0,-77.03703703703704,208,77.03703703703704,0,48.4,0,0
San Martín del Río,teruel,san-martin-del-rio,44207,1330,136,0,-89.77443609022556,1194,89.77443609022556,0,48.1,5.2,0
Barbuñales,huesca,barbunales,22050,425,95,0,-77.64705882352942,330,77.64705882352942,0,47.4,3.2,0
Moyuela,zaragoza,moyuela,50179,952,227,0,-76.15546218487394,725,76.15546218487394,0,47.1,0,0
Yésero,huesca,yesero,22253,288,62,0,-78.47222222222221,226,78.47222222222221,0,46.8,4.8,0
Torre del Compte,teruel,torre-del-compte,44225,748,122,0,-83.68983957219251,626,83.68983957219251,0,46.7,6.7,0
Tramacastiel,teruel,tramacastiel,44234,668,58,0,-91.31736526946108,610,91.31736526946108,0,46.6,1.7,0
Piedratajada,zaragoza,piedratajada,50207,300,97,0,-67.66666666666666,203,67.66666666666666,0,46.4,1,0
Castiliscar,zaragoza,castiliscar,50078,823,214,0,-73.99756986634264,609,73.99756986634264,0,46.3,5.1,0
Hinojosa de Jarque,teruel,hinojosa-de-jarque,44123,546,99,0,-81.86813186813187,447,81.86813186813187,0,45.5,2,0
Manchones,zaragoza,manchones,50161,672,96,0,-85.71428571428571,576,85.71428571428571,0,45.4,5.2,0
Romanos,zaragoza,romanos,50227,321,145,0,-54.82866043613706,176,54.82866043613706,0,45.1,7.6,0
Paracuellos de la Ribera,zaragoza,paracuellos-de-la-ribera,50202,908,112,0,-87.66519823788546,796,87.66519823788546,0,44.6,0,0
