year,cp,name,population
1950,44001,Ababuj,400
1950,44002,Abejuela,503
1950,44003,Aguatón,153
1950,44004,Aguaviva,1547
1950,44005,Aguilar del Alfambra,392
1950,44006,Alacón,1060
1950,44007,Alba,701
1950,44008,Albalate del Arzobispo,4341
1950,44009,Albarracín,1501
1950,44010,Albentosa,1075
1950,44011,Alcaine,750
1950,44012,Alcalá de la Selva,1333
1950,44013,Alcañiz,9812
1950,44014,Alcorisa,3208
1950,44016,Alfambra,1579
1950,44017,Aliaga,2019
1950,44018,Almohaja,205
1950,44019,Alobras,371
1950,44020,Alpeñés,160
1950,44021,Allepuz,743
1950,44022,Alloza,1730
1950,44023,Allueva,159
1950,44024,Anadón,224
1950,44025,Andorra,4472
1950,44026,Arcos de las Salinas,814
1950,44027,Arens de Lledó,595
1950,44028,Argente,661
1950,44029,Ariño,1571
1950,44031,Azaila,579
1950,44032,Bádenas,258
1950,44033,Báguena,1523
1950,44034,Bañón,728
1950,44035,Barrachina,648
1950,44036,Bea,196
1950,44037,Beceite,1239
1950,44038,Belmonte de San José,507
1950,44039,Bello,1475
1950,44040,Berge,549
1950,44041,Bezas,339
1950,44042,Blancas,932
1950,44043,Blesa,973
1950,44044,Bordón,471
1950,44045,Bronchales,757
1950,44046,Bueña,403
1950,44047,Burbáguena,1396
1950,44048,Cabra de Mora,330
1950,44049,Calaceite,2122
1950,44050,Calamocha,7881
1950,44051,Calanda,3544
1950,44052,Calomarde,381
1950,44053,Camañas,431
1950,44054,Camarena de la Sierra,572
1950,44055,Camarillas,684
1950,44056,Caminreal,1840
1950,44059,Cantavieja,1587
1950,44060,Cañada de Benatanduz,405
1950,44061,Cañada de Verich (La),261
1950,44062,Cañada Vellida,206
1950,44063,Cañizar del Olivar,509
1950,44064,Cascante del Río,496
1950,44065,Castejón de Tornos,493
1950,44066,Castel de Cabra,533
1950,44067,Castelnou,352
1950,44068,Castelserás,1513
1950,44070,Castellar (El),396
1950,44071,Castellote,3312
1950,44074,Cedrillas,1031
1950,44075,Celadas,875
1950,44076,Cella,3909
1950,44077,Cerollera (La),301
1950,44080,Codoñera (La),801
1950,44082,Corbalán,405
1950,44084,Cortes de Aragón,401
1950,44085,Cosa,470
1950,44086,Cretas,1390
1950,44087,Crivillén,778
1950,44088,Cuba (La),286
1950,44089,Cubla,344
1950,44090,Cucalón,536
1950,44092,Cuervo (El),401
1950,44093,Cuevas de Almudén,244
1950,44094,Cuevas Labradas,390
1950,44096,Ejulve,923
1950,44097,Escorihuela,577
1950,44099,Escucha,1270
1950,44100,Estercuel,1139
1950,44101,Ferreruela de Huerva,363
1950,44102,Fonfría,184
1950,44103,Formiche Alto,711
1950,44105,Fórnoles,501
1950,44106,Fortanete,944
1950,44107,Foz-Calanda,585
1950,44108,Fresneda (La),1171
1950,44109,Frías de Albarracín,506
1950,44110,Fuenferrada,318
1950,44111,Fuentes Calientes,340
1950,44112,Fuentes Claras,1421
1950,44113,Fuentes de Rubielos,560
1950,44114,Fuentespalda,677
1950,44115,Galve,376
1950,44116,Gargallo,480
1950,44117,Gea de Albarracín,1022
1950,44118,Ginebrosa (La),867
1950,44119,Griegos,396
1950,44120,Guadalaviar,554
1950,44121,Gúdar,308
1950,44122,Híjar,3586
1950,44123,Hinojosa de Jarque,549
1950,44124,Hoz de la Vieja (La),816
1950,44125,Huesa del Común,824
1950,44126,Iglesuela del Cid (La),1119
1950,44127,Jabaloyas,549
1950,44128,Jarque de la Val,263
1950,44129,Jatiel,218
1950,44130,Jorcas,388
1950,44131,Josa,340
1950,44132,Lagueruela,373
1950,44133,Lanzuela,223
1950,44135,Libros,1008
1950,44136,Lidón,335
1950,44137,Linares de Mora,1079
1950,44138,Loscos,1217
1950,44141,Lledó,437
1950,44142,Maicas,277
1950,44143,Manzanera,1722
1950,44144,Martín del Río,1023
1950,44145,Mas de las Matas,1985
1950,44146,Mata de los Olmos (La),494
1950,44147,Mazaleón,1258
1950,44148,Mezquita de Jarque,345
1950,44149,Mirambel,588
1950,44150,Miravete de la Sierra,250
1950,44151,Molinos,947
1950,44152,Monforte de Moyuela,481
1950,44153,Monreal del Campo,3554
1950,44154,Monroyo,913
1950,44155,Montalbán,2672
1950,44156,Monteagudo del Castillo,423
1950,44157,Monterde de Albarracín,501
