year,cp,name,population
2019,44001, Ababuj,73,
2019,44002, Abejuela,48,
2019,44003, Aguatón,18,
2019,44004, Aguaviva,514,
2019,44005, Aguilar del Alfambra,63,
2019,44006, Alacón,252,
2019,44007, Alba,170,
2019,44008, Albalate del Arzobispo,1.980,
2019,44009, Albarracín,1.025,
2019,44010, Albentosa,276,
2019,44011, Alcaine,59,
2019,44012, Alcalá de la Selva,343,
2019,44013, Alcañiz,15.947,
2019,44014, Alcorisa,3.266,
2019,44016, Alfambra,508,
2019,44017, Aliaga,341,
2019,44018, Almohaja,16,
2019,44019, Alobras,64,
2019,44020, Alpeñés,22,
2019,44021, Allepuz,125,
2019,44022, Alloza,558,
2019,44023, Allueva,26,
2019,44024, Anadón,28,
2019,44025, Andorra,7.472,
2019,44026, Arcos de las Salinas,119,
2019,44027, Arens de Lledó,211,
2019,44028, Argente,195,
2019,44029, Ariño,724,
2019,44031, Azaila,90,
2019,44032, Bádenas,19,
2019,44033, Báguena,287,
2019,44034, Bañón,144,
2019,44035, Barrachina,112,
2019,44036, Bea,31,
2019,44037, Beceite,541,
2019,44038, Belmonte de San José,113,
2019,44039, Bello,224,
2019,44040, Berge,235,
2019,44041, Bezas,70,
2019,44042, Blancas,126,
2019,44043, Blesa,94,
2019,44044, Bordón,100,
2019,44045, Bronchales,432,
2019,44046, Bueña,50,
2019,44047, Burbáguena,249,
2019,44048, Cabra de Mora,54,
2019,44049, Calaceite,994,
2019,44050, Calamocha,4.339,
2019,44051, Calanda,3.748,
2019,44052, Calomarde,75,
2019,44053, Camañas,134,
2019,44054, Camarena de la Sierra,105,
2019,44055, Camarillas,100,
2019,44056, Caminreal,620,
2019,44059, Cantavieja,709,
2019,44060, Cañada de Benatanduz,36,
2019,44061, Cañada de Verich La,89,
2019,44062, Cañada Vellida,31,
2019,44063, Cañizar del Olivar,100,
2019,44064, Cascante del Río,67,
2019,44065, Castejón de Tornos,60,
2019,44066, Castel de Cabra,96,
2019,44067, Castelnou,141,
2019,44068, Castelserás,815,
2019,44070, Castellar El,58,
2019,44071, Castellote,681,
2019,44074, Cedrillas,664,
2019,44075, Celadas,388,
2019,44076, Cella,2.574,
2019,44077, Cerollera La,93,
2019,44080, Codoñera La,336,
2019,44082, Corbalán,107,
2019,44084, Cortes de Aragón,61,
2019,44085, Cosa,50,
2019,44086, Cretas,567,
2019,44087, Crivillén,62,
2019,44088, Cuba La,43,
2019,44089, Cubla,58,
2019,44090, Cucalón,78,
2019,44092, Cuervo El,78,
2019,44093, Cuevas de Almudén,126,
2019,44094, Cuevas Labradas,132,
2019,44096, Ejulve,175,
2019,44097, Escorihuela,136,
2019,44099, Escucha,852,
2019,44100, Estercuel,203,
2019,44101, Ferreruela de Huerva,56,
2019,44102, Fonfría,27,
2019,44103, Formiche Alto,141,
2019,44105, Fórnoles,80,
2019,44106, Fortanete,205,
