year,name,menor,mayor,population
2024,Ababuj,8,29.33,75
2024,Abejuela,5.263,35.08,57
2024,Aguatón,0,41.17,17
2024,Aguaviva,12.97,22.48,547
2024,Aguilar del Alfambra,11.11,23.45,81
2024,Alacón,3.846,52.88,208
2024,Alba,10.28,27.62,4083
2024,Albalate del Arzobispo,11.47,26.62,1934
2024,Albarracín,9.429,27.42,1962
2024,Albentosa,14.14,16.83,297
2024,Alcaine,0,47.36,38
2024,Alcalá de la Selva,8.994,27.77,378
2024,Alcañiz,16.02,35.48,9558
2024,Alcorisa,14.29,22.07,3226
2024,Alfambra,9.869,32.34,841
2024,Aliaga,8.670,30.34,346
2024,Allepuz,8.064,33.87,124
2024,Alloza,9.800,34.30,551
2024,Allueva,10,36.66,30
2024,Almohaja,0,33.33,12
2024,Alobras,0,27.53,69
2024,Alpeñés,7.692,42.30,26
2024,Anadón,0,32.35,34
2024,Andorra,12.22,22.50,7234
2024,Arcos de las Salinas,11.81,24.54,110
2024,Arens de Lledó,4.081,40.81,196
2024,Argente,10.44,39.80,201
2024,Ariño,8.655,26.42,647
2024,Azaila,8.602,38.70,93
2024,Barrachina,6.956,34.78,115
2024,Bañón,9.677,29.67,155
2024,Bea,7.692,30.76,26
2024,Beceite,9.074,27.75,562
2024,Bello,6.572,37.55,213
2024,Belmonte de San José,9.629,38.51,135
2024,Berge,11.00,26.14,218
2024,Bezas,7.352,25,68
2024,Blancas,8.208,38.80,134
2024,Blesa,0,51.31,76
2024,Bordón,14.15,29.20,113
2024,Bronchales,10.60,24.45,462
2024,Bueña,12.5,39.28,56
2024,Burbáguena,11.64,31.81,352
2024,Bádenas,12.5,25,24
2024,Báguena,8.026,36.45,299
2024,Cabra de Mora,3.030,27.27,66
2024,Calaceite,11.99,33.15,959
2024,Calamocha,13.99,20.88,4516
2024,Calanda,12.43,24.07,4706
2024,Calomarde,1.351,41.89,74
2024,Camarena de la Sierra,14.08,23.94,142
2024,Camarillas,9.166,23.33,120
2024,Camañas,11.71,26.56,128
2024,Caminreal,12.47,29.01,617
2024,Cantavieja,12.97,25.52,717
2024,Cascante del Río,0,43.07,65
2024,Castejón de Tornos,3.030,43.93,66
2024,Castel de Cabra,8.333,32.14,84
2024,Castellote,6.564,34.35,716
2024,Castelnou,7.843,30.39,102
2024,Castelserás,12.09,30.67,802
