year,cp,name,population
2018,50001,Abanto,97
2018,50002,Acered,165
2018,50003,Agón,146
2018,50004,Aguarón,631
2018,50005,Aguilón,235
2018,50006,Ainzón,1085
2018,50007,Aladrén,52
2018,50008,Alagón,7094
2018,50009,Alarba,133
2018,50010,Alberite de San Juan,72
2018,50011,Albeta,132
2018,50012,Alborge,108
2018,50013,Alcalá de Ebro,251
2018,50014,Alcalá de Moncayo,144
2018,50015,Alconchel de Ariza,63
2018,50016,Aldehuela de Liestos,49
2018,50017,Alfajarín,2312
2018,50018,Alfamén,1441
2018,50019,Alforque,62
2018,50020,Alhama de Aragón,1036
2018,50021,Almochuel,29
2018,50022,La Almolda,567
2018,50023,Almonacid de la Cuba,252
2018,50024,Almonacid de la Sierra,691
2018,50025,La Almunia de Doña Godina,7819
2018,50026,Alpartir,579
2018,50027,Ambel,256
2018,50028,Anento,95
2018,50029,Aniñón,708
2018,50030,Añón de Moncayo,213
2018,50031,Aranda de Moncayo,160
2018,50032,Arándiga,309
2018,50033,Ardisa,72
2018,50034,Ariza,1139
2018,50035,Artieda,73
2018,50036,Asín,96
2018,50037,Atea,156
2018,50038,Ateca,1793
2018,50039,Azuara,543
2018,50040,Badules,83
2018,50041,Bagüés,12
2018,50042,Balconchán,17
2018,50043,Bárboles,300
2018,50044,Bardallur,261
2018,50045,Belchite,1528
2018,50046,Belmonte de Gracián,198
2018,50047,Berdejo,47
2018,50048,Berrueco,33
2018,50050,Bijuesca,98
2018,50051,Biota,948
2018,50052,Bisimbre,97
2018,50053,Boquiñeni,808
2018,50054,Bordalba,56
2018,50055,Borja,4922
2018,50056,Botorrita,498
2018,50057,Brea de Aragón,1665
2018,50058,Bubierca,63
2018,50059,Bujaraloz,1005
2018,50060,Bulbuente,217
2018,50061,Bureta,217
2018,50062,El Burgo de Ebro,2432
2018,50063,El Buste,72
2018,50064,Cabañas de Ebro,498
2018,50065,Cabolafuente,32
2018,50066,Cadrete,3891
2018,50067,Calatayud,20035
2018,50068,Calatorao,2861
2018,50069,Calcena,75
2018,50070,Calmarza,59
2018,50071,Campillo de Aragón,149
2018,50072,Carenas,177
2018,50073,Cariñena,3276
2018,50074,Caspe,9525
2018,50075,Castejón de Alarba,92
2018,50076,Castejón de las Armas,90
2018,50077,Castejón de Valdejasa,221
2018,50078,Castiliscar,265
2018,50079,Cervera de la Cañada,271
2018,50080,Cerveruela,35
2018,50081,Cetina,592
2018,50082,Cimballa,93
2018,50083,Cinco Olivas,112
2018,50084,Clarés de Ribota,65
2018,50085,Codo,198
2018,50086,Codos,183
2018,50087,Contamina,37
2018,50088,Cosuenda,367
2018,50089,Cuarte de Huerva,13055
2018,50090,Cubel,168
2018,50091,Cuerlas Las,39
2018,50092,Chiprana,508
2018,50093,Chodes,113
2018,50094,Daroca,1996
2018,50095,Ejea de los Caballeros,16605
2018,50096,Embid de Ariza,36
2018,50098,Encinacorba,189
2018,50099,Épila,4402
2018,50100,Erla,345
2018,50101,Escatrón,1026
2018,50102,Fabara,1152
2018,50104,Farlete,386
2018,50105,Fayón,354
2018,50106,Fayos Los,141
2018,50107,Figueruelas,1240
2018,50108,Fombuena,54
2018,50109,Frago El,99
2018,50110,Frasno El,384
2018,50111,Fréscano,202
2018,50113,Fuendejalón,793
2018,50114,Fuendetodos,121
2018,50115,Fuentes de Ebro,4543
2018,50116,Fuentes de Jiloca,229
2018,50117,Gallocanta,154
2018,50118,Gallur,2628
2018,50119,Gelsa,995
2018,50120,Godojos,54
2018,50121,Gotor,306
2018,50122,Grisel,67
2018,50123,Grisén,597
2018,50124,Herrera de los Navarros,506
2018,50125,Ibdes,404
2018,50126,Illueca,2964
2018,50128,Isuerre,31
2018,50129,Jaraba,280
2018,50130,Jarque,436
2018,50131,Jaulín,237
2018,50132,Joyosa La,1072
2018,50133,Lagata,111
2018,50134,Langa del Castillo,132
2018,50135,Layana,100
2018,50136,Lécera,661
2018,50137,Leciñena,1162
2018,50138,Lechón,53
2018,50139,Letux,342
2018,50140,Litago,166
2018,50141,Lituénigo,127
2018,50142,Lobera de Onsella,28
2018,50143,Longares,763
2018,50144,Longás,35
2018,50146,Lucena de Jalón,237
2018,50147,Luceni,945
2018,50148,Luesia,310
2018,50149,Luesma,34
2018,50150,Lumpiaque,827
2018,50151,Luna,701
2018,50152,Maella,2007
2018,50153,Magallón,1133
2018,50154,Mainar,151
2018,50155,Malanquilla,100
2018,50156,Maleján,259
2018,50157,Malón,323
2018,50159,Maluenda,942
2018,50160,Mallén,3083
2018,50161,Manchones,98
2018,50162,Mara,181
2018,50163,María de Huerva,5663
2018,50164,Mediana de Aragón,465
2018,50165,Mequinenza,2301
2018,50166,Mesones de Isuela,271
2018,50167,Mezalocha,240
2018,50168,Mianos,32
2018,50169,Miedes de Aragón,432
2018,50170,Monegrillo,413
2018,50171,Moneva,94
2018,50172,Monreal de Ariza,212
2018,50173,Monterde,159
2018,50174,Montón,94
2018,50175,Morata de Jalón,1097
2018,50176,Morata de Jiloca,282
2018,50177,Morés,334
2018,50178,Moros,362
2018,50179,Moyuela,245
2018,50180,Mozota,130
2018,50181,Muel,1333
2018,50182,Muela La,5479
2018,50183,Munébrega,385
2018,50184,Murero,107
2018,50185,Murillo de Gállego,174
2018,50186,Navardún,40
2018,50187,Nigüella,66
2018,50188,Nombrevilla,29
2018,50189,Nonaspe,962
2018,50190,Novallas,850
2018,50191,Novillas,540
2018,50192,Nuévalos,325
2018,50193,Nuez de Ebro,827
2018,50194,Olvés,106
2018,50195,Orcajo,59
2018,50196,Orera,118
2018,50197,Orés,104
2018,50198,Oseja,52
2018,50199,Osera de Ebro,395
2018,50200,Paniza,634
2018,50201,Paracuellos de Jiloca,601
2018,50202,Paracuellos de la Ribera,158
2018,50203,Pastriz,1293
2018,50204,Pedrola,3509
2018,50205,Pedrosas Las,90
2018,50206,Perdiguera,577
2018,50207,Piedratajada,97
2018,50208,Pina de Ebro,2373
2018,50209,Pinseque,3908
2018,50210,Pintanos Los,37
2018,50211,Plasencia de Jalón,303
2018,50212,Pleitas,36
2018,50213,Plenas,101
2018,50214,Pomer,22
2018,50215,Pozuel de Ariza,21
2018,50216,Pozuelo de Aragón,284
2018,50217,Pradilla de Ebro,574
2018,50218,Puebla de Albortón,120
2018,50219,La Puebla de Alfindén,6173
2018,50220,Puendeluna,44
2018,50221,Purujosa,36
2018,50222,Quinto,1948
2018,50223,Remolinos,1081
2018,50224,Retascón,74
2018,50225,Ricla,2815
2018,50227,Romanos,119
2018,50228,Rueda de Jalón,325
