cp,municipio,total
50001,Abanto,7
50002,Acered,11
50003,Agón,16
50004,Aguarón,60
50005,Aguilón,8
50006,Ainzón,157
50007,Aladrén,3
50008,Alagón,1340
50009,Alarba,12
50010,Alberite de San Juan,3
50011,Albeta,17
50012,Alborge,10
50013,Alcalá de Ebro,35
50014,Alcalá de Moncayo,14
50015,Alconchel de Ariza,0
50016,Aldehuela de Liestos,1
50017,Alfajarín,460
50018,Alfamén,243
50019,Alforque,3
50020,Alhama de Aragón,171
50021,Almochuel,0
50022,Almolda La,48
50023,Almonacid de la Cuba,33
50024,Almonacid de la Sierra,77
50025,Almunia de Doña Godina La,1632
50026,Alpartir,85
50027,Ambel,27
50028,Anento,12
50029,Aniñón,61
50030,Añón de Moncayo,15
50031,Aranda de Moncayo,6
50032,Arándiga,25
50033,Ardisa,1
50034,Ariza,211
50035,Artieda,7
50036,Asín,1
50037,Atea,16
50038,Ateca,210
50039,Azuara,48
50040,Badules,4
50041,Bagüés,0
50042,Balconchán,0
50043,Bárboles,44
50044,Bardallur,25
50045,Belchite,231
50046,Belmonte de Gracián,17
50047,Berdejo,4
50048,Berrueco,1
50050,Bijuesca,2
50051,Biota,127
50052,Bisimbre,5
50053,Boquiñeni,91
50054,Bordalba,0
50055,Borja,1014
50056,Botorrita,66
50057,Brea de Aragón,253
50058,Bubierca,2
50059,Bujaraloz,172
50060,Bulbuente,25
50061,Bureta,13
50062,Burgo de Ebro El,500
50063,Buste El,4
50064,Cabañas de Ebro,54
50065,Cabolafuente,0
50066,Cadrete,879
50067,Calatayud,3620
50068,Calatorao,520
50069,Calcena,1
50070,Calmarza,5
50071,Campillo de Aragón,11
50072,Carenas,12
50073,Cariñena,600
50074,Caspe,1882
50075,Castejón de Alarba,2
50076,Castejón de las Armas,6
50077,Castejón de Valdejasa,9
50078,Castiliscar,20
50079,Cervera de la Cañada,29
50080,Cerveruela,2
50081,Cetina,79
50082,Cimballa,4
50083,Cinco Olivas,15
50084,Clarés de Ribota,0
50085,Codo,18
50086,Codos,13
50087,Contamina,3
50088,Cosuenda,41
50089,Cuarte de Huerva,3749
50090,Cubel,20
50091,Cuerlas Las,1
50092,Chiprana,90
50093,Chodes,14
50094,Daroca,299
50095,Ejea de los Caballeros,2928
50096,Embid de Ariza,1
50098,Encinacorba,8
