year,cp,name,population,superficie
1900,50001,Abanto,633,63.84
1900,50002,Acered,745,30
1900,50003,Agón,499,18.52
1900,50004,Aguarón,2275,36.62
1900,50005,Aguilón,982,59.45
1900,50006,Ainzón,2061,40.46
1900,50007,Aladrén,353,21.06
1900,50008,Alagón,3454,24.22
1900,50009,Alarba,471,19
1900,50010,Alberite de San Juan,267,11.23
1900,50011,Albeta,318,2.65
1900,50012,Alborge,464,4.84
1900,50013,Alcalá de Ebro,386,9.87
1900,50014,Alcalá de Moncayo,370,13.76
1900,50015,Alconchel de Ariza,667,34.85
1900,50016,Aldehuela de Liestos,257,38.04
1900,50017,Alfajarín,910,137.57
1900,50018,Alfamén,628,102.04
1900,50019,Alforque,387,10.62
1900,50020,Alhama de Aragón,1616,31.14
1900,50021,Almochuel,99,32
1900,50022,La Almolda,1246,131.33
1900,50023,Almonacid de la Cuba,667,55.21
1900,50024,Almonacid de la Sierra,2725,55.21
1900,50025,La Almunia de Doña Godina,3922,56.65
1900,50026,Alpartir,1042,32.54
1900,50027,Ambel,955,61
1900,50028,Anento,387,21.52
1900,50029,Aniñón,1870,52.46
1900,50030,Añón de Moncayo,1106,64.19
1900,50031,Aranda de Moncayo,1585,91
1900,50032,Arándiga,1121,50.22
1900,50033,Ardisa,484,27.28
1900,50034,Ariza,1578,103.08
1900,50035,Artieda,269,13.57
1900,50036,Asín,336,18.47
1900,50037,Atea,1225,34.67
1900,50038,Ateca,3126,84.71
1900,50039,Azuara,2388,165.81
1900,50040,Badules,440,20.09
1900,50041,Bagüés,243,30.72
1900,50042,Balconchán,178,19
1900,50043,Bárboles,640,15.68
1900,50044,Bardallur,834,27.34
1900,50045,Belchite,3333,273.68
1900,50046,Belmonte de Gracián,997,43.68
1900,50047,Berdejo,363,19.39
1900,50048,Berrueco,232,19
1900,50050,Bijuesca,833,57.08
1900,50051,Biota,1383,128
1900,50052,Bisimbre,291,11.22
1900,50053,Boquiñeni,920,18.87
1900,50054,Bordalba,520,41.58
1900,50055,Borja,5667,107.29
1900,50056,Botorrita,351,19.81
