year,name,menor,mayor,population
2024,Abanto,2.5,42.0,81
2024,Acered,7.1,36.9,141
2024,Agón,3.8,36.1,133
2024,Aguarón,7.7,27.0,596
2024,Aguilón,3.7,42.9,273
2024,Ainzón,10.0,27.0,1044
2024,Aladrén,1.6,32.3,62
2024,Alagón,14.4,19.5,7424
2024,Alarba,2.2,44.1,93
2024,Alberite de San Juan,6.0,33.7,83
2024,Albeta,9.9,26.1,142
2024,Alborge,7.8,27.5,102
2024,Alcalá de Ebro,8.6,28.0,243
2024,Alcalá de Moncayo,8.4,31.8,154
2024,Alconchel de Ariza,5.1,36.7,79
2024,Aldehuela de Liestos,0.0,36.7,49
2024,Alfajarín,16.5,19.5,2407
2024,Alfamén,15.7,18.4,1480
2024,Alforque,0.0,37.7,61
2024,Alhama de Aragón,9.9,26.8,925
2024,Almochuel,0.0,54.5,22
2024,La Almolda,7.4,36.8,544
2024,Almonacid de la Cuba,5.1,34.6,234
2024,Almonacid de la Sierra,12.9,26.6,757
2024,La Almunia de Doña Godina,15.9,16.6,7955
2024,Alpartir,12.7,22.5,592
2024,Ambel,8.7,35.0,254
2024,Anento,1.8,21.4,112
2024,Aniñón,10.0,32.4,679
2024,Añón de Moncayo,10.4,41.0,222
2024,Aranda de Moncayo,2.6,42.6,115
2024,Arándiga,8.3,34.0,265
2024,Ardisa,0.0,48.7,76
2024,Ariza,12.8,28.1,1082
2024,Artieda,5.8,33.7,86
2024,Asín,6.7,44.4,90
2024,Atea,1.5,35.6,135
2024,Ateca,8.7,29.1,1727
2024,Azuara,6.1,29.8,540
2024,Badules,2.4,36.6,82
2024,Bagüés,10.5,31.6,19
2024,Balconchán,0.0,57.9,19
2024,Bárboles,9.5,26.7,285
2024,Bardallur,6.2,37.9,227
2024,Belchite,9.4,30.6,1512
2024,Belmonte de Gracián,4.4,39.4,180
2024,Berdejo,2.6,42.1,38
2024,Berrueco,0.0,45.5,33
2024,Bijuesca,2.1,21.3,94
2024,Biota,7.5,32.1,839
2024,Bisimbre,3.3,38.5,91
2024,Boquiñeni,9.2,32.2,760
2024,Bordalba,0.0,53.2,47
2024,Borja,15.8,20.4,5155
2024,Botorrita,14.3,21.3,582
2024,Brea de Aragón,9.5,30.6,1512
2024,Bubierca,1.8,35.1,57
2024,Bujaraloz,12.2,23.9,959
2024,Bulbuente,9.2,24.3,239
2024,Bureta,6.7,41.3,208
2024,Burgo de El Ebro,15.9,17.9,2744
2024,El Buste,3.4,42.4,59
2024,Cabañas de Ebro,9.3,32.6,475
2024,Cabolafuente,0.0,43.1,51
2024,Cadrete,18.3,12.0,4649
2024,Calatayud,13.7,21.2,19834
